Ant57,Ant5,Ant52,Ant59,Ant25,Ant30,Ant148,Ant191,Ant196,Ant209,Ant245,Ant308,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant114,Ant126,Ant135,Ant139,Ant156,Ant159,Ant174,Ant195,Ant207,Ant218,Ant226,Ant242,Ant243,Ant250,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant353,Ant376,Ant387,Ant391,Ant492,Ant549,Ant580,Ant607,Ant614,Ant632,Ant638,Ant663
0,1,5,1,16,5,2,7,1,1,14,9,26,0,2,5,2,0,1,1,1,7,5,7,2,5,4,1,21,3,1,10,8,0,1,0,21,0,10,2,79,0,77,6,0,6,6,0,63,1,0,0,13,4,2,0,8,4,2,29,16,2,0,18,1,0
1,0,0,1,8,1,0,4,2,2,1,0,0,2,0,0,0,1,15,10,0,1,7,0,5,9,0,6,1,1,5,0,1,0,0,0,1,3,0,0,4,6,0,2,0,0,2,1,3,1,0,0,0,3,8,1,2,5,0,0,0,4,0,1,1,0
5,0,0,5,1,1,3,1,0,10,0,1,3,6,0,0,4,1,1,5,0,0,12,5,4,0,5,12,0,13,8,2,1,0,4,0,1,1,4,0,3,13,10,0,1,0,13,4,5,2,0,0,3,9,2,1,0,6,1,4,0,3,1,4,2,6
1,1,5,0,0,2,3,8,0,4,6,0,0,4,1,0,1,3,1,0,0,0,20,0,0,15,3,55,2,1,6,4,8,0,0,0,2,26,0,0,5,1,1,0,0,0,3,3,2,11,0,0,1,2,15,6,9,8,0,0,0,3,0,9,0,1
16,8,1,0,0,3,11,8,0,7,13,15,2,10,5,5,6,12,0,11,0,10,2,7,12,1,3,5,8,18,4,12,1,2,0,0,17,1,6,2,30,0,6,6,1,0,7,9,10,0,0,0,6,3,2,8,11,28,3,16,21,20,1,4,0,3
5,1,1,2,3,0,5,21,3,1,17,5,2,3,1,3,1,2,0,3,8,6,9,3,7,7,0,5,13,15,1,6,13,0,0,0,5,3,4,12,8,3,1,11,0,0,3,0,3,5,0,0,1,1,2,3,2,18,7,2,11,1,12,5,0,7
2,0,3,3,11,5,0,1,6,0,3,1,4,1,7,1,0,0,1,2,0,6,2,8,28,0,1,5,4,1,2,0,10,1,0,0,8,1,0,1,4,0,3,1,0,1,2,1,6,5,0,0,2,1,3,0,6,14,0,2,0,12,7,4,0,2
7,4,1,8,8,21,1,0,2,16,30,9,0,10,2,1,4,5,4,2,4,10,10,0,5,6,5,16,3,11,3,4,3,1,0,0,2,3,5,5,5,5,8,9,3,1,2,5,2,4,0,0,4,3,7,5,4,15,2,3,9,8,3,6,1,9
1,2,0,0,0,3,6,2,0,0,5,0,10,0,2,1,3,9,1,0,0,3,1,16,13,1,2,10,5,3,7,2,0,1,0,0,3,0,1,0,2,4,0,5,0,2,19,3,6,1,0,0,2,4,2,0,7,0,4,4,3,2,15,2,0,0
1,2,10,4,7,1,0,16,0,0,7,10,0,4,2,1,3,6,13,9,3,3,3,0,1,4,20,10,26,8,1,4,8,1,0,0,10,13,1,14,12,5,2,9,1,0,11,0,1,0,0,0,1,1,3,2,6,22,0,1,5,0,2,0,0,1
14,1,0,6,13,17,3,30,5,7,0,24,8,14,8,3,1,6,1,6,23,2,9,6,4,5,16,17,14,13,2,8,10,4,0,0,13,10,7,9,26,0,16,19,0,3,3,8,13,8,0,0,0,9,4,2,4,9,19,7,10,18,9,5,0,20
9,0,1,0,15,5,1,9,0,10,24,0,9,3,3,3,8,2,0,1,25,22,0,0,3,1,6,3,16,32,0,4,2,5,2,0,10,3,10,16,12,6,7,0,10,0,1,3,6,0,0,0,0,5,0,0,7,3,4,9,11,2,12,5,0,3
26,0,3,0,2,2,4,0,10,0,8,9,0,0,0,14,0,0,3,2,0,16,8,0,0,0,17,4,1,3,18,13,2,0,3,45,20,1,6,2,35,7,32,14,0,17,12,5,16,0,8,30,18,35,2,2,2,3,0,39,9,10,8,1,6,1
0,2,6,4,10,3,1,10,0,4,14,3,0,0,0,2,15,9,0,2,4,5,0,0,20,2,5,2,3,6,0,2,17,0,0,0,2,14,1,2,11,1,2,6,0,0,16,0,1,5,0,0,1,0,1,2,3,8,0,0,0,1,0,4,0,1
