Ant4,Ant260,Ant52,Ant244,Ant397,Ant540,Ant6,Ant9,Ant26,Ant30,Ant60,Ant72,Ant74,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant329,Ant518,Ant604,Ant673,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant215,Ant219,Ant220,Ant229,Ant242,Ant243,Ant250,Ant251,Ant256,Ant264,Ant289,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant398,Ant475,Ant476,Ant482,Ant556,Ant560,Ant564,Ant576,Ant580,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,5,0,0,0,0,7,23,0,1,0,1,0,0,0,0,23,0,0,8,0,0,0,0,0,10,8,1,0,0,0,0,21,0,0,4,0,0,10,0,0,0,14,0,0,0,2,0,0,1,4,23,9,0,0,1,4,0,1,1,31,0,0,0,0,0,0,2,0,17,0,0,0,0,0,0,0,55,0,41,1,0,1,0,31,0,22,0,0,0,0,0,1,2,6,1
5,0,12,1,3,0,4,7,20,4,8,2,0,0,2,2,20,4,3,17,2,0,0,12,5,5,30,42,1,0,6,0,11,2,1,20,10,1,5,0,20,1,22,3,5,1,19,8,6,2,15,8,45,0,3,13,16,1,12,6,36,3,23,1,2,9,1,11,0,12,23,0,0,7,9,6,1,32,0,4,5,0,9,13,11,14,36,1,1,1,5,1,3,29,12,35
0,12,0,2,9,4,3,2,4,11,22,2,6,0,2,10,18,10,0,3,1,0,0,13,3,1,11,9,2,9,13,1,6,7,4,33,10,10,8,5,50,8,9,12,22,13,14,3,11,25,6,0,12,0,13,46,2,1,5,12,10,0,4,4,0,19,1,12,0,2,40,5,3,17,4,9,3,10,2,1,5,7,19,12,0,8,5,0,12,3,12,12,1,5,1,21
0,1,2,0,1,2,0,0,1,3,4,6,8,0,1,3,0,2,0,0,4,0,0,1,2,0,0,3,2,9,0,7,1,10,8,0,0,6,0,7,4,0,0,1,8,6,0,0,0,18,0,0,0,0,2,8,0,3,0,0,0,19,2,4,7,1,6,0,0,0,1,18,8,2,3,0,5,0,3,0,0,8,0,0,0,0,0,0,9,0,3,7,8,0,1,0
0,3,9,1,0,10,0,0,3,5,14,1,5,0,3,21,13,7,0,10,0,0,0,2,10,1,30,14,5,0,15,1,5,5,2,6,2,17,2,9,13,12,14,18,27,9,7,4,7,8,0,0,9,2,20,7,5,3,2,4,0,4,0,5,5,10,5,12,0,0,5,1,7,12,8,2,7,4,0,1,11,7,5,1,0,2,1,0,10,0,6,6,15,2,0,13
0,0,4,2,10,0,0,0,0,12,1,2,7,0,21,2,0,3,0,0,14,1,1,0,2,0,1,0,0,3,0,4,0,13,30,1,1,6,2,2,10,0,1,1,11,26,2,0,1,6,0,1,1,0,1,2,1,8,0,1,0,0,6,3,15,2,27,1,0,1,1,12,10,1,4,3,12,0,4,0,2,26,0,0,0,0,0,0,12,19,3,26,27,0,0,1
7,4,3,0,0,0,0,4,1,0,1,0,0,0,0,0,6,0,0,8,0,0,0,0,0,3,9,1,0,0,7,0,0,0,0,9,2,0,2,1,2,1,6,0,0,1,0,0,1,0,5,2,22,0,0,0,0,0,3,0,2,0,2,0,0,0,0,12,0,4,7,0,0,0,0,5,0,16,0,7,0,0,2,5,2,0,12,0,0,0,1,0,0,5,8,17
23,7,2,0,0,0,4,0,1,1,4,2,3,0,0,0,16,0,0,3,1,0,0,1,0,7,1,3,0,2,0,0,22,0,0,2,0,8,7,0,3,1,8,0,4,1,1,1,3,4,1,33,3,0,3,17,1,0,0,0,20,0,4,1,0,0,1,4,0,5,4,0,0,0,1,0,0,10,0,14,0,0,5,3,28,1,6,0,0,1,2,0,0,4,5,6
0,20,4,1,3,0,1,1,0,4,10,4,0,0,0,2,22,17,0,1,0,0,0,2,2,6,20,14,0,2,7,0,9,0,0,11,4,1,1,17,19,1,16,3,12,4,14,5,9,2,3,0,31,1,4,2,2,2,5,3,6,0,4,0,0,10,0,11,0,1,12,3,0,4,5,6,1,3,0,0,1,3,2,22,0,12,6,0,0,0,1,0,0,2,13,30
1,4,11,3,5,12,0,1,4,0,3,6,5,0,5,3,8,12,0,1,4,0,0,1,10,0,5,4,10,12,3,13,0,4,13,0,26,6,0,5,10,1,7,6,4,13,3,0,1,10,0,1,2,0,0,34,2,0,0,6,2,6,4,6,6,4,10,6,0,0,3,10,13,7,13,4,10,1,13,0,1,10,0,2,0,0,1,3,2,1,1,6,5,0,0,0
0,8,22,4,14,1,1,4,10,3,0,10,0,0,11,11,3,17,0,4,4,0,0,2,8,1,15,16,4,9,14,0,19,7,4,11,6,3,2,5,13,5,6,17,66,6,16,7,17,19,1,6,14,1,12,18,6,3,3,3,8,10,9,13,2,57,1,16,0,5,20,10,0,36,2,8,5,5,3,2,12,6,3,4,0,7,3,2,4,3,7,8,4,15,2,14
1,2,2,6,1,2,0,2,4,6,10,0,6,0,2,4,0,4,0,1,3,0,0,0,6,0,4,4,20,12,2,0,1,16,14,0,2,2,0,2,3,0,3,15,14,4,1,0,1,5,0,0,1,0,0,7,4,4,0,3,0,7,2,4,0,1,6,4,0,0,2,6,0,0,4,1,3,0,5,0,0,1,0,0,0,1,0,4,4,15,2,3,3,0,0,3
0,0,6,8,5,7,0,3,0,5,0,6,0,0,4,0,0,6,0,0,0,0,0,0,2,0,6,5,8,13,1,8,0,12,3,0,3,9,0,1,4,0,0,2,11,3,1,0,1,7,0,0,2,5,5,0,4,6,0,2,0,42,3,2,10,7,29,4,0,0,7,25,9,5,1,5,6,0,0,0,0,18,0,0,0,1,0,1,12,21,19,24,11,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,2,1,3,21,0,0,0,5,11,2,4,0,0,5,0,0,0,2,10,0,8,0,10,0,3,4,1,1,0,2,0,18,0,2,0,9,0,24,0,12,1,7,8,16,0,1,1,31,0,0,0,0,1,12,0,7,0,3,0,12,3,10,13,8,32,0,0,0,1,10,1,9,1,2,46,0,0,0,2,9,0,2,0,3,0,5,15,12,1,16,8,0,0,0
0,2,10,3,21,2,0,0,2,3,11,4,0,0,5,0,5,4,0,3,12,0,0,3,5,1,7,5,4,0,5,0,0,5,0,5,4,6,1,4,12,7,4,24,17,7,9,3,4,19,0,0,0,0,12,11,2,26,0,1,0,7,13,2,7,4,2,0,0,0,5,4,3,21,7,0,2,2,0,0,7,8,1,4,0,2,1,0,4,5,7,6,2,0,0,9
23,20,18,0,13,0,6,16,22,8,3,0,0,0,0,5,0,23,0,22,0,0,0,19,2,17,19,12,3,3,17,0,23,0,2,18,3,3,17,5,38,3,24,9,4,5,20,7,18,0,21,42,44,0,16,8,11,0,14,12,26,1,7,0,1,3,0,15,0,10,13,1,1,5,7,4,0,43,1,69,6,1,13,6,33,10,17,1,0,0,1,2,0,31,33,10
0,4,10,2,7,3,0,0,17,12,17,4,6,0,0,4,23,0,5,3,9,0,0,9,7,0,7,11,6,3,4,1,5,4,8,7,1,16,2,4,30,0,8,6,27,14,16,1,8,10,0,0,7,0,20,50,7,0,0,9,1,4,9,4,4,15,1,4,0,3,6,7,3,12,21,8,10,5,0,2,3,2,1,8,0,3,2,1,2,2,1,8,2,2,4,6
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
8,17,3,0,10,0,8,3,1,1,4,1,0,0,2,3,22,3,0,0,1,0,0,7,5,2,12,8,0,1,6,3,14,0,0,12,5,1,17,2,15,9,30,1,1,1,6,0,6,2,13,1,9,0,3,6,3,0,5,7,8,2,9,2,1,3,0,16,0,3,31,1,1,4,3,5,0,22,0,9,5,2,3,4,1,5,29,1,0,1,0,0,1,17,20,22
0,2,1,4,0,14,0,1,0,4,4,3,0,0,10,12,0,9,0,1,0,0,1,0,6,2,3,0,1,6,2,7,0,0,13,0,4,0,0,2,7,9,2,7,5,20,3,0,0,20,0,3,1,5,1,25,0,3,0,1,0,1,4,0,5,13,8,1,0,0,2,5,9,4,5,2,6,0,2,0,2,8,1,0,0,2,1,5,3,6,1,14,4,0,0,2
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,5,1,0,0,3,0,0,0,1,0,0,5,11,0,0,0,0,0,0,0,16,0,2,0,3,0,0,0,0,0,2,0,0,3,0,0,0,0,3,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,14,1,16,0,4,4,0,0,0
0,12,13,1,2,0,0,1,2,1,2,0,0,0,0,3,19,9,0,7,0,0,0,0,0,1,6,16,0,0,14,0,11,0,0,4,3,1,0,0,16,0,11,1,2,3,8,2,5,1,7,1,7,0,2,20,0,0,3,0,5,1,4,0,0,5,0,9,0,5,12,0,0,3,7,8,0,3,0,12,1,0,3,5,0,10,3,0,0,0,1,1,0,3,0,24
0,5,3,2,10,2,0,0,2,10,8,6,2,0,10,5,2,7,0,5,6,0,0,0,0,0,4,13,2,10,3,5,1,5,1,2,3,6,0,15,20,3,0,8,11,7,3,0,0,8,3,1,5,3,2,25,0,7,0,9,0,14,11,11,12,9,12,2,0,1,9,11,0,8,7,5,20,0,4,2,0,9,0,0,0,2,5,1,3,5,14,5,6,1,0,18
10,5,1,0,1,0,3,7,6,0,1,0,0,0,0,1,17,0,0,2,2,0,0,1,0,0,11,8,0,0,4,0,11,0,0,9,1,0,9,0,3,0,12,0,1,0,6,0,3,0,6,7,11,0,0,1,1,0,3,0,13,0,0,0,0,2,0,14,0,2,13,0,0,1,0,0,0,33,0,18,1,0,4,7,17,6,18,0,0,0,0,0,0,7,6,16
8,30,11,0,30,1,9,1,20,5,15,4,6,0,3,7,19,7,0,12,3,0,0,6,4,11,0,28,1,0,8,0,11,1,3,16,11,9,13,10,14,1,22,6,3,5,18,2,6,4,11,0,32,0,8,11,6,4,10,8,20,4,13,3,2,7,5,12,0,7,51,2,1,15,16,3,3,19,0,6,0,2,5,18,4,6,27,1,4,0,0,2,0,26,9,30
1,42,9,3,14,0,1,3,14,4,16,4,5,0,4,5,12,11,4,8,0,0,0,16,13,8,28,0,8,4,6,13,20,9,0,20,8,3,1,3,12,3,23,12,13,5,23,3,8,16,11,1,28,0,3,15,4,3,6,6,25,8,18,20,8,13,1,3,0,4,25,6,0,11,12,5,11,4,0,2,23,6,3,12,0,8,17,2,8,2,2,3,9,4,0,30
0,1,2,2,5,0,0,0,0,10,4,20,8,0,1,4,3,6,0,0,1,0,0,0,2,0,1,8,0,0,0,0,3,9,5,1,0,3,0,1,0,9,0,2,20,4,0,2,0,11,0,0,0,1,2,1,10,2,1,3,0,10,0,1,5,6,0,2,0,0,6,15,3,2,9,1,19,0,2,1,3,8,0,1,0,0,0,4,14,7,16,5,21,0,0,3
0,0,9,9,0,3,0,2,2,12,9,12,13,0,1,0,3,3,0,1,6,0,0,0,10,0,0,4,0,0,0,6,0,16,2,1,12,13,1,1,5,0,1,14,4,18,0,0,0,7,0,0,0,8,6,1,16,3,0,0,0,23,4,12,9,5,6,0,0,0,2,6,6,0,3,9,2,0,24,0,2,13,0,0,0,2,1,6,0,1,15,4,4,0,0,4
0,6,13,0,15,0,7,0,7,3,14,2,1,0,0,5,17,4,0,6,2,0,0,14,3,4,8,6,0,0,0,0,16,7,0,11,0,5,3,16,30,0,27,26,6,4,22,15,14,5,0,3,8,2,28,25,1,0,3,17,8,3,2,2,2,5,1,7,0,3,18,5,0,9,7,8,1,2,0,4,14,1,10,7,0,17,4,0,1,0,2,0,3,3,11,19
0,0,1,7,1,4,0,0,0,13,0,0,8,0,2,0,0,1,0,3,7,0,9,0,5,0,0,13,0,6,0,0,5,6,0,0,36,2,0,6,2,1,4,8,4,4,2,0,0,10,0,0,0,11,31,2,1,5,0,1,0,10,3,39,4,2,14,0,0,0,10,6,8,0,3,0,2,0,1,1,1,0,0,0,0,0,0,1,3,2,1,0,2,1,0,15
