Ant4,Ant57,Ant260,Ant52,Ant59,Ant65,Ant244,Ant397,Ant540,Ant2,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant534,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant32,Ant35,Ant43,Ant44,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant68,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant118,Ant124,Ant126,Ant127,Ant131,Ant137,Ant149,Ant159,Ant169,Ant172,Ant175,Ant176,Ant178,Ant186,Ant190,Ant194,Ant198,Ant206,Ant207,Ant210,Ant215,Ant218,Ant219,Ant220,Ant221,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant298,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant391,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant492,Ant501,Ant509,Ant538,Ant556,Ant560,Ant564,Ant576,Ant580,Ant592,Ant599,Ant607,Ant610,Ant614,Ant621,Ant632,Ant638,Ant650,Ant663
0,3,7,0,1,0,0,0,0,1,2,0,3,0,3,6,0,10,2,0,0,0,0,7,0,10,2,0,6,0,2,0,4,11,0,0,5,0,7,2,0,0,1,1,0,4,0,0,0,3,2,3,3,0,0,0,3,5,1,4,1,0,2,0,0,3,1,2,0,2,2,4,3,0,7,0,3,1,0,0,1,4,0,7,1,0,15,5,8,0,1,0,3,2,1,1,0,0,2,1,5,0,0,0,0,6,0,0,1,0,12,0,8,1,3,0,2,1,15,2,1,0,0,0,2,4,2,7,0,0,0,0,0,0,1,0,0,3,6,0,1
3,0,6,2,0,3,0,0,0,1,6,12,0,1,4,1,0,19,0,0,0,5,1,0,0,17,2,0,9,2,3,0,10,6,0,0,9,0,14,0,8,0,0,0,1,3,10,0,0,3,8,0,4,0,2,0,0,2,0,0,3,1,0,0,1,21,0,3,1,0,1,8,1,0,2,0,6,0,1,22,0,1,0,1,13,1,11,1,10,13,1,0,4,2,0,0,0,0,5,7,16,0,0,4,0,4,1,6,1,0,14,0,5,0,7,0,4,0,7,6,7,0,0,0,25,10,0,3,0,0,0,0,0,0,0,0,1,6,9,4,3
7,6,0,2,2,4,1,14,2,1,6,8,1,0,10,7,3,8,0,1,0,9,4,0,3,13,19,0,8,2,1,0,13,2,0,3,22,1,11,10,15,1,3,0,3,5,8,0,0,18,11,10,6,0,6,2,0,14,1,7,0,1,0,0,0,16,0,9,0,3,2,9,1,1,8,0,12,1,2,4,2,9,3,5,23,1,18,2,9,2,0,1,3,1,4,2,1,0,6,6,6,1,2,4,2,3,7,3,1,2,7,0,17,0,7,0,8,0,24,12,11,1,1,0,26,17,1,2,0,0,0,2,0,0,0,0,4,3,4,5,3
0,2,2,0,18,0,2,14,2,20,0,0,8,2,6,5,4,0,6,10,0,2,0,7,3,2,24,0,1,1,4,1,0,3,0,2,8,4,6,4,6,20,13,5,0,1,0,3,0,0,5,1,12,1,1,0,0,5,0,3,5,13,0,14,2,16,8,8,0,17,2,1,11,2,1,1,0,9,5,3,0,6,2,10,2,0,5,12,4,1,4,12,6,13,1,4,9,0,0,16,7,1,7,3,2,2,25,6,2,8,0,0,4,9,8,10,3,0,3,8,1,4,11,0,3,4,6,2,0,4,0,3,1,0,2,0,0,0,3,0,8
1,0,2,18,0,0,1,3,1,38,2,0,10,2,1,4,5,1,4,4,1,2,0,1,2,1,4,2,2,3,7,1,0,11,0,3,8,0,5,33,2,0,6,9,0,2,9,1,2,1,7,0,2,1,5,1,1,0,1,5,5,6,3,12,3,8,5,7,2,4,3,1,4,0,0,5,4,1,4,1,0,6,4,5,0,0,2,15,8,3,2,6,0,16,0,0,42,3,0,13,4,3,2,2,0,0,8,8,0,2,1,2,1,1,0,5,4,2,1,2,1,5,2,11,3,4,4,29,0,8,2,22,0,0,0,0,4,1,0,1,5
0,3,4,0,0,0,0,0,0,0,0,22,0,0,1,0,0,2,0,0,0,4,3,0,0,5,0,0,4,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,10,0,0,0,5,0,0,0,0,4,0,0,4,0,0,0,0,9,0,23,0,0,4,0,0,1,0,8,0,0,0,2,0,0,0,0,2,0,7,0,0,0,0,5,0,3,0,3,0,0,0,0,1,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0
0,0,1,2,1,0,0,2,0,5,0,0,1,0,0,4,5,1,4,2,2,0,0,0,0,0,2,0,0,4,2,1,0,0,1,0,0,6,1,3,8,1,25,5,5,0,0,1,14,0,0,1,1,1,1,5,0,0,25,0,4,8,9,4,0,0,5,6,0,4,1,0,4,3,0,0,0,4,5,0,0,0,0,7,0,1,3,4,1,0,2,0,0,0,0,12,3,0,0,0,0,1,3,0,2,0,16,7,2,20,0,1,0,5,0,5,0,1,1,0,0,4,8,17,1,1,2,6,0,1,1,4,1,4,1,2,0,0,1,0,7
0,0,14,14,3,0,2,0,0,14,12,4,6,1,4,8,1,0,4,11,1,5,0,7,3,7,9,0,7,10,19,1,2,0,1,7,4,0,5,2,0,1,9,1,2,1,0,1,1,22,4,3,4,0,4,8,1,7,1,5,0,5,0,9,6,17,4,11,4,8,5,2,2,0,3,0,0,0,2,0,1,2,5,4,14,3,3,7,1,10,2,0,0,1,2,0,7,0,8,1,8,3,0,0,4,1,9,12,1,1,2,0,6,6,33,3,6,2,0,2,1,1,19,1,6,9,6,1,2,1,0,1,2,3,3,1,4,2,0,6,9
0,0,2,2,1,0,0,0,0,6,0,0,8,7,2,2,2,1,20,1,10,0,0,7,0,0,9,0,1,0,1,9,0,0,17,0,1,0,0,3,4,5,3,5,6,1,0,9,3,1,0,0,0,17,0,7,4,0,4,0,6,13,7,1,3,3,2,1,7,1,1,0,6,4,0,1,0,9,26,0,1,0,0,1,0,3,0,1,1,1,6,3,0,6,0,5,1,0,0,1,0,6,28,0,17,0,7,9,0,6,0,12,0,9,0,10,3,5,1,0,0,2,6,1,0,0,10,2,15,9,10,1,5,6,12,3,0,0,0,1,12
1,1,1,20,38,0,5,14,6,0,1,0,9,4,0,11,6,0,7,2,1,0,0,0,3,3,13,0,2,10,11,1,0,2,5,7,8,6,3,0,1,0,10,15,2,3,1,0,5,0,2,1,2,2,3,2,0,3,3,3,8,20,1,9,1,1,6,10,7,6,9,0,3,2,2,1,0,4,11,0,4,13,4,4,3,1,8,10,17,2,1,0,2,2,0,2,48,13,0,6,11,2,2,1,7,2,12,14,3,3,0,3,3,3,1,5,5,4,4,3,4,6,8,6,3,0,10,13,0,8,3,46,4,0,1,0,6,1,2,2,16
