Ant57,Ant260,Ant52,Ant397,Ant929,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant60,Ant64,Ant74,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant229,Ant232,Ant242,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant326,Ant331,Ant332,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant458,Ant492,Ant501,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,1,8,1,18,4,2,10,5,0,0,8,0,0,9,7,0,20,3,1,10,1,1,1,4,0,3,25,7,0,2,1,14,0,0,15,5,0,11,5,0,0,1,5,3,0,5,2,2,7,1,4,34,13,13,21,1,0,0,0,0,6,2,1,11,0,0,0,5,1,12,3,0,3,0,10,2,9,12,1,2,20,17,14,9,6,1,33,3,3,1,0,2,2,1,2,0,5,1,28,7,1,2,0,3,2,5,5,0,7,0,3,2,8,10,0,2,11
1,0,0,8,0,37,23,3,0,1,1,1,16,13,0,0,1,1,13,42,1,8,0,4,3,0,7,0,0,13,0,3,0,54,0,9,9,35,1,4,6,39,4,2,0,13,0,5,0,6,0,2,0,8,0,0,19,11,0,0,2,3,17,5,0,10,55,49,18,19,0,2,16,0,48,0,4,0,2,1,33,0,2,0,0,0,3,1,17,10,19,27,63,37,0,5,0,3,0,0,15,2,3,12,0,5,0,6,5,0,10,7,14,0,0,20,10,0
8,0,0,0,7,5,0,10,1,9,0,5,0,1,3,3,10,4,3,9,4,3,10,0,4,4,47,0,1,1,1,6,0,2,7,15,1,1,1,11,0,1,0,15,2,1,16,6,9,0,33,8,18,6,1,8,1,0,2,1,9,17,3,7,4,1,0,0,6,0,6,0,0,3,0,0,2,12,7,9,0,20,12,18,10,45,1,2,1,5,0,0,1,0,0,0,0,0,4,6,0,2,0,0,51,5,10,12,0,6,0,9,8,1,1,1,2,2
1,8,0,0,3,5,5,1,1,0,2,0,16,8,2,0,2,0,33,12,3,6,5,6,16,0,1,0,0,6,0,16,0,10,0,1,1,13,2,1,18,22,16,6,0,11,0,4,0,4,0,4,4,0,0,1,3,33,0,1,0,0,4,4,0,9,3,24,0,13,3,7,1,0,11,2,0,2,3,0,9,1,0,0,3,1,21,0,7,10,6,8,5,6,0,1,0,3,2,0,6,0,11,19,0,0,0,0,14,0,1,4,10,2,0,0,1,4
18,0,7,3,0,4,1,19,0,2,1,17,0,1,16,0,11,1,4,1,3,3,12,2,12,4,1,0,3,0,10,3,3,0,7,2,1,0,15,4,1,1,5,13,7,0,20,3,10,5,2,10,11,0,11,6,0,2,2,8,0,14,0,9,6,1,0,4,0,0,12,0,0,1,0,4,7,23,14,1,0,9,1,0,10,4,2,5,2,0,2,1,0,1,0,0,0,2,19,5,2,0,6,0,1,6,0,6,0,23,0,5,5,4,5,2,4,32
4,37,5,5,4,0,11,1,5,0,1,1,0,1,7,0,14,0,30,4,3,6,8,6,10,3,0,0,0,2,3,20,0,4,0,6,2,13,6,7,16,23,6,12,4,8,7,2,3,4,0,5,0,4,0,3,5,15,0,3,0,4,36,1,0,7,6,3,8,1,1,11,3,1,0,6,2,1,7,0,8,0,0,2,2,1,6,0,13,20,5,4,2,1,0,8,2,0,10,0,15,0,18,0,3,6,1,14,18,1,9,13,21,3,0,25,17,11
2,23,0,5,1,11,0,1,17,3,9,2,29,25,0,1,2,4,25,6,3,9,4,12,9,5,7,1,5,5,2,19,0,66,0,7,8,26,2,5,24,22,12,0,1,21,5,15,5,9,2,4,0,11,4,1,11,29,0,8,2,2,23,8,2,6,33,29,23,14,3,0,10,2,59,1,3,4,5,1,24,4,1,3,1,1,15,0,9,18,21,16,41,47,0,15,0,5,2,2,18,2,7,3,0,11,2,3,8,4,19,15,29,1,1,22,14,0
10,3,10,1,19,1,1,0,1,7,3,8,0,0,6,0,3,12,2,2,9,4,2,1,3,7,8,4,9,0,5,7,6,0,0,1,0,0,5,3,2,0,1,11,7,4,14,4,10,0,11,4,6,3,17,3,1,0,5,1,0,5,2,9,11,0,0,0,4,1,14,4,0,4,0,6,11,5,5,1,3,34,34,4,5,3,0,14,0,3,2,6,0,1,0,2,0,2,7,5,5,1,2,0,0,20,2,7,1,11,1,6,2,5,4,1,2,5
5,0,1,1,0,5,17,1,0,0,0,0,4,6,0,0,0,2,13,5,2,19,4,7,1,4,1,3,6,0,3,13,3,0,1,1,2,1,9,6,3,4,11,5,1,1,4,4,1,14,3,1,2,6,5,3,12,0,0,14,1,0,7,5,1,4,2,4,15,1,1,1,3,8,0,8,2,6,3,0,3,15,0,2,0,2,7,6,12,10,2,6,0,3,0,10,0,5,8,13,12,0,16,0,0,10,0,1,6,3,1,5,2,1,0,8,4,5
0,1,9,0,2,0,3,7,0,0,0,14,2,2,1,1,6,20,3,0,1,9,13,0,2,0,24,0,18,0,0,5,12,0,0,14,0,2,3,7,1,0,0,1,0,0,3,1,0,5,13,0,1,7,0,0,0,0,5,3,8,16,4,12,1,1,1,0,12,0,7,0,0,3,0,0,6,2,1,2,0,4,24,11,1,0,0,0,2,0,0,7,0,1,3,0,0,1,0,4,2,3,2,0,0,83,0,24,1,1,2,0,1,0,2,0,7,0
0,1,0,2,1,1,9,3,0,0,0,1,0,5,0,0,0,0,7,3,0,5,2,6,1,1,4,0,0,1,0,4,0,3,0,0,12,0,3,0,16,7,7,4,0,4,2,3,1,3,0,0,0,0,6,0,11,0,0,4,0,0,9,2,1,7,1,1,0,0,0,4,2,1,0,10,0,4,0,0,0,0,0,1,3,1,11,0,12,2,4,0,1,0,0,11,0,3,1,0,2,1,6,0,0,0,0,0,3,0,4,9,6,2,0,11,2,3
8,1,5,0,17,1,2,8,0,14,1,0,2,1,0,2,0,3,4,0,1,17,2,0,4,0,47,142,13,1,2,2,0,0,93,0,3,0,7,3,3,1,4,0,3,1,4,1,2,0,3,9,5,0,9,6,3,0,6,1,2,2,4,1,0,0,0,1,6,0,6,5,0,0,0,3,5,20,13,4,5,6,13,0,0,5,1,0,1,1,2,3,0,0,7,2,0,0,4,4,5,17,1,0,4,16,0,6,1,2,0,12,0,0,0,0,4,3
0,16,0,16,0,0,29,0,4,2,0,2,0,25,0,0,3,0,3,4,0,1,0,0,0,0,12,0,0,32,0,5,0,59,0,0,0,29,0,0,1,21,7,1,0,7,0,0,0,3,0,5,0,0,0,0,4,42,0,2,0,2,0,7,0,7,13,42,2,16,0,0,22,0,47,4,1,0,3,0,30,0,0,0,0,0,11,0,8,8,21,8,28,25,0,2,0,11,0,0,0,0,5,2,0,0,0,1,0,0,2,17,0,0,0,10,1,1
0,13,1,8,1,1,25,0,6,2,5,1,25,0,0,0,0,0,21,14,0,12,0,0,0,1,4,0,0,12,0,7,0,13,0,0,2,8,0,2,3,29,17,1,0,13,0,10,0,9,0,5,0,12,2,0,10,49,0,0,1,1,6,1,0,8,29,44,12,13,0,5,12,1,9,0,0,1,3,0,16,0,0,0,1,8,17,0,27,23,13,17,4,14,0,9,0,2,6,1,7,2,8,6,0,0,0,11,7,0,5,12,4,1,0,33,13,1
