Ant52,Ant65,Ant244,Ant2,Ant6,Ant7,Ant15,Ant19,Ant30,Ant60,Ant72,Ant99,Ant102,Ant148,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant518,Ant604,Ant673,Ant12,Ant20,Ant32,Ant35,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant265,Ant289,Ant294,Ant296,Ant298,Ant305,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant575,Ant592,Ant593,Ant599,Ant607,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
0,0,1,1,5,0,1,2,3,5,0,3,6,7,2,0,20,0,4,1,0,0,1,0,0,0,0,4,0,0,5,2,3,10,0,1,0,0,5,0,1,8,0,0,1,0,0,0,21,0,0,0,5,3,0,0,6,0,0,0,1,1,2,0,0,3,1,1,0,0,0,0,4,8,0,1,1,1,0,0,4,3,3,0,0,0,1,0,6,0
0,0,2,3,5,1,1,0,6,2,2,1,1,1,0,0,0,11,7,10,6,8,0,0,0,1,15,0,0,0,1,0,0,5,6,3,4,29,0,3,1,6,0,0,0,0,0,6,1,1,0,0,1,0,0,2,4,3,8,11,10,0,1,22,1,0,6,2,3,8,0,7,0,0,2,1,0,0,3,12,0,3,6,1,1,0,20,0,0,1
1,2,0,1,12,3,2,0,14,3,0,2,7,0,4,0,5,2,0,0,0,5,9,0,5,18,4,8,0,0,7,0,1,0,0,0,0,7,2,5,5,1,8,0,2,0,0,17,8,5,0,0,19,17,0,1,3,1,2,1,2,6,12,2,8,2,3,0,23,0,1,0,7,3,0,18,1,2,3,6,1,2,11,0,13,0,5,0,8,0
1,3,1,0,10,20,0,8,4,0,12,0,3,0,4,0,0,23,7,15,9,1,6,0,3,11,3,2,4,5,0,4,1,5,1,6,2,13,0,15,12,3,9,0,6,0,0,6,4,2,1,0,2,23,0,4,1,0,16,2,4,2,2,4,1,3,4,0,15,6,1,5,0,8,2,3,6,7,6,7,1,10,3,16,18,0,8,0,4,3
5,5,12,10,0,1,1,7,8,2,0,5,8,0,1,0,1,3,6,4,0,3,13,0,8,14,6,10,0,0,17,9,2,4,8,3,3,9,1,1,14,20,5,0,5,0,0,10,10,9,0,0,6,6,0,1,4,1,6,10,2,3,24,5,4,3,11,9,2,0,3,5,18,4,1,8,1,4,0,7,8,4,5,0,3,0,6,0,41,3
0,1,3,20,1,0,6,10,4,2,8,6,2,1,6,3,1,7,9,23,6,3,1,0,1,4,5,7,0,0,3,2,0,8,1,5,1,11,10,24,21,3,6,0,2,1,0,8,1,3,1,1,5,9,0,13,12,5,2,1,8,16,3,2,6,8,3,5,10,6,1,14,4,8,3,6,2,0,7,5,2,4,3,14,27,1,1,0,4,2
1,1,2,0,1,6,0,2,4,2,1,12,0,34,3,0,11,8,12,0,7,0,15,0,1,2,1,26,6,0,0,0,1,7,2,1,2,4,9,0,5,2,8,0,1,0,0,2,13,9,0,0,2,8,0,2,13,1,4,2,0,4,0,5,0,4,2,11,1,0,3,6,2,0,2,0,29,8,1,12,1,14,29,0,0,0,0,0,14,12
2,0,0,8,7,10,2,0,9,6,4,2,13,1,0,0,1,4,0,4,3,4,5,0,2,1,11,4,8,3,4,0,26,12,2,7,1,15,0,11,12,4,7,0,10,0,0,12,5,4,0,0,10,12,0,3,4,2,18,4,3,2,7,3,5,3,7,11,1,0,3,7,0,13,9,6,10,3,0,3,2,18,6,0,1,0,9,0,8,2
3,6,14,4,8,4,4,9,0,2,2,3,16,3,12,0,5,6,2,17,8,3,2,0,2,12,11,7,0,1,10,8,4,3,1,1,0,4,14,27,14,9,8,0,0,0,0,6,4,0,0,0,12,2,0,6,12,2,18,4,5,13,3,6,5,12,11,14,14,3,3,4,9,12,2,8,1,6,0,9,7,2,17,1,14,0,8,1,24,5
5,2,3,0,2,2,2,6,2,0,3,3,1,4,4,0,10,0,2,0,1,1,1,0,0,5,3,11,4,1,12,10,1,5,0,0,0,3,2,4,2,16,0,0,5,0,0,8,11,3,0,0,7,12,0,0,3,2,1,0,0,1,28,0,7,29,5,8,1,0,2,1,18,16,1,5,5,1,0,2,7,6,10,0,3,0,2,0,4,16
