Ant57,Ant260,Ant52,Ant397,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant190,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant229,Ant232,Ant242,Ant250,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant324,Ant326,Ant331,Ant332,Ant334,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant560,Ant576,Ant592,Ant593,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,0,11,2,15,3,3,0,20,0,23,0,5,0,0,0,23,4,55,12,12,20,2,0,3,1,10,17,5,9,3,3,24,5,0,2,3,8,1,3,0,10,7,4,0,20,3,2,0,0,0,9,9,0,5,2,0,8,8,17,3,11,25,10,17,1,1,1,1,3,1,7,0,3,18,4,0,2,7,6,0,7,0,0,0,10,8,0,2,4,1,0,12,24,29,10,5,0,38,26,5,2,6,1,7,3,2,0,0,0,1,4,0,7,4,1,16,4,5,1,0,13,0,2,0,0,2,47,17,0,0,10,4,3,0,0,2,1,20,1,1,0,6
0,0,0,3,0,1,6,7,0,1,0,4,0,2,33,53,0,3,0,0,0,0,30,22,0,1,0,0,1,1,6,3,0,0,20,0,1,0,3,0,32,1,0,3,12,0,2,59,10,28,5,0,0,23,0,0,0,0,0,0,4,1,7,1,1,6,4,0,3,1,3,3,48,3,0,1,69,21,2,8,11,1,1,0,27,0,1,1,25,9,0,21,0,0,1,0,0,15,0,0,0,1,0,1,0,8,5,2,13,7,3,5,11,0,25,0,0,2,0,7,27,0,18,14,19,1,0,0,0,18,29,0,4,1,20,24,20,11,0,0,5,1,0
11,0,0,1,32,15,0,0,3,11,0,4,2,0,0,0,5,1,31,0,0,29,2,0,7,2,2,14,0,0,10,7,5,6,0,13,0,6,0,0,0,5,2,1,1,6,11,0,0,0,6,3,39,0,9,1,8,5,0,8,0,9,5,3,4,1,0,12,0,0,20,20,1,13,11,1,4,0,0,3,0,36,2,0,4,8,1,0,4,0,5,0,17,8,31,29,1,0,32,9,2,3,3,1,1,1,0,0,0,3,1,2,2,2,4,0,13,0,3,1,0,6,8,20,0,0,0,25,10,1,0,1,2,3,0,0,4,1,2,0,0,0,24
2,3,1,0,0,1,21,5,1,1,1,14,3,3,4,12,0,0,0,0,1,0,15,6,3,17,1,0,8,3,11,0,16,0,7,0,5,3,3,2,14,2,1,1,12,6,15,15,14,11,13,0,2,0,1,0,21,0,17,0,3,1,9,1,2,14,3,0,23,1,8,8,8,8,0,7,13,11,0,29,2,5,1,0,4,0,0,4,3,12,1,10,0,0,7,0,1,0,0,0,1,1,5,9,0,10,14,2,16,1,4,7,14,0,20,1,14,5,0,13,19,2,9,24,2,0,0,8,0,6,12,0,0,3,10,3,12,12,0,0,0,13,1
15,0,32,0,0,6,5,0,12,9,23,1,2,0,2,0,20,10,6,7,16,0,4,0,3,2,8,8,5,6,4,18,18,10,0,9,5,2,5,10,0,13,20,7,0,8,23,1,0,0,3,2,7,0,6,12,1,7,7,8,8,21,9,7,9,3,0,5,10,1,6,18,0,6,0,1,0,7,18,1,0,17,0,3,1,10,5,1,2,8,2,0,6,2,11,15,6,0,8,2,5,11,11,1,10,9,1,2,0,0,0,7,0,3,3,0,10,4,10,4,0,4,1,3,1,0,3,22,26,0,0,13,4,13,2,0,0,0,4,20,0,6,2
3,1,15,1,6,0,0,15,1,6,0,0,4,0,0,1,5,3,0,0,6,11,4,0,0,13,23,1,13,7,21,8,15,6,0,6,1,2,24,0,2,16,22,0,3,1,37,0,1,8,17,5,22,0,0,0,0,1,8,19,2,0,37,3,2,6,0,5,9,9,46,22,0,16,0,11,18,3,0,28,7,4,0,14,3,2,11,3,9,8,1,0,1,5,33,25,7,1,8,19,1,0,13,1,0,1,8,7,0,4,0,0,10,1,2,0,21,0,12,0,2,2,10,25,0,1,0,31,5,0,0,6,0,2,0,0,4,2,4,12,0,22,14
3,6,0,21,5,0,0,7,0,10,0,14,0,0,1,4,1,1,0,0,0,2,62,1,3,6,1,0,3,4,4,1,30,0,1,0,11,12,10,1,37,1,2,9,11,2,9,1,4,6,26,0,1,0,0,0,15,3,5,4,5,2,2,2,0,37,12,0,5,7,7,2,5,5,0,8,38,10,17,14,5,5,0,0,26,0,1,3,6,6,1,0,0,0,8,1,0,0,1,6,2,1,1,16,0,2,26,3,19,8,0,4,21,1,22,0,4,1,0,5,11,1,13,2,8,0,0,0,4,1,0,0,4,1,2,0,2,5,1,3,8,16,3
0,7,0,5,0,15,7,0,0,0,0,0,0,8,3,13,0,0,0,0,0,0,9,18,0,0,0,0,1,0,1,0,0,0,10,0,0,0,1,0,17,0,0,0,13,0,0,11,6,39,1,0,0,13,0,0,0,0,3,0,0,0,0,0,0,1,9,0,1,0,0,5,7,0,0,0,49,12,0,24,9,1,2,0,6,0,0,3,0,5,0,26,0,0,0,2,0,44,2,0,0,0,0,0,0,7,0,6,6,13,0,0,9,0,4,0,0,0,0,1,6,0,0,2,31,2,0,0,0,31,41,0,0,0,12,25,20,6,0,0,5,0,2
20,0,3,1,12,1,0,0,0,1,0,0,11,0,0,0,33,3,19,23,11,6,3,0,0,0,65,8,4,11,6,6,7,32,1,1,1,3,2,9,0,10,1,0,0,10,4,6,0,0,0,20,25,0,0,5,2,37,0,1,7,12,7,5,2,0,1,16,1,2,0,1,0,2,12,0,2,0,0,2,0,5,0,34,1,47,6,0,2,1,1,0,21,5,3,2,11,0,17,0,9,4,3,4,14,0,3,0,0,1,2,1,0,14,0,0,1,6,28,0,0,15,1,0,0,0,5,7,3,0,0,1,0,4,0,0,2,2,20,30,0,2,38
0,1,11,1,9,6,10,0,1,0,2,8,3,0,7,6,0,6,0,0,0,7,14,0,2,18,1,2,0,3,15,4,5,1,1,7,11,6,12,0,0,5,13,2,14,2,5,3,0,0,18,1,1,0,5,1,15,7,3,5,8,2,22,0,0,3,1,1,10,2,27,0,7,4,1,3,5,3,2,11,4,5,1,1,17,0,6,2,3,13,2,1,0,1,1,0,0,0,1,5,5,0,5,8,0,5,3,0,5,4,5,4,3,3,13,0,14,3,5,7,0,1,3,0,2,0,0,0,1,1,0,5,7,11,7,0,6,7,2,0,4,9,0
