Ant4,Ant260,Ant52,Ant65,Ant244,Ant397,Ant540,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant210,Ant215,Ant219,Ant220,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant501,Ant509,Ant556,Ant560,Ant564,Ant576,Ant580,Ant599,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,16,5,21,0,1,2,18,19,6,1,16,5,1,1,0,0,11,6,0,1,17,3,0,4,2,0,1,0,0,1,8,0,11,10,4,0,0,0,5,5,0,0,16,8,4,0,1,0,5,0,20,1,0,0,3,3,12,1,9,6,3,3,0,0,3,1,2,5,0,0,7,10,0,2,4,5,0,5,0,8,13,9,0,0,10,6,1,1,2,0,17,0,14,1,0,11,0,15,4,10,0,0,12,0,15,0,0,0,0,0,0,0,3,15,4
16,0,13,13,0,8,1,18,28,3,4,9,5,22,5,0,0,11,9,1,7,24,2,0,10,0,0,1,0,0,10,6,0,11,3,22,0,1,1,0,15,0,2,31,1,1,0,9,0,30,3,17,6,5,0,17,4,1,1,9,10,13,9,0,1,1,6,8,17,18,0,8,24,0,0,9,1,3,7,0,5,15,5,1,3,9,10,10,10,1,0,37,1,26,5,1,11,1,22,18,10,8,0,12,2,4,0,0,0,0,0,0,1,17,16,8
5,13,0,0,1,14,7,0,6,10,0,10,8,5,14,4,0,2,0,10,2,29,9,0,10,19,13,10,0,3,9,11,13,0,8,11,1,20,10,3,0,4,3,0,0,10,6,13,11,16,5,3,5,20,6,8,6,0,18,6,1,6,5,0,12,2,6,7,3,8,4,5,15,1,12,28,0,5,10,0,0,5,5,9,2,7,4,17,20,1,13,2,0,2,6,4,1,9,2,5,4,2,1,0,6,0,1,5,6,1,2,0,12,5,0,18
21,13,0,0,0,9,0,22,95,2,11,26,0,10,1,0,0,58,13,1,1,52,14,0,7,6,1,0,0,0,17,6,2,16,6,53,1,0,1,4,20,0,1,14,7,23,0,17,3,16,2,33,27,0,1,8,1,6,2,4,10,11,0,0,6,15,0,22,4,32,0,8,77,0,2,8,5,2,4,0,8,12,31,0,0,9,25,6,4,4,1,26,0,29,1,1,10,0,21,19,36,5,0,27,8,30,0,0,0,0,0,0,2,12,12,14
0,0,1,0,0,0,0,0,0,2,1,0,5,1,11,0,0,0,0,3,0,4,4,0,4,2,9,9,0,2,0,7,21,0,1,1,1,18,4,0,0,7,18,3,0,1,4,0,0,0,2,0,4,7,8,0,0,0,4,0,1,0,2,2,1,1,0,0,2,1,2,2,15,8,8,2,0,0,1,0,1,0,0,0,5,0,2,2,0,4,7,0,2,0,4,5,1,4,1,0,0,0,12,0,0,0,2,10,8,3,5,1,1,0,0,2
1,8,14,9,0,0,0,0,0,5,4,1,5,8,10,1,0,2,0,0,5,20,20,0,6,6,3,11,0,0,0,14,3,1,11,19,6,7,8,0,6,5,2,6,0,2,0,6,0,15,2,2,8,23,7,11,2,0,9,6,1,2,2,1,19,21,8,4,3,14,5,6,36,3,1,12,0,6,10,0,1,7,19,11,3,1,1,16,10,13,5,1,2,4,0,8,3,11,11,2,6,2,17,0,18,0,3,3,2,1,0,0,19,2,4,8
2,1,7,0,0,0,0,0,1,3,2,0,4,5,4,4,9,0,0,8,14,5,0,0,1,0,4,6,0,17,0,2,8,0,1,4,15,7,17,3,0,5,8,1,0,5,1,2,13,2,8,0,4,17,8,3,0,0,9,1,0,1,43,20,3,5,6,1,0,4,2,1,0,3,3,16,10,7,4,0,1,0,2,16,4,4,0,1,6,3,22,0,4,0,7,2,1,2,0,0,2,0,4,0,3,0,0,3,6,5,3,7,2,0,0,4
18,18,0,22,0,0,0,0,28,0,2,4,0,6,1,0,0,14,8,0,2,27,1,0,16,0,8,0,0,0,7,2,0,10,8,9,0,0,1,0,2,0,1,23,0,0,0,2,0,11,1,20,0,1,0,9,0,3,0,5,4,4,0,1,1,2,0,3,2,10,0,4,40,0,2,5,6,0,8,0,7,5,7,0,0,12,2,3,7,4,1,21,1,15,0,0,12,0,15,7,1,3,0,19,0,4,0,0,0,0,0,0,0,13,3,12
19,28,6,95,0,0,1,28,0,1,6,19,1,0,4,0,0,23,46,0,1,53,2,1,12,0,0,1,0,0,3,0,0,13,19,3,2,0,0,4,7,0,2,37,4,0,0,5,1,2,1,52,0,2,1,3,0,0,0,14,10,1,2,0,2,1,0,4,2,3,0,15,18,1,0,12,19,0,16,0,17,87,23,0,0,38,6,2,2,1,0,47,0,147,0,0,30,0,42,45,15,0,0,141,3,8,0,0,0,0,0,0,0,35,17,10
6,3,10,2,2,5,3,0,1,0,8,2,4,6,4,0,0,0,0,4,6,10,28,0,4,7,9,6,0,0,4,6,5,1,2,11,10,4,23,4,4,0,1,6,0,15,2,8,9,16,3,9,13,14,5,11,5,0,7,6,0,14,0,0,16,7,9,3,2,9,3,1,21,1,5,9,0,8,5,0,0,8,7,1,0,2,6,11,4,1,2,8,2,0,4,0,2,2,0,0,10,1,2,4,4,0,9,0,0,1,5,1,7,9,1,14
1,4,0,11,1,4,2,2,6,8,0,6,1,8,4,0,0,3,1,0,5,9,8,1,5,4,1,2,0,0,10,2,1,1,5,17,1,1,5,0,0,0,2,4,0,2,0,2,4,4,5,4,9,5,6,6,1,0,10,2,0,1,0,0,7,5,0,5,1,7,8,9,17,4,0,4,0,7,2,0,0,4,2,0,0,3,1,9,6,4,1,7,0,3,3,4,4,0,3,2,1,3,0,1,10,0,0,1,0,2,0,0,6,15,0,10
16,9,10,26,0,1,0,4,19,2,6,0,2,10,1,0,1,18,8,0,2,21,16,0,14,1,0,0,0,0,6,4,0,28,5,12,0,1,0,2,26,0,0,20,14,3,0,4,7,7,2,37,14,2,0,5,3,10,4,14,1,7,0,0,0,0,0,24,4,7,0,7,25,0,2,14,5,0,3,0,3,5,10,1,0,4,14,1,2,3,0,18,0,16,0,1,9,0,14,13,4,2,1,22,3,20,1,1,0,0,0,0,5,16,15,25
5,5,8,0,5,5,4,0,1,4,1,2,0,4,8,1,0,1,0,5,0,20,4,0,5,11,9,8,0,0,3,8,1,1,8,12,10,3,10,10,1,3,4,15,0,9,3,2,0,9,6,1,4,13,5,5,7,0,11,3,11,5,4,1,3,3,5,1,7,13,0,4,25,1,8,2,8,1,8,0,0,1,2,6,1,7,1,3,9,11,0,0,1,5,2,6,3,2,11,5,1,1,8,0,1,0,2,2,0,0,2,0,1,2,0,13
1,22,5,10,1,8,5,6,0,6,8,10,4,0,13,4,10,3,1,10,13,22,12,0,2,2,10,0,0,17,5,33,29,3,7,14,6,4,5,8,4,2,4,6,0,14,6,2,22,9,1,9,12,20,9,2,2,0,15,2,1,17,3,2,26,12,0,6,14,6,0,8,28,11,5,7,1,10,0,0,0,2,1,5,2,3,8,7,24,2,7,2,0,3,21,11,1,1,5,2,4,2,4,3,6,0,3,1,2,2,7,5,4,5,6,11
1,5,14,1,11,10,4,1,4,4,4,1,8,13,0,5,14,3,0,7,4,26,26,0,1,6,24,3,0,3,2,14,5,1,16,6,5,26,27,4,1,2,25,1,0,9,1,13,1,7,5,1,14,31,15,2,12,0,16,12,0,11,4,13,10,9,5,1,8,5,6,2,16,7,14,7,6,9,31,0,0,3,5,7,10,1,0,8,6,22,4,1,0,0,5,24,9,8,4,0,0,9,10,1,1,0,8,10,8,6,3,5,8,2,1,9
