Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant76,Ant99,Ant102,Ant148,Ant158,Ant161,Ant191,Ant202,Ant209,Ant227,Ant237,Ant252,Ant268,Ant278,Ant311,Ant329,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant68,Ant80,Ant91,Ant96,Ant97,Ant98,Ant100,Ant105,Ant109,Ant112,Ant114,Ant126,Ant137,Ant140,Ant142,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant219,Ant220,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant332,Ant342,Ant356,Ant394,Ant395,Ant398,Ant400,Ant433,Ant437,Ant458,Ant476,Ant492,Ant502,Ant507,Ant509,Ant527,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant635,Ant638,Ant647,Ant650,Ant665
0,11,1,0,7,0,6,16,1,5,11,10,5,15,22,10,0,6,4,5,9,10,4,9,1,0,5,14,3,0,2,7,5,11,5,12,19,0,2,0,5,1,2,13,1,5,7,17,3,15,2,6,7,13,5,15,2,18,6,5,21,18,4,14,11,6,7,4,22,6,0,4,9,10,5,1,0,2,4,4,4,1,3,9,1,5,1,8,0,13,13,12,11,4,4,1,2,2,10,3,5,4,6,15,16,7,0,6,16,8,0,25,4,13,18,11,2,3,2,19,21,8,1,7,8,0,13,10,1,34,6
11,0,3,0,4,0,9,9,0,0,25,2,8,2,1,8,0,1,7,13,0,2,11,16,0,11,3,4,0,0,0,2,1,3,0,17,29,1,2,19,0,3,5,9,3,5,18,14,0,15,0,11,1,8,0,12,1,6,20,0,17,3,0,18,1,2,36,1,5,0,0,2,35,21,5,0,0,0,1,1,1,0,0,4,9,0,0,8,0,7,1,5,23,0,7,6,2,30,4,20,0,6,1,16,10,4,1,6,25,0,0,35,0,28,12,3,0,4,0,25,8,3,0,0,2,0,16,0,0,18,6
1,3,0,0,1,0,1,1,0,0,6,0,0,0,1,1,0,4,0,3,3,0,1,0,0,7,0,1,1,0,0,0,0,0,0,33,8,0,0,14,0,0,0,3,11,0,6,4,0,0,0,0,2,12,0,0,0,0,3,0,1,2,10,0,0,0,0,0,0,0,0,0,31,0,2,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,1,0,9,0,0,4,0,6,4,1,1,0,0,0,0,0,0,26,0,0,0,1,3,0,1,0,0,0,0,3,5,0,0,28,1,0,2,0,1,0,4
0,0,0,0,2,0,2,7,12,6,0,0,1,0,1,0,5,2,3,0,0,9,0,18,0,0,2,0,0,4,3,7,4,3,0,0,3,0,4,0,0,0,9,0,0,2,2,0,0,0,4,0,0,3,6,3,5,1,0,1,0,0,0,0,2,2,0,2,0,1,0,0,0,3,1,0,0,4,0,1,0,0,6,0,3,13,18,14,0,1,1,0,1,0,3,1,0,0,2,0,0,0,3,5,0,0,5,0,0,3,0,0,0,2,0,1,1,14,8,0,0,6,2,0,0,2,0,11,0,3,0
7,4,1,2,0,0,19,5,0,0,12,3,9,6,9,15,2,0,7,2,23,4,12,17,0,2,1,4,0,0,11,2,2,5,0,7,10,0,0,5,0,1,0,15,0,10,2,5,0,15,0,7,5,7,0,5,3,7,14,2,23,0,0,20,19,4,11,5,2,0,0,1,6,1,31,0,0,0,1,3,1,0,0,30,0,1,3,2,0,13,11,2,2,0,13,15,3,7,3,29,1,5,3,11,17,15,2,11,15,2,0,31,0,11,0,8,0,1,1,4,3,13,3,0,4,0,10,1,6,39,0
0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,12,0,0,2,0,0,0,0,277,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,86,0,0,0,0,0,3,25,0,4,0,10,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
6,9,1,2,19,0,0,4,3,1,13,1,5,7,10,5,0,8,5,3,5,4,1,14,0,3,2,2,0,1,0,21,1,6,0,5,17,0,0,1,2,4,0,8,3,2,2,1,0,1,1,1,14,8,1,15,11,14,7,3,6,0,0,6,12,10,13,10,7,1,0,4,8,13,16,0,0,0,4,2,1,0,2,14,1,4,1,7,0,10,9,4,14,2,22,13,6,9,10,14,8,11,2,16,13,4,0,7,13,3,0,21,0,34,0,4,1,4,5,1,12,20,2,0,3,0,13,1,8,15,3
16,9,1,7,5,0,4,0,11,2,0,10,10,0,6,6,0,1,3,5,1,2,12,24,0,0,0,11,0,0,0,3,8,5,0,1,31,0,3,0,0,5,2,9,0,3,1,5,1,9,2,0,4,0,2,6,1,2,7,1,3,1,0,4,34,8,32,2,4,7,0,1,0,12,10,0,0,2,1,1,1,0,8,1,2,12,11,0,0,1,3,3,7,0,4,4,5,1,8,4,2,10,3,11,8,13,5,4,8,5,4,18,1,9,2,6,5,1,3,4,13,3,0,0,28,0,8,0,1,13,11
1,0,0,12,0,0,3,11,0,6,1,3,0,0,2,0,3,2,5,0,0,1,0,29,0,0,7,0,0,14,4,24,6,0,0,0,6,0,2,1,0,15,3,2,0,7,0,0,0,4,3,0,0,1,4,6,6,4,2,0,3,0,0,1,3,2,1,2,0,1,0,4,0,2,5,0,0,6,0,9,1,1,0,0,4,13,8,20,0,6,2,0,0,0,15,0,0,0,7,0,0,1,10,0,2,3,9,0,1,6,0,0,0,1,0,14,3,0,3,0,17,10,1,0,0,0,0,13,0,3,0
5,0,0,6,0,13,1,2,6,0,2,3,1,0,6,0,24,4,0,0,3,23,8,6,31,0,2,4,2,17,3,6,22,10,13,0,0,17,14,0,24,2,14,0,0,14,0,2,19,5,10,0,0,0,12,2,11,3,0,32,2,1,0,1,2,3,0,11,6,16,11,10,0,1,3,4,23,13,1,18,8,5,30,2,4,2,7,4,3,6,0,3,0,2,0,0,6,0,1,4,2,1,11,1,2,8,13,0,3,20,2,0,12,1,0,4,21,6,0,0,10,2,25,0,19,6,3,14,1,8,1
11,25,6,0,12,0,13,0,1,2,0,0,4,10,6,14,0,2,8,5,12,3,5,29,0,14,12,3,2,0,1,15,3,2,0,20,8,0,2,20,0,2,3,11,14,5,17,5,1,7,0,2,27,25,0,35,1,4,6,0,9,1,3,14,2,4,19,0,3,0,0,3,16,6,9,0,0,1,11,0,5,0,0,4,2,1,0,4,0,13,11,19,19,0,5,28,5,36,11,17,15,6,0,4,5,6,0,18,9,0,0,26,0,30,33,4,0,9,9,12,6,3,0,11,5,0,5,0,5,30,10
