Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant25,Ant26,Ant30,Ant38,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant91,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,0,15,2,5,0,4,16,5,2,9,4,16,0,6,0,11,2,0,3,0,20,1,1,6,8,6,7,15,2,0,11,15,1,1,20,0,1,4,0,10,4,0,0,3,0,17,13,22,0,5,2,1,1,4,1,3,3,7,0,0,2,9,9,2,5,0,19,0,0,1,10,4,0,7,4,0,6,10,0,0,1,0,1,5,2,0,4,1,1,3,8,0,1,1,5,7,0,0,3,16,3,2,8,0,1,13,0,9,0,0,1,0,0,0,4,0,0,0,0,4,1,0,22,2,3,0,0,13,46,8,11,37
0,0,2,0,4,8,10,5,5,43,0,15,21,0,2,1,2,11,16,0,7,4,4,16,0,6,9,3,3,43,0,32,0,8,5,34,2,3,12,0,0,1,0,1,4,3,2,1,1,8,0,12,1,14,4,4,8,0,37,18,0,6,38,1,14,14,4,3,0,3,1,5,6,11,0,4,5,3,1,0,13,13,3,12,12,0,17,8,8,17,7,1,3,14,26,6,1,0,5,4,0,16,3,3,24,1,0,0,1,0,0,1,14,8,2,4,1,1,19,1,2,0,13,7,1,15,3,1,0,0,31,2,3
15,2,0,5,1,24,4,33,14,4,1,3,28,0,0,0,22,7,4,0,1,15,4,0,6,6,9,4,1,1,0,13,6,0,0,48,0,5,10,0,0,26,0,0,4,0,10,3,5,0,12,0,2,0,2,0,7,9,2,0,0,4,3,5,7,3,0,0,0,0,1,0,4,1,1,7,0,9,14,0,0,7,7,4,12,0,3,17,8,0,3,1,2,1,3,2,10,0,0,1,4,5,5,3,9,14,15,0,5,0,0,0,0,1,3,0,0,3,0,0,6,0,1,14,4,0,0,4,12,2,9,3,5
2,0,5,0,3,15,11,15,10,1,1,0,1,0,6,0,5,0,1,1,1,16,0,0,1,0,0,4,0,0,0,2,6,0,0,2,1,10,1,1,5,2,0,0,2,0,5,7,0,0,18,0,0,0,4,0,4,7,0,0,0,3,1,13,1,0,0,26,0,0,0,2,0,0,3,0,1,1,0,0,1,0,4,1,0,5,0,4,1,0,4,6,0,1,1,0,12,0,0,0,2,0,0,6,1,1,3,0,8,0,0,1,1,0,0,0,0,0,0,2,0,0,0,33,1,3,0,0,7,1,0,0,11
5,4,1,3,0,2,5,9,6,5,10,2,2,0,8,1,6,5,1,1,0,10,2,0,5,3,4,2,10,1,0,9,14,3,0,0,0,1,0,12,11,5,0,3,1,0,6,19,12,0,21,0,6,0,23,5,6,3,1,0,0,7,9,0,3,3,0,13,0,0,0,24,7,0,1,0,2,2,14,0,5,1,1,0,6,4,2,15,1,2,9,17,2,5,1,10,2,0,2,4,1,6,2,3,0,1,4,0,7,0,0,2,1,0,1,0,0,1,0,0,5,1,5,3,0,1,0,1,15,3,1,0,11
0,8,24,15,2,0,2,0,17,3,26,0,6,0,1,1,2,0,3,2,0,5,2,0,11,4,3,7,2,2,0,8,32,2,0,6,0,1,21,9,2,9,0,1,0,0,6,17,15,0,5,0,13,1,37,1,7,7,0,0,0,0,1,8,1,4,0,20,0,0,0,1,0,0,1,0,0,1,16,0,2,0,3,0,3,3,1,6,0,0,5,2,0,1,2,2,12,0,0,1,0,1,1,2,0,7,5,0,14,0,0,0,0,1,2,0,0,0,2,0,8,0,0,15,9,5,0,1,6,8,2,3,2
4,10,4,11,5,2,0,11,3,11,0,2,1,0,8,0,4,9,2,4,2,7,0,0,1,2,5,1,12,1,0,1,3,0,1,1,2,15,0,18,5,12,0,1,3,0,0,20,6,1,11,1,0,2,49,5,8,8,2,0,0,0,5,3,0,8,1,0,0,0,0,10,3,0,13,0,1,1,3,1,5,0,0,2,16,5,1,6,0,0,16,12,0,5,0,0,11,0,0,1,11,1,0,30,3,11,23,0,11,0,0,0,0,1,0,1,0,0,0,0,13,0,3,13,9,3,5,0,3,3,9,0,10
16,5,33,15,9,0,11,0,3,5,3,5,19,0,19,0,17,6,0,4,1,26,8,2,9,13,6,10,5,0,0,7,18,0,1,17,11,12,2,2,5,26,0,1,8,0,5,7,10,0,18,1,1,1,17,7,8,8,4,0,0,5,6,7,3,6,0,1,0,0,2,14,5,1,5,17,1,3,6,1,3,2,6,8,15,7,0,23,0,1,22,7,4,9,0,1,7,0,1,1,4,14,0,12,2,38,10,0,10,0,0,0,1,5,0,8,1,6,0,2,1,1,0,5,2,17,1,2,4,19,2,8,8
5,5,14,10,6,17,3,3,0,2,0,1,17,0,16,0,30,0,0,3,1,19,12,1,15,12,4,13,16,0,0,2,15,3,9,0,4,4,10,4,1,8,0,4,5,0,14,13,12,0,4,0,7,1,16,1,15,3,1,0,0,9,13,9,2,10,0,1,0,1,6,14,6,1,4,7,0,1,7,0,6,0,5,2,12,3,1,18,1,2,7,17,1,2,2,2,28,0,2,4,5,1,0,0,3,4,8,0,6,0,0,1,1,6,1,3,4,0,2,0,4,1,2,4,4,1,0,5,13,9,5,3,5
2,43,4,1,5,3,11,5,2,0,0,12,20,0,1,7,12,9,10,5,0,3,7,17,0,17,13,15,10,17,0,26,4,13,5,21,8,5,2,0,2,3,0,7,8,2,2,2,1,4,4,5,5,5,5,20,31,10,37,3,0,24,14,0,30,16,1,1,0,1,7,9,6,13,0,17,7,11,3,2,27,1,1,8,10,1,7,3,6,7,2,7,2,12,14,17,3,0,6,15,2,24,6,9,6,7,3,0,3,0,0,3,4,15,3,13,7,3,14,0,8,6,5,3,0,54,7,12,8,1,24,36,7
