Ant57,Ant260,Ant52,Ant929,Ant6,Ant7,Ant9,Ant19,Ant24,Ant26,Ant64,Ant74,Ant161,Ant196,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant70,Ant80,Ant91,Ant97,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant232,Ant261,Ant262,Ant263,Ant299,Ant301,Ant313,Ant332,Ant376,Ant380,Ant433,Ant458,Ant492,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,6,3,11,8,0,0,2,0,1,8,10,2,2,4,0,3,3,0,18,16,1,8,0,11,4,0,1,1,5,6,34,1,1,15,5,0,12,7,1,8,25,5,6,0,2,14,14,0,3,1,6,5,7,4,5,0,44,9,1,5,0,15,22,4,2,20,11,7,4,0,0,1,0,9,19,12,1,4,15,9,0,17,1,18,2,28,9,0,4,22
6,0,2,2,13,9,2,6,13,0,1,0,0,38,8,6,15,27,4,5,9,4,1,8,1,21,0,7,5,2,17,7,2,12,3,2,63,7,2,5,2,8,11,3,32,29,6,9,6,2,11,6,1,31,8,43,15,1,9,8,0,25,32,4,4,2,0,4,1,26,12,24,19,0,9,1,9,0,25,0,6,21,5,20,36,60,0,0,8,6,12
3,2,0,1,21,2,5,28,0,5,4,13,2,1,11,0,1,3,0,5,3,8,0,1,1,2,1,3,3,2,0,1,0,1,0,3,0,3,1,3,1,7,2,9,2,1,0,2,4,0,0,0,5,1,0,2,0,4,16,0,5,0,5,0,6,2,4,6,4,4,0,0,0,0,1,0,2,0,23,11,1,1,4,0,1,5,3,6,1,2,4
11,2,1,0,7,0,4,6,0,0,4,7,0,2,1,1,4,3,9,3,12,1,19,1,0,0,0,17,0,0,3,7,3,1,22,5,2,9,1,0,104,13,23,11,0,0,3,2,0,2,2,6,1,1,0,7,0,3,4,1,2,0,12,4,3,14,6,1,11,2,0,0,1,0,2,10,0,10,20,8,12,0,3,0,5,1,3,5,0,7,3
8,13,21,7,0,0,0,0,0,0,0,0,1,50,0,27,2,5,9,15,2,0,0,1,6,30,1,10,6,8,2,11,20,2,6,8,9,3,2,11,1,9,0,3,5,2,1,4,5,8,9,24,13,14,2,5,0,2,4,5,1,0,12,5,5,0,0,3,0,16,0,0,14,0,3,5,9,1,12,10,0,7,11,2,7,15,1,16,5,27,2
0,9,2,0,0,0,2,0,42,0,0,0,0,7,0,2,1,0,0,0,0,0,0,10,0,5,0,0,0,0,17,0,0,30,0,0,7,0,0,1,1,0,1,0,17,16,0,0,0,0,1,0,0,1,6,1,19,0,0,1,0,73,5,0,0,0,0,0,0,4,45,70,0,0,3,0,22,0,3,0,0,20,0,14,3,2,0,0,7,0,1
0,2,5,4,0,2,0,14,0,2,2,14,0,0,0,3,6,2,4,4,3,12,1,1,0,0,7,1,0,1,0,4,4,0,2,0,0,2,0,0,0,1,8,9,5,0,26,0,0,1,0,1,1,0,0,0,1,5,0,0,15,0,3,2,11,10,1,3,13,3,0,0,0,0,0,2,1,0,11,8,1,0,1,0,2,5,2,4,0,0,6
2,6,28,6,0,0,14,0,0,0,24,0,0,2,6,1,8,9,5,3,1,27,4,1,3,2,0,4,11,2,0,4,0,0,5,0,2,6,1,1,1,13,14,0,1,0,5,7,0,0,3,1,2,0,0,3,1,2,4,1,6,0,9,2,20,3,17,2,0,4,0,0,2,0,0,4,6,0,5,9,3,2,4,0,2,6,0,0,1,2,17
0,13,0,0,0,42,0,0,0,0,0,0,0,13,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,0,0,0,0,0,5,0,20,0,0,0,0,34,0,0,0,0,0,0,0,1,57,48,0,0,0,0,1,0,0,0,0,9,0,32,0,0,0,0,14,0,0
1,0,5,0,0,0,2,0,0,0,0,31,0,0,0,0,0,1,0,0,8,0,13,0,0,0,5,0,0,0,0,0,2,0,19,0,0,3,3,0,3,1,0,10,0,0,16,0,0,4,0,2,8,0,0,0,0,0,0,3,0,0,0,1,1,10,6,0,1,0,0,0,0,0,0,5,0,4,0,0,0,0,4,0,0,1,18,42,0,0,0
