Ant4,Ant5,Ant59,Ant540,Ant929,Ant2,Ant6,Ant19,Ant24,Ant25,Ant73,Ant148,Ant158,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant838,Ant954,Ant1,Ant17,Ant27,Ant32,Ant44,Ant49,Ant51,Ant62,Ant71,Ant96,Ant97,Ant115,Ant117,Ant120,Ant140,Ant153,Ant170,Ant176,Ant210,Ant217,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant289,Ant298,Ant299,Ant305,Ant320,Ant326,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant507,Ant530,Ant564,Ant592,Ant593,Ant599,Ant607,Ant632,Ant638,Ant647,Ant650
0,4,7,2,2,2,0,14,8,1,39,2,2,0,1,15,10,4,15,7,9,2,3,0,6,20,0,25,13,2,1,5,0,0,8,8,0,2,9,4,2,0,7,13,0,0,4,2,1,4,6,14,12,0,3,0,8,15,27,0,3,2,1,0,15,0,2,5,0,0,0,0,0
4,0,0,5,0,11,1,1,1,2,3,3,1,14,4,2,3,12,1,2,3,0,5,4,0,5,13,17,1,9,17,1,11,5,0,3,15,21,0,2,8,3,2,5,1,4,1,4,3,2,7,4,12,8,2,4,0,8,4,0,2,0,15,3,2,19,5,6,4,0,11,4,0
7,0,0,16,4,1,14,6,26,8,7,1,9,0,0,7,9,12,3,12,6,5,22,1,7,21,1,4,2,5,2,5,2,5,10,5,3,1,8,5,1,1,7,10,6,2,16,1,9,4,3,5,0,3,11,6,15,6,9,6,3,8,0,13,15,11,6,5,10,0,3,0,0
2,5,16,0,0,3,2,2,4,2,15,4,3,0,0,0,4,4,7,10,5,0,17,1,3,9,19,22,2,5,4,3,12,1,3,16,10,6,12,2,7,4,10,5,0,1,7,11,3,6,14,5,5,0,5,8,13,23,14,28,2,5,7,2,5,12,6,3,19,6,6,1,1
2,0,4,0,0,0,5,0,11,0,17,0,4,0,0,7,3,3,9,25,6,0,4,0,0,7,1,12,1,1,1,13,2,0,4,2,1,0,1,1,2,1,5,0,5,1,1,8,2,1,2,8,2,0,1,0,2,2,8,3,0,7,1,8,3,1,0,0,0,0,2,0,0
2,11,1,3,0,0,2,1,0,24,0,20,9,0,1,1,1,0,0,3,0,2,4,1,2,5,16,0,1,9,12,1,12,16,4,3,30,28,1,5,3,16,2,3,0,2,0,10,4,0,17,2,6,19,3,34,1,14,0,12,1,1,6,5,3,8,25,2,11,7,43,15,13
0,1,14,2,5,2,0,5,6,4,4,5,6,0,1,3,12,6,3,0,2,4,1,0,6,0,3,15,1,4,0,6,1,0,4,8,3,0,0,3,2,2,1,3,2,0,0,0,0,5,5,1,22,0,5,1,4,0,1,19,0,12,0,4,12,1,2,0,0,9,0,1,5
14,1,6,2,0,1,5,0,7,3,3,1,0,0,0,3,1,6,4,2,10,8,0,0,5,16,0,2,3,2,0,0,0,1,0,2,1,0,1,2,4,0,1,2,7,1,1,0,2,1,1,1,2,0,2,1,3,0,2,5,0,11,1,9,5,4,2,5,0,0,0,0,0
8,1,26,4,11,0,6,7,0,0,19,0,5,0,3,5,30,16,2,8,4,3,5,0,13,5,3,1,3,7,0,7,4,0,3,28,0,1,10,2,5,0,2,23,0,0,3,5,18,13,3,9,4,1,3,1,34,10,6,2,1,0,2,1,18,16,3,9,1,0,0,0,1
1,2,8,2,0,24,4,3,0,0,1,10,11,0,1,0,1,5,0,8,1,5,2,1,4,0,3,3,2,29,4,4,1,13,0,1,9,1,8,1,15,5,0,1,1,0,1,0,0,0,12,1,7,10,5,8,6,4,0,1,7,3,4,7,0,8,9,2,7,4,8,14,18
