Ant260,Ant5,Ant52,Ant65,Ant244,Ant540,Ant2,Ant6,Ant7,Ant14,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant99,Ant102,Ant148,Ant158,Ant161,Ant202,Ant209,Ant227,Ant237,Ant268,Ant311,Ant518,Ant604,Ant673,Ant0,Ant12,Ant20,Ant32,Ant35,Ant40,Ant43,Ant44,Ant50,Ant55,Ant62,Ant63,Ant96,Ant97,Ant98,Ant105,Ant112,Ant114,Ant126,Ant137,Ant140,Ant144,Ant147,Ant169,Ant170,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant212,Ant215,Ant217,Ant219,Ant232,Ant243,Ant256,Ant257,Ant262,Ant264,Ant265,Ant289,Ant294,Ant296,Ant298,Ant301,Ant305,Ant313,Ant324,Ant332,Ant342,Ant356,Ant395,Ant398,Ant400,Ant437,Ant476,Ant492,Ant502,Ant507,Ant509,Ant552,Ant556,Ant560,Ant564,Ant575,Ant580,Ant592,Ant593,Ant599,Ant607,Ant610,Ant621,Ant632,Ant638,Ant647,Ant650,Ant665
0,8,0,5,14,0,7,4,6,0,5,12,17,14,10,7,9,8,0,12,11,13,0,3,14,2,2,27,7,2,2,28,0,3,4,10,2,0,16,16,2,4,6,1,8,4,12,4,4,5,10,29,13,8,3,21,2,10,0,6,2,3,9,0,1,0,6,7,5,3,5,4,2,3,4,0,5,5,7,5,20,13,25,15,8,5,1,21,6,10,15,2,6,17,1,1,7,1,8,3,4,15,7,3,5,5,0,0,0,46,12
8,0,2,0,12,0,8,4,0,0,13,6,5,3,2,6,2,2,19,0,13,0,0,37,13,29,0,6,10,0,3,44,0,1,26,0,2,3,3,12,1,2,27,10,2,5,24,3,2,4,9,2,13,8,6,7,0,8,0,2,6,2,7,0,0,0,1,3,0,0,4,0,0,0,0,0,1,1,12,3,7,1,7,6,7,5,4,3,9,9,7,1,0,54,7,12,18,5,0,6,21,10,1,1,12,0,0,0,0,18,3
0,2,0,2,0,0,0,0,0,0,1,1,0,2,1,0,0,2,5,1,0,1,0,4,0,10,0,0,0,0,2,1,0,0,4,0,0,0,12,0,0,3,2,0,2,0,2,0,0,0,1,2,0,0,1,0,0,0,0,0,1,19,0,2,0,0,0,1,0,0,0,0,0,1,0,0,2,0,3,0,2,0,2,2,0,0,0,2,2,3,4,0,0,2,4,15,7,0,0,0,4,1,0,0,0,0,0,0,0,2,1
5,0,2,0,0,0,5,6,13,0,2,4,2,3,3,2,0,0,0,5,16,5,0,0,7,0,0,17,9,1,14,4,0,6,2,8,1,1,4,0,0,0,2,0,0,0,0,7,0,1,0,1,3,3,0,0,1,1,0,0,20,0,1,3,3,0,0,0,4,2,0,1,0,3,18,4,1,2,0,2,4,2,0,2,0,8,0,0,1,0,0,1,0,0,0,2,2,0,4,7,0,8,0,3,0,1,0,0,0,0,0
14,12,0,0,0,0,1,20,12,4,15,11,0,0,0,13,2,9,2,9,2,1,0,10,11,7,0,5,2,1,8,26,0,3,1,1,7,0,11,6,0,0,0,3,0,5,5,1,3,2,6,15,3,3,12,6,0,3,0,1,5,0,0,3,2,0,1,4,0,0,0,0,1,1,0,2,4,7,1,8,14,3,2,6,22,6,0,8,3,1,27,0,1,10,4,0,16,8,0,7,0,3,2,0,9,1,0,0,0,33,1
0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,22,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,2,18,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,1,5,0,0,0,9,3,9,0,0,13,24,0,0,9,0,15,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,2,0,3,0,0,0,12,0,0,4,18,0,0,0
7,8,0,5,1,0,0,6,16,0,9,18,0,1,8,3,4,3,6,2,27,2,0,5,7,1,34,19,8,0,3,6,0,1,2,15,5,1,10,2,0,6,2,0,0,5,3,0,0,4,3,1,8,2,8,7,2,5,1,0,14,1,13,1,4,0,0,8,6,4,2,0,1,0,3,0,12,18,1,0,4,3,1,8,0,4,0,10,8,9,0,1,0,0,0,4,4,2,3,5,0,4,2,0,3,16,0,0,0,23,0
4,4,0,6,20,0,6,0,4,0,5,1,2,7,11,1,5,0,2,2,0,0,0,4,5,13,35,6,3,0,15,9,0,2,13,0,1,0,5,2,2,12,0,1,2,9,6,5,0,3,7,1,10,1,7,1,0,8,5,2,0,1,28,0,8,0,1,16,0,0,1,1,1,1,8,2,0,2,0,0,0,1,32,1,15,0,8,10,0,2,9,0,2,0,1,0,13,3,1,1,8,8,2,1,37,3,0,0,0,20,0
6,0,0,13,12,0,16,4,0,2,2,21,1,3,1,0,10,3,0,2,13,0,0,1,8,0,9,45,3,9,15,3,0,16,3,2,5,3,3,0,2,0,2,1,0,1,10,3,0,22,8,0,3,2,3,3,5,2,0,0,11,1,2,1,10,0,8,5,2,4,3,0,0,4,17,13,3,0,3,2,0,1,1,16,1,1,8,2,4,2,8,8,9,2,0,1,8,0,5,9,0,6,0,3,5,11,0,0,0,5,0
0,0,0,0,4,3,0,0,2,0,1,2,4,0,0,0,31,0,0,0,3,0,24,0,0,0,0,11,1,7,0,0,29,4,0,0,9,13,0,0,30,0,0,5,0,0,0,0,0,5,0,6,0,0,0,0,0,1,11,16,5,0,0,26,18,28,0,0,16,4,0,0,22,4,10,18,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,17,12,0,0,0,0,18,2,9,0,0,0,17,0,0,3,32,0,0,0
