Ant57,Ant5,Ant52,Ant59,Ant25,Ant30,Ant148,Ant191,Ant196,Ant209,Ant245,Ant308,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant114,Ant126,Ant135,Ant139,Ant156,Ant159,Ant174,Ant195,Ant207,Ant218,Ant226,Ant242,Ant243,Ant250,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant353,Ant376,Ant387,Ant391,Ant492,Ant549,Ant580,Ant607,Ant614,Ant632,Ant638,Ant663
11,3,5,4,1,13,4,8,4,4,0,6,0,19,12,7,30,4,6,20,22,13,20,6,13,10,8,6,7,8,17,14,3,2,1,0,6,1,12,3,15,7,11,16,18,6,10,3,12,10,4,6,11,21,0,5,9,4,19,12,9,4,10,7,6,7
5,0,0,0,1,1,0,1,2,0,6,0,0,5,12,10,8,1,2,11,3,27,0,4,4,0,1,1,3,7,8,3,0,1,0,0,5,1,11,4,4,0,6,43,1,6,0,4,0,0,2,17,3,10,0,2,2,2,4,20,10,2,5,7,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,16,0,0,0,0,7,0,1,0,0,31,0,0,0,0,7,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0
2,23,0,4,0,3,9,10,5,5,19,5,0,0,0,0,1,1,2,6,3,5,0,3,11,1,0,5,1,3,13,4,6,5,1,0,5,0,3,1,13,0,6,1,1,1,1,1,2,2,0,1,1,0,11,10,0,11,3,2,10,0,1,2,5,0
18,0,0,2,0,0,6,1,4,4,12,12,0,0,0,12,2,2,3,4,9,9,0,0,3,5,3,1,6,20,12,2,2,2,3,0,12,1,8,10,7,4,22,6,3,4,6,12,2,1,4,7,8,4,2,1,0,5,1,20,14,25,9,10,3,4
25,0,1,1,1,2,0,5,2,5,7,10,13,0,12,0,0,0,1,1,2,13,0,2,2,2,0,6,1,13,6,0,2,0,9,3,12,0,3,0,18,5,18,18,1,5,1,1,8,0,12,8,39,8,0,0,0,1,11,17,1,4,1,0,1,10
9,0,1,0,6,4,11,1,1,3,30,8,0,1,2,0,0,0,2,3,5,4,0,0,3,0,0,14,1,2,7,4,6,1,0,0,2,10,2,2,14,4,5,1,10,2,3,1,6,0,0,1,1,2,0,0,0,3,1,4,6,1,10,1,1,1
0,1,0,0,2,2,0,0,0,5,4,1,0,1,2,0,0,0,0,7,0,3,4,0,0,0,0,6,0,28,3,2,1,0,0,0,0,10,2,0,5,0,0,7,0,1,3,0,1,0,0,4,2,2,16,0,0,23,0,2,1,0,6,1,7,0
0,1,0,3,1,3,1,11,2,4,6,2,0,2,3,1,2,0,0,0,6,3,1,3,4,3,0,7,1,2,1,6,1,0,0,0,0,9,1,3,2,13,1,3,0,1,1,5,0,0,0,14,4,2,2,8,0,4,0,1,3,0,2,0,26,15
1,7,0,1,0,1,5,6,10,2,20,11,0,6,4,1,3,7,0,0,5,13,0,0,26,0,2,0,20,10,10,13,1,1,1,0,9,0,9,6,10,0,7,8,1,0,0,6,3,1,1,10,2,2,4,2,4,5,7,23,6,2,6,8,0,0
7,0,11,1,27,1,0,12,6,4,22,3,0,3,9,2,5,0,6,5,0,18,4,4,4,5,5,2,19,1,1,2,8,1,1,0,0,4,6,1,13,2,10,3,1,1,13,5,12,4,0,0,2,7,0,0,0,2,8,21,12,4,17,5,12,0
8,0,0,1,0,1,7,5,5,6,13,27,2,5,9,13,4,3,3,13,18,0,0,4,16,8,3,18,12,8,13,5,6,3,5,8,1,2,15,6,9,8,6,49,1,14,6,8,9,5,2,18,9,15,3,9,13,13,5,21,3,13,7,2,3,7
2,0,11,2,2,0,1,0,1,24,20,0,0,0,0,0,0,4,1,0,4,0,0,22,7,3,5,14,0,1,0,0,2,0,0,0,1,18,0,1,0,3,6,9,0,0,12,1,0,24,0,9,8,13,46,21,6,0,0,9,0,1,2,0,2,0
2,2,32,2,5,0,0,0,7,11,6,4,0,3,0,2,0,0,3,0,4,4,22,0,2,3,2,3,0,4,3,0,8,0,0,0,2,6,0,11,1,4,0,3,0,0,2,0,11,8,0,1,2,1,8,11,2,4,0,1,0,4,1,0,12,9
1,2,0,0,8,17,41,8,15,0,13,4,0,11,3,2,3,0,4,26,4,16,7,2,0,3,1,2,0,5,24,8,2,1,0,0,8,0,4,1,6,7,14,7,1,3,1,3,2,17,1,0,1,6,2,8,1,6,14,8,10,7,1,2,1,10
0,0,19,5,19,0,0,1,5,19,10,0,0,1,5,2,0,0,3,0,5,8,3,3,3,0,3,25,0,3,8,0,10,0,0,0,0,8,1,0,0,17,13,8,0,0,30,4,6,0,0,6,1,4,14,2,14,0,1,4,5,16,0,0,6,3
6,1,4,3,3,2,1,13,6,2,8,1,0,0,3,0,0,0,0,2,5,3,5,2,1,3,0,2,2,2,6,0,0,0,0,0,0,4,1,0,1,3,5,0,0,0,9,2,1,1,0,0,2,0,4,6,0,2,0,3,7,4,0,0,0,0
18,8,10,55,4,8,2,15,5,31,6,1,0,5,1,6,14,6,7,0,2,18,14,3,2,25,2,0,2,40,23,4,9,0,0,0,0,27,5,1,5,21,7,1,0,1,17,13,0,19,0,7,0,8,23,18,8,21,1,3,8,16,0,0,14,10
1,4,0,0,4,13,4,12,1,0,7,3,0,1,6,1,1,0,1,20,19,12,0,0,0,0,2,2,0,4,0,32,1,9,0,0,6,0,32,2,49,0,8,14,0,4,3,1,9,0,0,23,9,4,0,1,0,5,7,53,12,0,3,20,0,3
9,2,3,1,3,17,1,5,22,12,8,7,0,3,20,13,2,28,2,10,1,8,1,4,5,3,2,40,4,0,28,29,3,2,3,0,17,4,7,25,18,3,6,5,0,9,3,17,1,4,0,5,2,1,1,3,0,14,4,24,1,15,6,7,0,10
2,1,1,1,0,10,1,23,6,14,17,8,0,13,12,6,7,3,1,10,1,13,0,3,24,8,6,23,0,28,0,0,4,0,0,0,7,4,0,1,1,1,6,12,0,2,8,15,2,8,0,0,4,9,4,7,5,23,3,8,3,11,3,0,0,18
0,3,0,0,0,27,1,20,2,0,14,3,0,4,2,0,4,2,6,13,2,5,0,0,8,0,0,4,32,29,0,0,3,1,0,0,12,1,13,13,77,0,14,8,5,3,2,3,9,6,0,1,5,1,1,1,0,4,11,33,6,0,9,3,5,5
10,1,15,3,6,2,0,3,1,5,3,0,0,6,2,2,6,1,1,1,8,6,2,8,2,10,0,9,1,3,4,3,0,0,0,0,0,2,0,0,5,2,7,7,2,1,6,0,4,9,0,1,2,1,0,1,2,10,0,6,2,10,0,0,2,4
1,0,0,0,0,5,0,1,0,0,2,1,0,5,2,0,1,0,0,1,1,3,0,0,1,0,0,0,9,2,0,1,0,0,4,0,7,0,6,11,27,0,5,0,22,11,1,0,13,0,3,14,4,0,0,1,0,0,6,21,12,0,3,21,0,0
2,0,0,0,0,0,2,0,5,0,1,0,4,1,3,9,0,0,0,1,1,5,0,0,0,0,0,0,0,3,0,0,0,4,0,4,5,0,7,0,5,0,1,0,0,5,0,0,3,1,7,17,3,5,0,0,0,0,1,0,8,0,0,5,0,0
0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,22,0,0,0,0,3,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0
7,1,0,0,1,8,2,7,0,0,6,5,0,5,12,12,2,0,0,9,0,1,1,2,8,0,0,0,6,17,7,12,0,7,5,0,0,1,2,4,12,1,17,5,4,2,0,5,4,0,0,7,10,10,6,1,4,0,11,7,12,2,17,18,0,0
0,0,6,8,2,4,0,0,2,4,1,1,0,0,1,0,10,10,9,0,4,2,18,6,0,8,4,27,0,4,4,1,2,0,0,0,1,0,0,0,0,3,0,0,0,0,2,1,0,5,0,4,2,4,26,9,2,0,0,0,0,4,0,0,0,0
2,2,0,0,10,24,8,7,3,0,12,11,0,3,8,3,2,2,1,9,6,15,0,0,4,1,1,5,32,7,0,13,0,6,7,0,2,0,0,9,27,0,20,12,6,5,2,0,8,0,1,11,7,4,7,2,0,0,21,8,11,9,19,26,2,17
3,0,7,0,5,22,1,3,0,0,3,4,0,1,10,0,2,0,3,6,1,6,1,11,1,0,0,1,2,25,1,13,0,11,0,0,4,0,9,0,43,0,22,9,8,2,6,0,9,1,0,5,10,0,5,4,0,12,6,43,6,0,18,13,2,21
3,5,0,2,16,10,7,24,19,0,15,4,7,13,7,18,14,5,2,10,13,9,0,1,6,0,1,5,49,18,1,77,5,27,5,0,12,0,27,43,0,1,25,17,19,10,5,6,22,0,2,27,11,4,1,1,4,5,21,21,12,0,68,47,1,27
15,0,6,3,0,0,0,1,1,2,7,0,0,0,4,5,4,0,13,0,2,8,3,4,7,17,3,21,0,3,1,0,2,0,0,0,1,3,0,0,1,0,15,1,0,0,15,3,4,0,0,8,7,12,16,2,4,0,3,2,3,5,0,0,0,1
35,0,2,4,3,1,5,5,13,7,11,6,1,6,22,18,5,0,1,7,10,6,6,0,14,13,5,7,8,6,6,14,7,5,1,2,17,0,20,22,25,15,0,6,19,9,11,9,16,0,2,12,27,4,4,0,3,2,10,31,13,25,26,19,4,22
3,1,2,0,1,12,0,3,6,13,16,43,0,1,6,18,1,7,3,8,3,49,9,3,7,8,0,1,14,5,12,8,7,0,0,0,5,0,12,9,17,1,6,0,3,3,9,5,0,1,0,9,4,12,2,0,7,9,13,16,3,15,15,26,0,2
0,0,0,0,2,3,7,1,1,0,18,1,0,1,3,1,10,0,0,1,1,1,0,0,1,0,0,0,0,0,0,5,2,22,0,0,4,0,6,8,19,0,19,3,0,5,0,0,12,2,0,2,11,0,0,0,1,0,11,6,9,0,1,5,0,1
5,0,0,0,0,0,5,1,2,1,6,6,31,1,4,5,2,1,1,0,1,14,0,0,3,0,0,1,4,9,2,3,1,11,5,22,2,0,5,2,10,0,9,3,5,0,1,0,3,0,20,5,8,0,0,0,1,2,1,10,9,2,1,8,2,3
3,1,4,6,15,1,0,2,6,6,10,0,0,1,6,1,3,3,1,0,13,6,12,2,1,30,9,17,3,3,8,2,6,1,0,0,0,2,2,6,5,15,11,9,0,1,0,5,3,11,0,6,6,2,14,3,22,2,6,7,6,7,2,1,2,1
4,1,8,0,12,3,0,2,3,1,3,4,0,1,12,1,1,0,5,6,5,8,1,0,3,4,2,13,1,17,15,3,0,0,0,0,5,1,0,0,6,3,9,5,0,0,5,0,6,1,2,1,0,0,5,1,3,2,0,8,1,5,1,0,6,0
11,2,3,2,14,4,2,4,2,3,12,0,0,2,2,8,6,1,0,3,12,9,0,11,2,6,1,0,9,1,2,9,4,13,3,0,4,0,8,9,22,4,16,0,12,3,3,6,0,1,0,2,8,7,0,0,0,0,14,5,11,3,5,8,7,16
1,4,5,49,0,0,0,10,4,3,10,0,0,2,1,0,0,0,0,1,4,5,24,8,17,0,1,19,0,4,8,6,9,0,1,0,0,5,0,1,0,0,0,1,2,0,11,1,1,0,0,0,1,3,1,1,2,0,0,1,2,3,0,0,7,1
0,0,0,0,0,0,0,0,0,0,4,2,7,0,4,12,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,3,7,3,0,0,1,0,2,0,2,0,0,20,0,2,0,0,0,4,21,0,0,0,0,0,2,5,1,8,0,0,0,0
2,0,9,0,8,0,0,10,0,2,6,17,0,1,7,8,1,4,14,10,0,18,9,1,0,6,0,7,23,5,0,1,1,14,17,0,7,4,11,5,27,8,12,9,2,5,6,1,2,0,4,0,4,2,11,16,9,0,7,32,1,6,10,26,0,0
12,1,1,2,4,0,4,0,7,1,11,3,8,1,8,39,1,2,4,2,2,9,8,2,1,1,2,0,9,2,4,5,2,4,3,10,10,2,7,10,11,7,27,4,11,8,6,0,8,1,21,4,0,2,3,1,7,3,8,8,10,2,9,3,1,4
7,0,1,2,1,1,0,0,5,11,21,10,0,0,4,8,2,2,2,2,7,15,13,1,6,4,0,8,4,1,9,1,1,0,5,0,10,4,4,0,4,12,4,12,0,0,2,0,7,3,0,2,2,0,0,8,26,5,4,7,1,12,0,0,2,1
0,0,13,0,16,3,2,0,0,9,0,0,0,11,2,0,0,16,2,4,0,3,46,8,2,14,4,23,0,1,4,1,0,0,0,0,6,26,7,5,1,16,4,2,0,0,14,5,0,1,0,11,3,0,0,37,24,0,0,0,1,4,1,0,0,0
1,5,3,10,10,0,2,3,4,1,5,2,0,10,1,0,0,0,8,2,0,9,21,11,8,2,6,18,1,3,7,1,1,1,0,0,1,9,2,4,1,2,0,0,0,0,3,1,0,1,0,16,1,8,37,0,7,10,2,0,1,1,1,0,0,8
0,0,0,0,7,0,0,0,11,9,9,2,0,0,0,0,0,0,0,4,0,13,6,2,1,14,0,8,0,0,5,0,2,0,0,0,4,2,0,0,4,4,3,7,1,1,22,3,0,2,0,9,7,26,24,7,0,0,1,1,11,7,0,0,2,5
0,1,6,12,0,3,0,4,0,0,4,2,0,11,5,1,3,23,4,5,2,13,0,4,6,0,2,21,5,14,23,4,10,0,0,0,0,0,0,12,5,0,2,9,0,2,2,2,0,0,0,0,3,5,0,10,0,0,4,7,5,0,6,0,19,11
4,0,0,0,3,1,1,3,3,0,19,4,3,3,1,11,1,0,0,7,8,5,0,0,14,1,0,1,7,4,3,11,0,6,1,0,11,0,21,6,21,3,10,13,11,1,6,0,14,0,2,7,8,4,0,2,1,4,0,8,12,4,6,2,1,5
56,1,2,1,1,5,1,4,7,3,12,20,0,2,20,17,4,2,1,23,21,21,9,1,8,4,3,3,53,24,8,33,6,21,0,1,7,0,8,43,21,2,31,16,6,10,7,8,5,1,5,32,8,7,0,0,1,7,8,0,5,10,43,38,1,110
10,0,0,1,3,16,9,5,5,1,9,10,0,10,14,1,6,1,3,6,12,3,0,0,10,5,7,8,12,1,3,6,2,12,8,0,12,0,11,6,12,3,13,3,9,9,6,1,11,2,1,1,10,1,1,1,11,5,12,5,0,12,19,6,0,5
19,0,1,4,3,5,3,6,11,5,4,2,0,0,25,4,1,0,0,2,4,13,1,4,7,16,4,16,0,15,11,0,10,0,0,0,2,4,9,0,0,5,25,15,0,2,7,5,3,3,8,6,2,12,4,1,7,0,4,10,12,0,0,0,4,3
40,0,0,0,5,15,1,3,0,0,10,5,0,1,9,1,10,6,2,6,17,7,2,1,1,0,0,0,3,6,3,9,0,3,0,0,17,0,19,18,68,0,26,15,1,1,2,1,5,0,0,10,9,0,1,1,0,6,6,43,19,0,0,13,0,0
5,0,0,0,0,7,2,1,0,0,7,7,0,2,10,0,1,1,0,8,5,2,0,0,2,0,0,0,20,7,0,3,0,21,5,0,18,0,26,13,47,0,19,26,5,8,1,0,8,0,0,26,3,0,0,0,0,0,2,38,6,0,13,0,0,0
1,6,14,12,6,4,0,0,0,5,6,0,0,5,3,1,1,7,26,0,12,3,2,12,1,6,0,14,0,0,0,5,2,0,0,0,0,0,2,2,1,0,4,0,0,2,2,6,7,7,0,0,1,2,0,0,2,19,1,1,0,4,0,0,0,4
5,7,3,1,0,2,6,3,4,13,7,1,0,0,4,10,1,0,15,0,0,7,0,9,10,3,0,10,3,10,18,5,4,0,0,0,0,0,17,21,27,1,22,2,1,3,1,0,16,1,0,0,4,1,0,8,5,11,5,110,5,3,0,0,4,0
