Ant57,Ant260,Ant52,Ant929,Ant6,Ant7,Ant9,Ant19,Ant24,Ant26,Ant64,Ant74,Ant161,Ant196,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant70,Ant80,Ant91,Ant97,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant232,Ant261,Ant262,Ant263,Ant299,Ant301,Ant313,Ant332,Ant376,Ant380,Ant433,Ant458,Ant492,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,0,5,13,3,0,2,0,0,4,7,5,0,0,0,2,1,5,5,9,5,0,16,1,5,1,5,0,0,3,2,2,5,4,9,0,0,1,1,0,2,4,2,1,1,0,1,1,1,1,12,4,1,3,3,0,0,23,8,0,10,0,6,9,2,2,12,2,0,3,0,7,0,0,1,1,0,0,11,20,0,5,6,0,2,2,7,1,1,0,4
0,0,0,0,37,19,0,2,16,0,0,0,0,30,1,14,6,0,0,1,0,0,0,21,0,48,0,1,2,6,26,2,0,11,0,1,11,0,16,20,1,2,0,2,13,13,0,2,1,0,19,6,0,8,11,10,16,0,0,20,0,38,12,0,2,0,0,0,0,6,15,2,23,0,18,1,19,0,0,0,1,32,0,4,15,1,0,0,19,14,2
5,0,0,2,0,0,0,0,0,1,5,0,0,0,3,0,0,1,0,5,23,40,2,0,6,1,0,3,8,0,0,20,4,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,20,0,0,1,4,2,0,0,20,6,0,1,0,3,3,8,11,139,0,0,3,0,3,0,0,0,2,0,0,1,0,0,0,4,2,0,1,0,4,0,2,0
13,0,2,0,7,0,74,0,0,8,0,29,0,1,7,10,2,21,4,1,7,0,24,0,1,0,5,4,6,7,2,2,7,0,6,2,0,1,0,0,6,16,2,0,0,0,1,13,1,3,0,5,4,2,2,6,0,14,20,0,19,0,4,26,12,10,2,7,2,4,0,21,2,0,5,4,6,0,12,0,8,1,4,1,5,3,1,6,0,1,0
3,37,0,7,0,0,0,6,0,0,5,0,0,16,4,41,16,0,2,1,3,0,10,6,3,4,2,8,7,13,5,9,3,5,1,0,5,0,11,0,0,7,0,0,11,0,0,5,4,4,2,17,0,15,62,8,0,6,0,10,3,0,5,8,4,5,2,1,0,28,7,0,15,0,12,1,27,1,1,0,4,3,13,6,20,22,7,1,5,2,11
0,19,0,0,0,0,0,0,8,0,0,0,0,36,0,1,0,0,0,0,0,0,0,12,0,9,0,0,0,0,2,0,0,0,0,0,1,0,0,25,0,1,0,0,1,20,0,0,0,0,18,0,0,34,0,0,63,0,0,0,0,42,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,14,0,0,2,0,0,0,17,1,0
2,0,0,74,0,0,0,13,0,8,27,51,24,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,9,0,1,6,0,0,1,7,0,5,0,0,2,0,5,0,0,0,0,0,0,0,0,8,7,0,0,0,0,2,5,0,0,0,2,0,4,0,0,6,0,0,0,0,0,0,0,3,1,0,33,23,0,0,1,0,0,0,0,7,0,0,1
0,2,0,0,6,0,13,0,0,2,6,7,4,3,8,1,11,11,11,1,4,6,29,0,0,2,0,38,1,7,0,19,2,3,22,7,0,0,0,0,0,1,16,7,0,0,8,0,19,10,0,10,11,0,0,2,0,0,3,0,4,0,1,1,10,21,0,5,0,2,0,3,1,0,2,0,0,8,29,0,0,0,5,0,6,0,1,0,0,1,1
0,16,0,0,0,8,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,17,0,10,0,0,0,0,13,0,0,0,0,0,1,0,0,9,0,0,0,0,5,2,0,0,0,0,18,0,0,8,3,0,4,0,0,6,0,32,0,0,0,0,0,0,0,0,13,0,0,0,6,0,8,0,0,0,0,9,0,0,0,0,0,0,23,0,0
4,0,1,8,0,0,8,2,0,0,11,46,4,1,1,15,7,25,1,0,9,0,10,0,1,0,3,0,1,3,4,3,1,0,2,13,1,4,1,0,33,8,4,0,3,0,0,7,0,5,0,16,4,4,0,10,0,5,20,0,0,0,12,7,9,0,0,15,0,9,2,10,1,0,2,0,9,4,56,16,5,1,3,0,0,5,4,6,0,1,4
7,0,5,0,5,0,27,6,0,11,0,15,3,1,2,10,0,12,5,8,0,0,9,0,1,3,2,21,8,0,2,5,3,2,31,6,0,20,0,0,16,12,37,1,3,0,0,3,0,0,0,7,1,2,0,8,0,2,5,0,2,0,15,3,10,2,1,3,1,11,4,9,0,0,0,1,1,9,18,14,1,0,1,2,8,3,8,5,0,6,0
5,0,0,29,0,0,51,7,0,46,15,0,4,2,8,4,0,2,4,12,0,0,1,0,0,0,5,0,8,0,0,3,0,0,11,5,2,63,0,0,18,3,1,0,0,0,4,0,0,6,0,1,21,1,0,1,0,0,21,0,0,0,7,1,9,0,0,43,1,7,1,0,0,0,1,0,1,6,23,4,9,1,1,0,1,0,0,13,0,4,0
0,0,0,0,0,0,24,4,0,4,3,4,0,0,5,3,0,7,0,2,2,8,9,1,1,1,0,0,2,0,0,1,0,0,4,5,0,6,0,0,0,0,55,1,2,0,0,0,0,0,0,1,9,0,5,0,0,0,1,0,2,0,2,0,3,3,0,13,21,2,0,2,0,0,0,0,0,2,35,0,4,0,0,1,1,0,1,0,0,0,4
0,30,0,1,16,36,0,3,14,1,1,2,0,0,0,20,14,7,4,4,3,0,1,12,1,30,0,0,2,6,15,5,3,11,13,0,11,0,13,38,1,5,0,0,16,13,0,9,5,0,18,9,0,14,33,12,22,1,1,23,0,29,42,1,0,1,2,1,0,11,19,5,6,0,29,0,36,0,0,0,2,15,1,5,20,10,1,0,20,8,4
0,1,3,7,4,0,0,8,0,1,2,8,5,0,0,5,3,7,2,1,3,0,1,0,1,3,1,0,15,0,2,0,2,0,3,4,1,12,3,0,0,0,2,1,6,0,0,2,2,2,0,10,5,1,0,4,0,6,2,2,0,0,17,3,0,0,0,5,1,9,5,8,4,0,1,0,4,30,0,1,0,3,1,0,0,3,0,0,0,7,3
2,14,0,10,41,1,1,1,0,15,10,4,3,20,5,0,13,25,12,3,19,0,9,0,0,39,5,1,3,4,23,5,0,11,3,17,72,5,2,0,16,28,2,2,22,0,0,19,5,6,7,31,6,20,33,49,0,7,6,12,0,0,56,9,13,0,3,5,0,32,13,29,22,0,15,3,13,5,17,4,6,13,2,19,26,81,9,9,2,49,6
1,6,0,2,16,0,0,11,0,7,0,0,0,14,3,13,0,11,5,1,2,0,2,1,2,5,1,1,1,15,3,6,3,5,2,2,1,0,10,0,10,5,0,0,9,0,0,5,0,5,10,7,1,9,8,5,0,3,0,0,0,0,8,5,5,0,2,4,0,5,1,15,7,0,24,0,9,0,1,0,3,0,7,2,16,3,2,0,1,8,0
5,0,1,21,0,0,0,11,0,25,12,2,7,7,7,25,11,0,30,0,3,0,10,2,1,2,4,0,12,0,5,6,16,1,14,9,6,3,0,0,12,2,2,0,5,0,5,15,2,0,0,2,5,1,0,3,0,6,1,1,7,0,46,0,4,0,0,23,0,7,6,16,2,0,4,0,10,9,8,3,6,11,0,0,3,0,5,3,0,4,9
5,0,0,4,2,0,0,11,0,1,5,4,0,4,2,12,5,30,0,1,27,0,0,0,3,0,0,0,2,10,1,2,2,2,14,1,0,1,2,0,19,5,1,0,5,0,2,7,1,1,8,6,1,0,5,13,0,1,1,0,5,0,9,7,16,0,0,4,0,13,13,28,7,0,2,1,4,1,2,10,3,1,9,1,17,10,1,5,1,6,1
9,1,5,1,1,0,1,1,0,0,8,12,2,4,1,3,1,0,1,0,19,0,11,0,2,5,0,3,1,0,0,6,27,2,6,4,0,2,1,0,2,3,1,3,1,0,0,2,0,17,3,16,1,0,0,0,0,27,14,1,3,0,5,1,8,7,0,1,0,4,2,2,0,0,4,1,0,0,0,0,0,2,8,0,1,1,6,1,0,0,12
5,0,23,7,3,0,0,4,0,9,0,0,2,3,3,19,2,3,27,19,0,0,18,15,6,8,0,0,2,10,6,15,2,1,16,4,2,0,1,0,9,21,0,0,8,0,0,9,6,5,6,7,6,3,25,19,0,10,6,0,2,0,1,4,8,1,4,4,0,9,2,13,0,0,8,0,7,0,21,1,0,0,0,4,13,1,1,4,1,13,5
0,0,40,0,0,0,0,6,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,20,0,6,1,0,0,0,0,0,1,0,42,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,29,0,0,0,0
