Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant252,Ant954,Ant27,Ant44,Ant49,Ant51,Ant97,Ant117,Ant170,Ant176,Ant242,Ant256,Ant262,Ant263,Ant264,Ant299,Ant305,Ant356,Ant391,Ant475,Ant476,Ant502,Ant592,Ant593,Ant599,Ant638,Ant650
0,0,3,18,13,14,0,14,4,2,18,10,1,15,32,7,7,13,1,6,5,1,9,8,15,3,1,26,11,2,18,49,7,31,17
0,0,3,14,8,1,0,1,8,2,14,7,2,1,2,11,3,8,4,1,0,0,8,3,11,19,3,1,1,4,16,12,4,2,0
3,3,0,11,12,1,0,1,18,5,18,33,16,2,2,11,19,4,6,2,3,9,7,9,5,7,24,2,1,19,18,3,9,3,2
18,14,11,0,7,3,0,1,6,0,14,16,0,3,11,15,5,13,2,2,3,3,3,2,17,6,15,8,3,0,5,6,6,27,7
13,8,12,7,0,0,0,2,31,13,28,26,5,20,8,21,3,3,3,1,6,5,30,12,10,16,26,12,4,27,12,4,3,17,2
14,1,1,3,0,0,0,0,0,1,0,0,1,0,7,11,1,1,0,0,0,0,1,0,2,0,0,0,1,0,1,1,0,5,8
0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0
14,1,1,1,2,0,8,0,2,3,0,3,0,2,0,4,3,2,5,6,0,1,5,5,14,0,0,0,3,0,17,2,2,7,3
4,8,18,6,31,0,0,2,0,21,11,29,23,1,0,37,9,7,4,4,8,4,12,9,3,8,6,9,1,0,8,11,22,5,8
2,2,5,0,13,1,0,3,21,0,5,9,4,1,0,13,9,19,19,1,9,4,4,25,3,14,1,16,0,7,14,15,6,6,4
18,14,18,14,28,0,0,0,11,5,0,8,9,8,8,10,7,5,11,0,1,10,8,16,6,2,30,6,4,3,3,13,29,6,4
10,7,33,16,26,0,0,3,29,9,8,0,16,2,4,16,36,19,5,1,7,10,15,24,1,6,20,14,5,44,34,15,7,4,18
1,2,16,0,5,1,0,0,23,4,9,16,0,2,6,16,6,4,6,2,5,20,9,17,7,6,10,13,1,3,21,4,12,2,1
15,1,2,3,20,0,0,2,1,1,8,2,2,0,1,3,3,4,2,9,5,0,5,2,2,3,0,21,2,0,12,13,0,10,5
32,2,2,11,8,7,0,0,0,0,8,4,6,1,0,11,10,16,0,5,1,2,5,1,6,14,4,4,2,2,1,2,10,12,7
7,11,11,15,21,11,0,4,37,13,10,16,16,3,11,0,18,39,7,12,10,7,5,13,8,4,13,7,8,0,16,28,17,22,10
7,3,19,5,3,1,0,3,9,9,7,36,6,3,10,18,0,3,7,4,2,5,3,9,3,3,6,7,0,4,6,6,4,1,3
13,8,4,13,3,1,0,2,7,19,5,19,4,4,16,39,3,0,7,8,10,13,9,2,1,14,2,11,5,4,25,52,5,5,6
1,4,6,2,3,0,0,5,4,19,11,5,6,2,0,7,7,7,0,0,10,18,11,4,1,3,5,11,2,7,4,7,14,1,3
6,1,2,2,1,0,3,6,4,1,0,1,2,9,5,12,4,8,0,0,0,1,1,2,16,3,0,4,2,0,2,3,4,16,6
5,0,3,3,6,0,0,0,8,9,1,7,5,5,1,10,2,10,10,0,0,3,4,9,0,22,0,11,1,0,8,6,0,0,2
1,0,9,3,5,0,0,1,4,4,10,10,20,0,2,7,5,13,18,1,3,0,11,9,0,4,11,21,2,1,6,3,6,2,9
9,8,7,3,30,1,0,5,12,4,8,15,9,5,5,5,3,9,11,1,4,11,0,27,6,2,7,20,1,3,4,9,9,9,3
8,3,9,2,12,0,0,5,9,25,16,24,17,2,1,13,9,2,4,2,9,9,27,0,5,15,30,12,2,21,15,8,13,2,1
15,11,5,17,10,2,44,14,3,3,6,1,7,2,6,8,3,1,1,16,0,0,6,5,0,2,9,3,1,5,5,4,3,14,3
3,19,7,6,16,0,0,0,8,14,2,6,6,3,14,4,3,14,3,3,22,4,2,15,2,0,19,2,1,4,15,12,2,8,1
1,3,24,15,26,0,0,0,6,1,30,20,10,0,4,13,6,2,5,0,0,11,7,30,9,19,0,9,1,4,7,3,8,0,1
26,1,2,8,12,0,0,0,9,16,6,14,13,21,4,7,7,11,11,4,11,21,20,12,3,2,9,0,4,4,2,11,5,6,10
11,1,1,3,4,1,0,3,1,0,4,5,1,2,2,8,0,5,2,2,1,2,1,2,1,1,1,4,0,0,0,3,6,3,3
2,4,19,0,27,0,0,0,0,7,3,44,3,0,2,0,4,4,7,0,0,1,3,21,5,4,4,4,0,0,0,0,0,1,2
18,16,18,5,12,1,0,17,8,14,3,34,21,12,1,16,6,25,4,2,8,6,4,15,5,15,7,2,0,0,0,15,7,20,12
49,12,3,6,4,1,0,2,11,15,13,15,4,13,2,28,6,52,7,3,6,3,9,8,4,12,3,11,3,0,15,0,5,21,10
7,4,9,6,3,0,0,2,22,6,29,7,12,0,10,17,4,5,14,4,0,6,9,13,3,2,8,5,6,0,7,5,0,7,6
31,2,3,27,17,5,0,7,5,6,6,4,2,10,12,22,1,5,1,16,0,2,9,2,14,8,0,6,3,1,20,21,7,0,18
17,0,2,7,2,8,0,3,8,4,4,18,1,5,7,10,3,6,3,6,2,9,3,1,3,1,1,10,3,2,12,10,6,18,0
