Ant52,Ant65,Ant244,Ant2,Ant6,Ant15,Ant19,Ant60,Ant99,Ant102,Ant148,Ant202,Ant209,Ant227,Ant237,Ant268,Ant604,Ant673,Ant35,Ant50,Ant63,Ant96,Ant98,Ant126,Ant137,Ant140,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant232,Ant256,Ant262,Ant289,Ant296,Ant298,Ant324,Ant332,Ant356,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant592,Ant593,Ant599,Ant621,Ant638,Ant650
0,0,1,0,2,1,2,2,9,3,3,0,14,1,15,0,1,6,1,2,2,2,0,0,7,0,14,0,0,2,0,0,3,0,1,1,0,0,0,7,1,0,6,22,0,0,14,1,0,6,5,0,0,8,4,2,2,0,0
0,0,13,0,10,0,7,0,0,0,6,0,2,9,0,0,1,0,3,0,3,3,1,4,0,0,0,5,1,4,0,0,1,0,15,19,5,5,2,0,0,8,1,5,10,6,1,0,1,0,0,1,3,0,0,0,2,0,0
1,13,0,0,7,6,18,1,1,0,2,1,0,10,0,2,19,9,2,0,11,4,0,13,0,1,15,9,6,3,0,0,11,0,7,2,22,1,14,1,0,3,0,5,3,30,0,0,4,0,0,4,4,0,2,1,6,0,0
0,0,0,0,0,0,0,0,0,0,0,23,0,6,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,26,0,0,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
2,10,7,0,0,3,4,2,5,3,4,0,9,4,13,0,1,6,2,14,12,0,5,5,2,5,3,2,10,3,0,0,5,0,15,17,7,2,2,23,0,2,7,1,0,0,3,1,0,0,12,10,12,1,1,1,6,0,0
1,0,6,0,3,0,12,4,3,7,10,0,1,7,5,0,0,0,0,3,1,0,9,1,1,10,2,3,2,4,0,0,15,8,1,13,2,1,0,16,0,2,11,1,5,0,4,3,0,0,8,11,2,0,9,2,4,0,1
2,7,18,0,4,12,0,0,0,3,1,1,3,8,0,5,6,0,14,0,0,6,0,15,3,0,15,2,6,14,0,0,2,4,9,3,2,3,7,4,1,3,1,1,29,42,0,2,3,0,0,1,5,0,0,0,9,4,23
2,0,1,0,2,4,0,0,1,2,10,0,1,0,1,0,0,6,1,9,0,1,16,1,13,12,3,11,0,16,0,0,4,5,0,0,0,0,0,2,41,0,0,1,6,0,23,4,0,14,13,5,0,11,3,0,10,0,17
9,0,1,0,5,3,0,1,0,40,6,0,0,0,16,0,0,1,0,18,4,0,13,0,1,22,0,1,0,0,0,0,7,14,0,1,0,0,0,1,10,0,6,2,4,0,6,1,0,4,15,4,2,0,17,13,1,0,0
3,0,0,0,3,7,3,2,40,0,0,0,8,0,0,0,0,0,0,10,5,0,0,0,2,0,0,0,0,2,0,0,2,11,1,0,0,0,0,4,6,0,4,9,0,0,15,0,0,15,8,0,0,9,0,4,6,0,0
