Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant24,Ant25,Ant26,Ant30,Ant38,Ant73,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant1,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant44,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant85,Ant91,Ant96,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant144,Ant147,Ant149,Ant153,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant176,Ant178,Ant186,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant220,Ant221,Ant226,Ant229,Ant232,Ant238,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant398,Ant433,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant593,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,1,5,2,16,11,3,0,10,0,1,0,0,8,0,10,3,2,0,0,0,6,0,2,0,0,0,0,0,3,0,9,0,10,2,1,0,0,11,0,14,0,0,2,0,5,0,1,16,0,36,0,5,1,0,0,0,0,0,47,0,0,14,3,0,2,8,0,13,4,0,12,1,7,2,2,0,0,0,1,11,0,2,3,8,0,1,1,0,0,9,0,1,0,23,10,0,1,2,0,30,0,0,0,0,0,3,0,0,1,0,0,16,0,0,0,12,0,0,12,0,0,8,1,8,1,4,28,0,6,3,2,0,0,1,4,0,0,0,0,0,5,25,7,0,0,5,12,7,6,0,4
1,0,0,0,0,2,0,1,1,19,1,9,4,3,2,3,9,6,1,25,6,2,9,0,6,2,2,5,10,10,10,3,25,4,0,4,1,3,0,10,3,4,2,2,1,6,10,3,4,0,14,1,0,14,4,4,11,6,5,0,27,28,3,0,25,0,2,9,9,1,10,17,15,3,0,38,10,9,2,5,1,15,19,0,2,0,13,10,2,37,3,4,14,1,8,5,1,0,8,15,9,4,13,2,3,34,4,0,10,0,4,4,2,16,9,6,0,2,6,0,7,2,2,14,0,8,12,0,3,14,3,1,0,20,4,10,10,8,7,20,2,5,3,0,2,9,17,0,8,11,16,10
5,0,0,9,0,0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,25,0,16,0,0,2,0,0,9,0,0,0,0,0,0,0,0,6,3,0,4,3,0,7,0,0,0,10,0,24,0,25,0,14,5,1,0,0,5,0,0,2,1,0,0,25,0,0,5,0,7,0,4,8,6,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,0,0,0,2,7,0,0,14,0,0,0,0,0,0,6,0,0,2,0,0,0,2,81,0,0,23,0,0,0,0,0,0,39,11,0,3,0,0,0,0,5,21,0,0,0,35,6,5,1,16
2,0,9,0,2,6,8,6,10,0,20,0,0,2,0,4,0,0,5,2,1,4,2,38,3,0,7,1,3,14,4,0,0,1,4,2,0,1,8,2,1,0,6,11,9,1,3,0,12,0,7,3,15,1,3,0,2,0,0,28,0,3,6,9,2,0,1,1,1,7,0,3,0,3,17,2,2,21,0,1,16,2,0,22,2,0,0,3,1,1,2,0,2,0,12,2,14,0,2,0,11,5,0,9,0,2,11,5,0,9,0,0,13,0,3,1,25,0,0,20,1,8,0,0,8,2,2,11,0,1,0,11,0,5,10,1,0,4,0,0,0,0,15,5,1,2,1,6,4,2,3,9
16,0,0,2,0,1,9,2,14,0,4,2,0,2,1,1,0,3,11,0,0,6,0,1,0,0,3,15,0,5,1,2,0,11,0,0,0,2,2,8,2,5,0,7,0,12,0,9,6,2,21,3,3,1,2,1,4,4,1,44,0,0,6,4,0,0,5,0,0,6,0,8,0,8,1,3,0,0,0,5,7,1,0,1,14,0,0,9,2,0,8,0,8,0,11,6,1,2,11,1,13,16,0,3,2,2,2,1,0,2,0,5,10,0,10,1,20,0,0,6,2,1,25,4,2,0,6,20,0,0,0,0,1,0,11,2,0,0,0,2,0,3,11,11,0,1,0,2,8,6,2,5
11,2,0,6,1,0,22,3,6,0,13,0,0,1,2,27,0,0,6,0,0,0,6,7,0,0,0,0,1,11,11,0,0,7,9,3,0,1,6,3,14,0,15,5,12,0,0,4,1,0,6,5,0,0,1,0,7,1,0,14,2,0,10,14,0,0,2,0,3,45,0,10,0,1,5,0,1,30,0,1,19,3,2,5,23,1,0,3,0,0,16,0,3,0,26,15,17,3,4,4,4,0,0,21,0,1,1,9,1,2,0,1,9,0,0,0,2,1,0,9,0,0,15,0,0,0,0,0,0,4,0,11,0,8,7,1,0,6,3,1,0,2,8,5,0,0,2,3,10,2,0,6
3,0,0,8,9,22,0,2,7,1,11,0,0,2,2,5,0,1,11,0,0,5,3,6,3,0,11,0,1,13,1,7,0,3,11,0,0,0,13,4,5,0,6,26,2,11,0,0,8,0,12,31,3,0,0,0,4,1,0,11,0,0,6,9,0,0,1,5,6,2,0,19,2,4,9,3,0,23,0,2,8,6,0,13,4,0,0,3,0,0,6,0,8,0,11,9,8,2,12,2,24,15,0,13,0,0,5,3,1,7,1,0,13,1,0,0,7,1,0,14,0,0,5,1,2,0,0,10,0,0,0,13,0,0,3,0,0,9,0,0,0,0,13,6,0,0,0,2,0,4,7,2
0,1,1,6,2,3,2,0,3,6,1,3,0,12,9,0,3,1,18,5,0,0,4,1,0,0,3,0,3,3,1,1,19,3,6,6,0,1,3,9,4,1,3,8,0,4,8,0,10,0,1,4,1,6,3,0,4,3,2,10,0,0,10,6,3,0,4,4,3,9,0,14,9,13,2,0,2,3,0,11,12,1,0,2,3,0,1,9,1,9,4,1,3,1,11,0,0,1,28,6,14,14,0,3,2,2,3,12,1,11,0,3,10,0,4,1,0,12,0,4,23,0,17,2,0,0,8,0,0,22,5,6,0,4,16,0,10,2,3,5,1,3,3,2,0,5,2,0,1,3,11,9
10,1,0,10,14,6,7,3,0,2,1,0,0,2,0,4,0,0,9,0,0,0,2,5,9,0,5,4,1,1,0,0,0,8,1,1,0,8,4,3,1,0,0,8,10,1,0,3,0,0,5,13,11,0,4,0,6,0,0,56,2,0,9,10,0,1,0,0,13,7,0,3,0,2,0,1,0,12,0,0,12,9,1,6,5,0,0,2,0,0,5,0,16,1,0,13,5,0,1,14,8,5,0,2,0,0,2,3,0,4,1,3,9,0,5,0,15,1,0,5,11,19,8,0,0,0,1,1,1,3,1,2,0,5,4,0,0,1,8,0,0,0,2,1,0,0,0,0,13,4,1,11
0,19,0,0,0,0,1,6,2,0,0,2,0,4,0,3,12,0,11,5,5,0,7,2,11,0,3,5,20,14,4,0,4,0,10,1,0,4,10,13,10,1,4,1,5,0,13,1,14,1,1,0,2,2,0,1,7,1,18,1,3,8,9,9,3,0,5,6,0,6,2,2,6,0,0,3,7,2,0,9,1,17,5,0,11,3,0,7,6,32,13,0,17,0,0,1,5,6,21,28,0,12,1,1,3,7,6,6,2,0,0,3,1,4,2,7,1,5,0,0,13,4,1,0,3,0,1,0,0,14,1,7,0,6,8,3,1,5,5,1,1,3,6,2,2,2,2,0,10,2,13,9
