Ant4,Ant260,Ant52,Ant65,Ant244,Ant397,Ant540,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant191,Ant196,Ant227,Ant245,Ant252,Ant278,Ant308,Ant329,Ant518,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant35,Ant43,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant70,Ant71,Ant81,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant124,Ant126,Ant137,Ant159,Ant172,Ant175,Ant178,Ant186,Ant190,Ant194,Ant206,Ant210,Ant215,Ant219,Ant220,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant264,Ant289,Ant296,Ant299,Ant301,Ant324,Ant331,Ant334,Ant342,Ant347,Ant380,Ant390,Ant394,Ant395,Ant398,Ant458,Ant475,Ant476,Ant482,Ant501,Ant509,Ant556,Ant560,Ant564,Ant576,Ant580,Ant599,Ant607,Ant610,Ant614,Ant621,Ant650,Ant663
0,12,2,21,2,6,0,0,39,8,7,10,4,2,0,0,2,21,7,2,2,10,11,0,9,9,2,0,0,0,5,1,0,12,7,0,0,0,0,0,12,0,0,16,5,0,0,5,0,10,1,10,6,0,0,5,3,1,4,4,7,21,3,0,0,0,0,6,8,8,0,5,13,0,0,1,5,1,4,0,11,23,7,0,0,5,11,0,6,3,1,21,0,17,0,5,12,0,7,6,11,0,0,6,0,3,0,0,0,0,0,0,5,15,2,5
12,0,0,7,3,8,0,11,4,7,1,5,0,1,1,0,0,27,8,1,3,7,7,1,7,2,0,0,0,0,4,13,0,6,3,0,0,0,0,0,3,1,0,11,10,1,0,7,0,0,0,7,0,1,4,7,0,1,0,9,10,12,1,0,0,1,0,26,1,32,2,4,2,0,0,1,5,0,20,0,5,9,1,0,0,13,21,1,1,0,0,28,0,44,1,0,17,0,11,6,1,2,0,8,2,8,0,3,0,0,0,0,2,11,7,10
2,0,0,6,6,15,2,1,0,7,3,1,15,12,26,15,7,11,2,11,4,2,12,0,5,24,9,4,0,1,10,26,7,3,11,19,7,13,8,11,2,11,1,13,0,3,10,3,3,6,9,12,6,31,13,5,7,1,13,16,9,8,0,1,26,3,0,9,1,11,5,0,13,0,23,9,1,3,11,0,0,4,10,0,0,12,3,14,6,9,2,0,0,0,15,22,0,8,5,2,0,3,0,0,5,0,2,2,0,8,0,2,23,4,0,15
21,7,6,0,4,13,2,44,376,7,3,27,22,14,4,0,2,29,40,5,1,35,20,0,15,21,3,0,0,0,12,5,11,23,9,14,0,0,5,4,22,1,2,21,28,29,0,15,1,13,1,24,4,5,0,9,4,17,3,8,10,12,0,0,2,4,2,6,2,10,3,13,31,0,1,5,45,0,11,0,30,16,14,0,0,11,15,7,13,4,0,22,1,44,3,9,25,0,4,27,82,15,0,72,6,50,0,1,0,3,0,0,7,20,28,20
2,3,6,4,0,0,17,0,0,2,1,0,1,1,2,0,3,1,0,5,9,2,3,0,0,0,5,0,0,1,0,4,3,0,0,2,1,5,12,1,1,3,7,0,0,1,4,0,1,1,1,0,10,9,6,0,0,0,6,1,1,0,3,4,3,7,3,2,0,1,12,1,3,0,2,2,0,7,1,0,0,0,2,1,2,0,0,0,0,2,5,0,0,1,5,7,0,10,1,0,0,1,2,0,0,0,0,2,3,11,3,3,23,1,0,4
6,8,15,13,0,0,2,7,0,4,7,1,2,2,6,0,4,6,1,3,9,4,8,0,5,16,3,1,0,0,9,3,5,4,8,7,11,5,13,4,2,4,1,33,0,6,2,14,0,9,10,3,8,22,14,14,3,1,12,5,16,8,0,2,8,2,2,5,7,7,2,7,4,1,5,14,1,3,21,0,2,4,6,8,1,5,1,2,8,11,0,4,1,1,2,3,5,0,5,10,0,2,1,1,5,0,0,1,0,5,1,0,23,12,0,21
0,0,2,2,17,2,0,1,0,6,0,0,3,0,3,1,1,2,0,9,2,0,7,0,2,1,5,3,0,12,1,11,8,1,2,11,15,11,9,7,0,13,13,1,0,0,4,1,16,2,10,2,0,6,16,6,1,0,11,0,1,3,0,1,5,6,8,1,2,0,26,0,1,7,8,1,0,13,7,0,0,2,2,15,22,2,0,3,1,1,5,2,6,0,1,8,2,5,3,0,0,0,1,0,1,0,4,3,9,6,6,6,2,2,0,5
0,11,1,44,0,7,1,0,113,0,2,24,14,0,0,0,2,23,7,1,0,24,2,0,6,4,2,1,0,0,4,0,0,18,8,0,0,1,2,0,5,0,0,27,5,12,0,8,0,5,1,33,2,1,11,0,0,3,1,3,1,3,0,0,1,0,0,9,2,5,0,3,14,0,0,1,19,0,4,0,7,9,3,1,0,5,4,1,0,0,0,15,0,17,6,3,37,0,8,6,6,2,0,31,0,12,0,0,0,0,0,0,1,13,3,5
39,4,0,376,0,0,0,113,0,3,6,61,0,0,0,0,0,78,102,0,0,84,0,2,21,1,0,0,0,0,6,0,0,43,5,0,1,1,0,0,28,0,0,74,16,11,0,8,0,2,0,64,1,0,0,0,0,6,0,2,3,0,0,0,0,0,0,5,1,6,0,3,32,0,0,1,81,0,26,0,30,29,17,1,0,10,22,0,10,1,0,132,0,205,0,0,88,0,6,13,12,1,0,144,1,12,0,0,0,0,0,0,0,14,18,2
8,7,7,7,2,4,6,0,3,0,2,9,8,9,16,11,11,1,0,10,2,2,12,0,1,3,12,1,0,0,3,10,9,6,2,10,3,13,8,10,5,1,4,1,0,15,8,6,9,8,1,3,12,3,7,6,5,1,31,9,7,4,0,0,5,3,0,6,10,7,13,2,29,4,19,9,2,2,7,0,3,5,14,0,0,3,2,6,1,6,4,2,1,0,6,9,8,3,1,6,0,18,2,3,6,0,3,5,0,4,1,4,4,0,0,9
