Ant59,Ant540,Ant2,Ant6,Ant24,Ant25,Ant73,Ant148,Ant191,Ant227,Ant237,Ant252,Ant311,Ant534,Ant646,Ant740,Ant954,Ant1,Ant17,Ant27,Ant44,Ant49,Ant51,Ant71,Ant97,Ant115,Ant117,Ant120,Ant153,Ant170,Ant176,Ant242,Ant250,Ant256,Ant262,Ant263,Ant264,Ant298,Ant299,Ant305,Ant332,Ant334,Ant356,Ant391,Ant475,Ant476,Ant502,Ant564,Ant592,Ant593,Ant599,Ant607,Ant638,Ant647,Ant650
0,5,5,10,12,10,6,1,0,3,4,10,20,5,2,3,22,0,6,14,19,18,3,6,7,6,21,4,2,10,8,28,11,0,5,2,13,1,7,9,0,4,14,38,8,0,15,16,2,10,3,0,1,1,4
5,0,32,4,0,19,1,3,0,6,11,4,8,4,1,8,8,0,3,8,1,7,28,0,11,1,2,32,4,0,18,4,5,11,5,7,3,17,1,12,35,2,1,3,11,10,7,7,11,12,2,25,26,14,14
5,32,0,12,2,8,10,3,0,0,42,0,0,1,0,21,0,0,13,0,3,0,31,0,11,1,1,16,22,1,14,0,4,10,4,1,2,13,1,7,74,3,0,2,3,8,2,2,19,15,1,22,38,27,34
10,4,12,0,6,7,15,4,0,5,0,4,3,4,8,4,18,0,8,9,14,11,12,1,6,1,36,2,9,5,2,14,2,4,5,4,1,0,17,5,3,24,1,5,8,1,10,6,8,1,5,0,6,2,4
12,0,2,6,0,4,5,0,0,0,13,15,13,9,1,4,6,0,5,12,36,31,2,1,2,28,40,0,9,4,5,10,2,0,4,3,10,3,4,13,2,10,4,27,3,4,0,5,3,10,8,0,5,0,3
10,19,8,7,4,0,8,1,0,6,12,1,10,7,4,18,9,0,11,19,3,2,8,0,12,13,20,25,8,5,9,18,12,2,5,4,10,3,5,18,20,8,5,11,9,6,13,1,16,14,4,2,13,4,5
6,1,10,15,5,8,0,1,0,4,1,9,10,13,6,18,6,0,12,13,29,2,3,2,14,13,8,3,3,10,18,16,12,6,9,1,6,6,5,10,15,9,1,6,7,10,8,3,3,13,3,4,5,0,14
1,3,3,4,0,1,1,0,0,3,4,1,3,1,0,2,1,0,0,0,0,0,3,0,10,0,0,4,2,3,2,0,0,1,0,1,0,1,0,0,6,0,0,0,0,1,4,0,0,7,0,1,0,3,4
0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0,5,0,6,4,3,8,0,3,1,5,4,0,3,2,0,2,0,0,0,4,0,4,2,3,22,1,0,8,3,0,16,5,0,1,44,5,14,3,0,1,5,9,0,0,0,7,4,1,3,1,8,3
4,11,42,0,13,12,1,4,0,3,0,1,14,3,0,29,2,0,0,5,7,5,20,0,6,2,5,6,4,4,10,2,1,4,2,4,2,4,3,3,76,7,0,14,5,3,4,1,6,28,3,3,24,16,14
10,4,0,4,15,1,9,1,0,1,1,0,42,2,14,4,2,0,18,2,22,32,1,7,2,1,10,3,2,6,9,40,4,1,13,12,15,0,17,1,0,1,5,9,8,0,6,10,9,9,10,0,2,1,3
20,8,0,3,13,10,10,3,0,5,14,42,0,0,7,14,8,0,9,57,0,42,3,6,2,4,9,5,16,4,10,30,21,6,8,14,1,13,7,22,2,10,13,73,7,1,1,11,3,3,21,0,3,0,1
5,4,1,4,9,7,13,1,0,4,3,2,0,0,3,2,1,0,4,6,16,0,4,2,10,20,7,7,2,2,9,4,10,1,10,2,10,3,0,2,0,3,1,0,17,1,4,5,14,3,4,2,3,0,2
2,1,0,8,1,4,6,0,0,0,0,14,7,3,0,9,9,0,10,41,1,9,0,4,7,6,7,4,2,6,10,2,8,0,4,6,3,3,9,5,0,5,2,12,6,0,1,7,6,3,10,1,2,0,0
3,8,21,4,4,18,18,2,0,3,29,4,14,2,9,0,7,0,1,8,5,6,16,0,5,4,7,17,15,8,9,7,5,5,8,8,2,4,5,3,20,8,2,7,11,2,15,3,13,10,5,5,24,12,9
22,8,0,18,6,9,6,1,0,2,2,2,8,1,9,7,0,0,3,7,3,20,4,2,19,1,45,8,5,2,5,8,3,1,17,39,3,4,8,10,2,11,8,7,21,0,3,2,1,5,25,0,9,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,13,8,5,11,12,0,0,2,0,18,9,4,10,1,3,0,0,24,7,8,3,5,5,4,11,6,4,12,4,2,14,0,8,1,7,1,1,0,1,12,0,6,9,3,8,16,4,4,1,0,0,1,1
14,8,0,9,12,19,13,0,0,0,5,2,57,6,41,8,7,0,24,0,6,37,0,9,3,5,15,2,4,20,5,20,24,0,12,21,1,5,12,7,0,35,3,65,25,0,6,6,0,3,12,0,1,0,0
19,1,3,14,36,3,29,0,0,0,7,22,0,16,1,5,3,0,7,6,0,5,8,2,6,14,12,5,8,5,15,1,23,0,29,0,13,0,0,4,1,2,6,1,13,0,37,16,16,6,14,4,1,0,2
18,7,0,11,31,2,2,0,0,0,5,32,42,0,9,6,20,0,8,37,5,0,2,6,6,1,53,1,5,1,10,29,5,0,3,9,6,13,16,28,0,8,0,15,3,0,2,19,0,2,16,1,0,1,2
3,28,31,12,2,8,3,3,0,4,20,1,3,4,0,16,4,0,3,0,8,2,0,0,3,12,7,16,3,4,15,0,2,7,3,2,6,0,0,2,31,2,1,0,5,5,3,0,8,17,0,8,26,3,23
6,0,0,1,1,0,2,0,0,0,0,7,6,2,4,0,2,0,5,9,2,6,0,0,1,0,0,0,0,3,1,0,2,0,1,0,3,3,2,2,0,3,2,18,1,0,9,8,4,2,2,0,0,0,0
7,11,11,6,2,12,14,10,0,4,6,2,2,10,7,5,19,0,5,3,6,6,3,1,0,0,1,10,8,5,9,3,2,5,2,6,3,5,8,3,13,0,1,11,7,2,6,1,1,9,3,6,10,3,3
6,1,1,1,28,13,13,0,0,2,2,1,4,20,6,4,1,0,4,5,14,1,12,0,0,0,17,3,3,1,3,5,2,0,10,1,3,0,0,0,0,4,2,3,9,0,2,3,2,0,4,3,0,0,0
21,2,1,36,40,20,8,0,0,3,5,10,9,7,7,7,45,0,11,15,12,53,7,0,1,17,0,9,23,18,4,19,4,0,25,7,4,13,0,22,0,29,1,14,15,0,2,14,5,24,10,2,7,1,1
4,32,16,2,0,25,3,4,11,22,6,3,5,7,4,17,8,2,6,2,5,1,16,0,10,3,9,0,12,3,11,4,3,13,0,6,0,50,5,8,8,2,0,13,0,4,5,4,4,6,3,13,15,10,9
2,4,22,9,9,8,3,2,0,1,4,2,16,2,2,15,5,0,4,4,8,5,3,0,8,3,23,12,0,3,3,3,0,1,3,2,1,8,8,7,13,7,1,1,10,2,4,2,9,6,0,10,6,7,4
10,0,1,5,4,5,10,3,0,0,4,6,4,2,6,8,2,0,12,20,5,1,4,3,5,1,18,3,3,0,6,0,7,3,6,7,10,4,1,0,10,10,4,10,6,1,3,8,16,3,8,0,5,0,1
8,18,14,2,5,9,18,2,0,8,10,9,10,9,10,9,5,0,4,5,15,10,15,1,9,3,4,11,3,6,0,2,8,2,10,3,4,9,4,14,8,1,2,5,6,0,4,9,15,26,6,34,16,5,16
28,4,0,14,10,18,16,0,0,3,2,40,30,4,2,7,8,0,2,20,1,29,0,0,3,5,19,4,3,0,2,0,9,1,4,1,11,5,26,11,0,9,15,41,20,0,0,28,5,2,11,1,0,0,4
11,5,4,2,2,12,12,0,0,0,1,4,21,10,8,5,3,0,14,24,23,5,2,2,2,2,4,3,0,7,8,9,0,1,11,5,9,2,2,7,1,10,1,0,8,0,0,14,5,2,0,0,5,2,2
0,11,10,4,0,2,6,1,2,16,4,1,6,1,0,5,1,3,0,0,0,0,7,0,5,0,0,13,1,3,2,1,1,0,1,3,1,30,3,2,7,1,0,1,2,2,0,0,2,1,0,1,7,3,26
5,5,4,5,4,5,9,0,0,5,2,13,8,10,4,8,17,0,8,12,29,3,3,1,2,10,25,0,3,6,10,4,11,1,0,4,6,1,3,2,5,5,7,2,2,0,1,7,7,6,3,3,2,4,4
2,7,1,4,3,4,1,1,0,0,4,12,14,2,6,8,39,0,1,21,0,9,2,0,6,1,7,6,2,7,3,1,5,3,4,0,0,5,4,8,2,7,4,22,4,0,7,1,0,5,6,0,2,1,1
13,3,2,1,10,10,6,0,0,1,2,15,1,10,3,2,3,0,7,1,13,6,6,3,3,3,4,0,1,10,4,11,9,1,6,0,0,0,1,2,0,11,12,0,15,1,42,19,8,16,21,0,2,1,10
1,17,13,0,3,3,6,1,9,44,4,0,13,3,3,4,4,4,1,5,0,13,0,3,5,0,13,50,8,4,9,5,2,30,1,5,0,0,4,10,10,0,1,3,5,1,0,2,0,2,2,5,19,10,10
7,1,1,17,4,5,5,0,0,5,3,17,7,0,9,5,8,0,1,12,0,16,0,2,8,0,0,5,8,1,4,26,2,3,3,4,1,4,0,9,6,4,8,19,21,2,6,5,0,6,10,0,7,0,4
9,12,7,5,13,18,10,0,0,14,3,1,22,2,5,3,10,0,0,7,4,28,2,2,3,0,22,8,7,0,14,11,7,2,2,8,2,10,9,0,6,7,0,5,16,0,3,0,6,21,9,1,10,3,12
0,35,74,3,2,20,15,6,0,3,76,0,2,0,0,20,2,0,1,0,1,0,31,0,13,0,0,8,13,10,8,0,1,7,5,2,0,10,6,6,0,4,1,0,4,14,4,2,5,26,3,6,32,39,35
4,2,3,24,10,8,9,0,0,0,7,1,10,3,5,8,11,0,12,35,2,8,2,3,0,4,29,2,7,10,1,9,10,1,5,7,11,0,4,7,4,0,9,11,12,2,8,13,3,5,6,0,0,2,2
14,1,0,1,4,5,1,0,0,1,0,5,13,1,2,2,8,0,0,3,6,0,1,2,1,2,1,0,1,4,2,15,1,0,7,4,12,1,8,0,1,9,0,16,13,0,6,3,15,0,11,0,0,0,0
