Ant52,Ant65,Ant244,Ant2,Ant6,Ant15,Ant19,Ant60,Ant99,Ant102,Ant148,Ant202,Ant209,Ant227,Ant237,Ant268,Ant604,Ant673,Ant35,Ant50,Ant63,Ant96,Ant98,Ant126,Ant137,Ant140,Ant147,Ant169,Ant172,Ant174,Ant176,Ant178,Ant195,Ant206,Ant210,Ant232,Ant256,Ant262,Ant289,Ant296,Ant298,Ant324,Ant332,Ant356,Ant400,Ant437,Ant476,Ant492,Ant502,Ant552,Ant556,Ant560,Ant564,Ant592,Ant593,Ant599,Ant621,Ant638,Ant650
0,0,1,0,2,1,1,8,0,3,5,0,6,0,4,0,1,0,0,1,0,0,0,0,0,5,0,1,0,0,0,0,0,38,0,4,0,0,0,3,3,0,3,1,1,0,9,0,1,14,0,0,0,28,10,2,10,0,3
0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,9,5,0,0,7,0,4,1,6,11,0,1,0,2,0,0,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0
1,5,0,0,10,1,9,0,1,5,7,0,0,0,0,4,3,4,7,0,2,3,0,4,4,2,7,3,4,1,0,0,5,0,11,2,9,5,0,1,2,6,0,0,2,4,0,3,2,3,4,2,18,0,1,3,5,0,2
0,0,0,0,0,0,0,0,0,0,0,13,0,6,0,1,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2,0,10,0,0,2,4,0,4,0,0,0,0,0,0,9,2,0,2,3,0,3,5,10,0,11,2,6,1,10,0,0,8,3,9,14,2,1,0,6,1,0,0,0,9,6,5,0,1,0,0,2,24,1,4,0,2,0,0
1,0,1,0,2,0,3,0,6,2,0,0,0,0,43,1,0,0,2,17,22,8,26,0,1,3,0,2,0,4,0,0,3,1,0,19,0,0,0,0,0,2,0,0,3,1,0,0,18,0,0,0,1,0,1,0,19,0,1
1,0,9,0,4,3,0,4,7,1,6,0,6,0,9,2,11,5,4,6,5,10,1,0,2,11,16,1,7,8,0,0,3,6,12,7,2,1,0,3,2,18,1,0,2,1,5,0,4,5,3,10,4,1,6,4,1,0,3
8,0,0,0,0,0,4,0,13,2,5,0,3,0,2,0,0,14,0,0,0,0,2,0,8,0,6,2,0,19,0,0,0,15,0,0,0,0,0,1,16,1,16,2,12,1,7,7,0,2,5,0,0,3,5,0,0,0,32
0,1,1,0,4,6,7,13,0,3,3,0,0,0,3,3,9,5,2,1,0,6,3,2,1,0,10,1,0,6,0,0,4,15,2,0,1,3,0,1,3,6,0,10,7,1,2,17,15,15,0,1,4,1,0,15,4,0,12
3,0,5,0,0,2,1,2,3,0,9,0,1,0,1,0,0,2,0,6,1,3,2,0,10,0,0,10,1,5,0,0,0,3,0,4,0,0,0,2,8,0,0,14,0,1,14,18,0,1,1,0,1,0,0,0,2,0,3
