Ant57,Ant260,Ant52,Ant397,Ant929,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant60,Ant64,Ant74,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant159,Ant169,Ant170,Ant174,Ant175,Ant190,Ant195,Ant206,Ant210,Ant229,Ant232,Ant242,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant326,Ant331,Ant332,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant458,Ant492,Ant501,Ant507,Ant509,Ant530,Ant576,Ant592,Ant593,Ant607,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,1,1,1,6,1,0,11,1,1,4,28,0,2,4,0,12,16,3,2,9,5,5,2,2,11,2,24,13,1,5,1,0,1,13,15,4,0,1,17,2,0,1,9,2,1,11,0,19,3,3,11,21,11,6,16,2,3,1,7,4,1,2,0,8,0,0,1,5,9,11,0,3,0,0,8,3,3,6,3,0,20,3,7,9,6,2,29,6,0,0,0,0,6,31,3,0,1,5,25,0,3,1,0,2,17,4,6,0,1,0,2,1,7,5,1,8,6
1,0,1,4,1,15,23,2,9,5,5,1,16,44,2,2,5,5,35,18,3,4,3,7,7,3,25,7,3,6,1,12,0,68,7,9,7,26,1,3,11,29,23,5,7,33,2,11,1,10,2,8,6,37,3,4,24,57,9,7,3,2,16,28,8,9,62,31,28,21,8,15,17,2,51,22,22,1,11,10,19,7,2,3,5,6,26,1,27,33,23,21,14,42,1,17,0,6,4,3,5,5,7,2,2,6,4,8,16,4,36,22,59,5,4,34,10,10
1,1,0,1,11,2,0,4,1,0,1,6,0,0,3,1,1,16,0,0,0,1,3,3,4,5,11,24,5,0,3,11,0,0,2,7,4,0,16,0,1,1,0,7,8,1,15,4,0,2,5,8,15,7,5,12,0,0,2,4,0,12,0,4,18,1,0,0,1,0,25,0,0,9,0,2,5,0,11,3,0,15,3,6,11,36,2,5,2,2,0,0,2,0,5,0,0,3,0,3,2,10,2,0,4,32,12,3,0,7,0,5,0,8,0,0,2,5
1,4,1,0,8,14,2,3,6,0,13,1,3,14,0,1,0,6,13,12,3,18,4,5,0,1,9,2,0,20,4,15,0,10,0,1,3,10,5,3,24,13,1,0,2,15,0,10,1,10,1,10,5,1,2,0,24,2,0,10,0,2,11,1,0,3,1,4,15,0,1,0,18,2,0,3,0,4,0,0,1,7,0,3,0,5,10,0,25,25,2,6,11,11,0,14,0,7,7,0,5,0,14,2,2,0,1,0,26,0,6,12,21,0,0,2,16,1
6,1,11,8,0,1,0,6,4,4,1,12,0,0,6,1,8,3,6,0,8,2,21,1,1,7,19,5,21,4,18,4,0,2,15,0,4,0,5,24,0,2,0,4,7,0,6,4,0,8,18,5,8,11,0,22,0,0,8,6,1,2,3,0,17,1,0,0,0,2,9,0,0,4,0,6,1,10,11,8,0,9,0,1,5,15,10,14,1,4,1,2,2,3,13,0,0,3,2,8,11,4,2,1,9,37,7,2,0,4,0,6,1,4,1,0,5,4
1,15,2,14,1,0,8,1,2,1,3,0,1,8,0,0,1,6,40,7,3,3,7,4,0,2,2,5,2,13,3,30,0,19,0,2,9,12,2,1,2,3,5,1,1,13,0,13,3,7,0,19,5,2,5,3,12,6,1,3,1,1,7,1,0,14,1,11,2,4,1,0,4,0,0,12,0,0,5,2,0,0,0,2,1,6,6,0,11,18,10,2,18,0,0,10,0,5,3,0,8,1,14,0,0,3,2,0,14,0,1,5,10,6,0,13,2,1
0,23,0,2,0,8,0,0,5,0,3,0,20,7,0,0,0,0,9,7,0,8,0,2,1,0,3,0,1,11,1,7,0,40,4,9,3,17,1,9,15,19,8,0,1,10,0,2,1,7,0,1,0,1,0,0,24,43,0,2,1,2,11,1,0,5,63,35,3,40,1,0,12,0,36,0,6,0,7,0,37,0,0,4,0,4,13,0,15,14,21,10,6,24,0,6,0,3,0,0,3,3,14,4,0,0,1,0,5,4,31,5,6,1,0,11,4,6
11,2,4,3,6,1,0,0,0,0,0,7,0,1,13,0,22,13,0,0,0,0,1,4,13,4,14,6,6,0,5,3,1,0,1,20,0,1,10,41,0,1,0,12,12,0,4,2,4,0,14,5,9,18,7,29,0,0,13,2,1,1,0,0,2,1,0,0,4,0,6,0,0,0,0,6,12,3,4,12,0,15,4,28,21,0,0,23,3,0,0,0,0,3,17,0,0,5,1,13,3,2,0,0,1,12,3,1,0,0,0,5,0,26,0,1,2,19
1,9,1,6,4,2,5,0,0,1,2,0,1,6,0,0,2,0,8,6,0,31,1,4,2,8,7,0,2,37,2,19,0,17,4,2,5,6,2,4,5,18,4,0,5,11,0,11,0,1,0,3,0,7,0,1,2,6,1,5,1,4,2,3,0,4,1,2,9,9,4,0,4,3,0,12,3,1,3,6,19,11,0,1,3,2,19,0,4,2,6,10,6,3,0,6,0,17,9,9,5,1,13,0,0,11,0,2,5,0,4,0,6,1,0,10,6,0
1,5,0,0,4,1,0,0,1,0,1,0,0,1,8,32,13,0,3,0,2,1,3,0,11,0,0,1,8,0,3,1,8,0,3,9,0,0,0,1,3,0,0,3,43,0,23,0,1,4,0,0,0,3,0,2,0,0,1,5,1,9,1,24,3,0,0,0,8,1,3,3,3,6,0,4,5,1,3,12,1,14,9,4,2,0,4,0,5,1,0,1,1,1,2,4,0,5,0,13,1,9,2,0,0,8,2,7,0,0,0,7,8,1,2,1,14,21
4,5,1,13,1,3,3,0,2,1,0,0,0,13,0,0,0,0,5,7,1,8,4,0,0,0,1,2,0,6,0,7,0,10,0,1,8,1,1,0,26,6,1,1,1,9,0,2,0,3,0,1,10,6,1,0,6,11,0,4,0,1,1,1,0,1,1,10,1,0,3,0,7,0,0,3,0,0,0,1,1,0,0,0,0,0,9,0,6,4,4,2,9,6,0,4,0,2,3,1,2,0,2,0,0,0,0,0,21,0,0,8,9,0,0,7,4,1
28,1,6,1,12,0,0,7,0,0,0,0,0,0,12,5,10,0,2,0,0,7,4,4,4,4,5,25,8,0,17,1,1,0,10,4,0,0,4,17,0,0,0,14,9,0,7,0,7,11,4,7,7,2,2,0,0,0,1,1,0,3,0,0,12,1,0,0,7,0,10,0,0,1,0,1,3,15,6,15,0,6,0,7,4,6,2,15,2,0,0,0,1,0,14,1,0,0,6,0,3,3,0,1,9,21,12,5,0,3,0,2,0,11,0,0,5,9
0,16,0,3,0,1,20,0,1,0,0,0,0,3,0,0,0,0,9,14,0,5,1,0,0,0,0,0,0,0,0,1,0,27,0,0,0,13,0,1,1,6,2,0,0,4,0,1,0,0,0,0,0,0,0,1,2,24,0,0,0,2,5,0,0,0,44,38,1,20,0,0,18,0,27,0,1,0,0,0,39,0,0,0,0,0,0,0,5,0,9,13,0,12,0,8,1,0,0,0,0,0,3,6,0,0,0,0,1,0,31,4,0,4,0,10,1,0
2,44,0,14,0,8,7,1,6,1,13,0,3,0,0,0,0,2,22,23,0,11,0,1,0,0,2,0,1,7,2,16,0,41,0,0,1,8,0,0,16,34,23,3,0,26,0,4,0,5,2,2,1,4,2,0,18,10,0,8,0,0,13,2,0,4,11,15,5,13,2,0,15,0,0,1,1,0,0,0,7,0,0,0,2,0,11,0,16,17,7,17,10,10,0,19,0,2,2,0,7,1,8,5,0,0,0,1,15,2,10,12,3,0,0,25,10,0
4,2,3,0,6,0,0,13,0,8,0,12,0,0,0,58,6,1,0,1,4,5,4,0,8,6,0,3,6,0,2,0,4,0,4,3,0,0,6,12,0,0,0,31,6,1,5,1,5,0,20,7,12,4,6,6,0,0,8,2,0,6,0,2,17,1,0,0,3,2,22,2,0,24,0,3,5,2,10,4,1,6,14,17,6,0,2,15,0,1,0,0,0,1,20,0,0,3,2,7,7,10,0,0,3,21,0,8,0,0,0,2,0,0,0,0,0,10
0,2,1,1,1,0,0,0,0,32,0,5,0,0,58,0,4,0,4,3,10,6,0,3,5,9,0,0,10,0,14,1,5,2,4,1,3,0,8,2,0,2,0,175,10,1,9,1,5,0,21,6,37,2,38,0,0,0,6,4,0,34,1,5,12,1,0,0,3,0,42,15,0,0,0,1,3,0,15,16,0,9,15,6,13,4,7,0,1,5,0,0,0,0,32,3,0,0,2,26,12,11,3,1,0,9,0,0,0,0,0,11,1,3,5,0,5,10
12,5,1,0,8,1,0,22,2,13,0,10,0,0,6,4,0,5,2,0,0,3,7,3,7,2,3,11,11,0,0,0,0,4,11,5,0,0,59,33,0,1,1,5,9,0,19,0,1,4,13,8,9,0,1,4,0,1,7,5,0,0,2,0,4,0,0,2,6,2,18,1,0,0,0,4,3,1,9,15,4,24,5,7,9,0,2,9,0,4,0,0,0,0,5,9,0,2,4,15,3,0,1,1,5,15,5,0,0,0,0,2,0,4,4,0,0,4
16,5,16,6,3,6,0,13,0,0,0,0,0,2,1,0,5,0,5,0,0,0,1,3,1,2,2,5,2,5,4,3,0,1,0,9,2,2,15,2,0,0,0,1,8,5,0,2,3,5,23,0,9,3,6,7,6,3,7,9,1,32,2,0,2,7,0,0,8,0,13,0,5,6,0,7,1,10,9,13,0,2,2,3,31,0,7,36,6,5,0,1,2,2,4,4,0,7,3,8,10,3,0,0,10,5,14,0,3,5,0,6,7,2,0,0,3,3
3,35,0,13,6,40,9,0,8,3,5,2,9,22,0,4,2,5,0,36,2,24,5,18,0,5,4,0,0,20,5,15,0,34,0,2,7,23,1,1,30,38,48,6,0,30,2,47,3,14,0,7,4,9,0,1,31,10,0,9,3,2,22,6,1,37,32,11,10,9,1,0,29,4,12,7,8,2,5,0,4,0,0,0,1,11,28,0,14,18,13,12,21,19,1,20,1,5,4,0,4,1,17,9,0,3,2,0,17,2,10,4,20,1,0,10,5,2
2,18,0,12,0,7,7,0,6,0,7,0,14,23,1,3,0,0,36,0,0,9,1,2,0,0,11,0,0,15,2,7,0,22,1,2,3,4,1,2,21,32,9,0,0,16,0,5,0,12,0,2,0,2,0,0,19,6,1,8,1,1,10,0,0,11,11,10,6,9,6,0,45,0,1,1,0,2,2,1,7,0,0,0,5,3,27,0,21,21,11,12,23,7,0,6,0,5,1,0,2,0,13,10,0,0,0,0,7,1,7,6,7,2,0,20,3,6
9,3,0,3,8,3,0,0,0,2,1,0,0,0,4,10,0,0,2,0,0,3,0,5,1,3,15,1,2,1,2,0,0,4,0,2,8,0,7,1,3,1,0,2,8,1,1,2,1,0,4,4,17,8,1,8,3,3,6,3,0,5,1,0,0,3,0,0,5,0,1,0,0,2,0,6,2,3,3,0,3,5,0,1,3,1,2,0,2,4,0,1,1,4,2,0,0,2,2,1,4,5,4,2,3,3,0,2,0,2,0,1,2,1,0,0,4,2
