Ant57,Ant260,Ant52,Ant397,Ant540,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant237,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant29,Ant35,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant82,Ant91,Ant96,Ant97,Ant98,Ant100,Ant109,Ant113,Ant115,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant139,Ant140,Ant144,Ant147,Ant149,Ant153,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant186,Ant190,Ant195,Ant198,Ant206,Ant207,Ant210,Ant212,Ant215,Ant219,Ant229,Ant232,Ant242,Ant250,Ant255,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant305,Ant313,Ant318,Ant324,Ant326,Ant331,Ant332,Ant334,Ant342,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant476,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant552,Ant560,Ant564,Ant576,Ant592,Ant593,Ant599,Ant600,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
36,0,3,0,1,32,0,0,0,65,0,2,0,21,0,0,0,32,17,6,0,20,4,0,3,7,0,0,35,10,9,0,0,12,0,14,0,7,1,12,0,4,0,1,6,0,2,0,27,4,0,0,0,0,0,26,2,0,23,0,0,16,0,12,3,12,13,1,19,0,24,2,0,0,41,4,12,16,25,1,6,2,26,3,0,8,14,33,0,0,36,0,30,0,13,0,3,0,0,0,0,1,0,3,0,18,5,19,21,0,0,29,3,12,2,20,0,32,1,2,3,7,0,0,0,0,0,0,0,34,0,0,3,21,23,0,0,11,0,19,1,0,0,32,7,34,0,0,0,3,19,0,3,0,0,0,0,1,0,24,17,0,0,18
0,0,14,0,0,16,1,0,0,34,0,0,0,4,0,0,0,21,24,63,20,0,0,0,0,11,3,0,20,0,0,0,0,8,0,22,0,0,0,12,0,5,0,0,13,0,0,0,17,0,0,0,0,0,0,45,23,0,16,0,0,2,0,0,0,7,0,0,2,0,13,0,0,0,8,0,3,0,13,0,7,4,17,0,0,0,0,20,0,0,52,0,13,0,11,0,0,0,0,0,0,0,0,4,3,4,2,25,3,0,0,38,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,22,0,0,1,1,6,2,0,3,0,3,1,0,0,16,18,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,13,0,0,3
8,0,0,2,7,24,0,8,0,7,23,7,3,7,0,1,1,0,9,8,4,0,0,6,8,0,9,0,0,10,3,3,0,0,5,21,0,0,7,0,6,0,0,4,5,0,0,1,12,8,0,5,0,0,2,5,5,0,4,8,4,9,9,0,0,8,7,8,13,0,7,2,0,0,0,3,0,1,4,5,11,40,10,19,0,0,2,1,0,1,4,1,1,0,8,7,0,1,0,5,4,1,0,5,1,6,12,0,9,1,0,14,8,3,0,6,25,0,1,0,25,6,0,0,0,6,5,0,0,7,4,0,0,5,10,3,0,18,4,1,0,0,0,0,0,19,0,8,0,3,0,0,9,0,0,0,30,5,0,16,1,0,4,3
4,20,1,14,26,0,15,17,27,0,13,2,27,4,8,14,8,0,12,0,0,0,6,0,21,0,6,6,0,15,5,9,14,0,18,5,25,12,12,0,8,0,2,4,1,1,6,33,1,35,12,39,22,30,41,0,0,12,0,4,36,0,0,6,11,0,14,13,5,45,0,34,38,35,0,8,0,3,0,13,29,3,0,9,0,31,10,0,16,11,0,16,1,31,0,60,0,9,7,31,23,13,37,7,4,0,16,2,0,5,26,3,2,4,10,9,22,0,19,16,30,5,7,8,58,32,0,3,29,0,42,0,0,0,1,14,36,2,16,0,11,32,1,0,0,2,39,18,35,2,4,6,3,15,13,23,21,6,17,10,0,23,23,0
0,15,1,17,6,4,7,30,3,0,9,4,7,0,3,12,31,0,0,0,3,0,8,21,0,0,4,12,0,7,0,2,0,0,12,4,10,0,10,0,12,0,1,0,2,2,3,5,0,4,3,31,16,25,20,0,0,21,0,14,21,0,1,0,4,1,3,5,0,10,0,15,7,18,0,1,0,4,1,21,0,3,0,1,1,3,5,0,7,18,2,9,0,7,0,18,0,26,1,5,16,0,7,0,5,0,0,0,0,12,3,2,0,0,3,0,14,0,7,0,16,4,0,7,14,15,2,0,1,0,18,0,0,0,0,14,18,0,2,0,14,10,2,0,0,0,14,10,14,2,0,4,6,9,28,10,9,2,17,4,0,6,7,0
0,0,6,0,2,12,2,0,0,0,0,6,1,18,0,0,0,2,11,11,7,11,0,0,0,0,3,0,13,6,8,3,0,3,1,12,0,16,0,3,0,1,0,10,6,0,0,0,6,2,0,0,0,1,0,9,7,4,6,11,0,0,1,24,1,11,4,0,25,4,9,2,9,0,30,21,0,6,7,0,5,1,17,0,0,1,0,4,17,0,32,2,37,3,7,0,0,2,0,2,0,1,2,3,0,0,2,14,2,0,0,21,9,0,0,3,2,8,1,7,3,16,0,0,2,2,0,0,5,0,0,0,3,6,0,0,0,1,0,4,4,0,0,0,30,3,0,0,1,0,13,0,2,2,0,0,3,0,0,1,6,0,5,5
1,1,9,6,2,13,11,1,4,0,5,5,1,11,2,0,0,6,0,4,0,3,9,6,4,3,0,0,1,18,4,8,26,0,12,6,5,6,9,5,18,0,0,7,0,0,13,0,0,21,0,9,1,1,4,0,4,1,18,3,10,15,1,25,7,6,26,30,8,9,4,10,2,0,5,22,3,10,16,3,8,18,1,7,0,4,16,14,7,0,11,1,0,0,7,3,7,3,0,9,13,8,10,9,7,0,16,16,1,1,0,5,16,1,8,14,7,0,6,20,13,39,0,0,6,11,10,0,19,2,0,0,7,4,13,11,5,5,1,1,11,1,0,0,4,9,5,9,4,5,11,2,12,4,10,10,8,7,2,6,3,0,3,14
0,48,0,0,0,0,0,0,39,0,0,0,0,0,70,3,15,0,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,165,0,0,49,0,25,0,0,93,0,22,47,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,70,1,0,0,0,33,0,5,0,1,0,125,0,0,3,0,3,0,45,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,21,3,0,0,65,0,0,0,0,0,0,0,0,17,0,0,0,0,0,57,0,0,0,20,0,0,0,0,0,0,0,0,14,0,0,0,0,0,15,0,0
6,0,4,0,0,23,3,0,0,25,0,3,0,0,0,0,0,18,14,12,35,20,0,0,0,13,1,0,0,0,0,0,2,17,0,43,0,6,0,5,0,3,0,0,31,0,0,0,15,0,0,0,0,0,0,26,17,0,9,0,0,10,7,3,0,6,1,1,20,0,5,0,0,0,13,0,0,0,15,0,5,4,9,0,0,0,0,21,0,0,53,0,36,0,28,0,0,0,0,0,0,0,0,12,0,8,1,12,10,0,0,13,0,0,0,0,0,52,2,0,0,0,0,0,1,1,1,0,0,9,0,0,0,5,0,0,0,2,0,11,0,0,0,18,5,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,36,0,1,11
8,2,10,12,1,9,0,3,3,0,5,12,0,5,0,2,1,0,14,0,10,0,10,15,7,6,18,0,0,0,33,2,8,6,22,6,0,3,6,1,8,0,0,6,8,0,16,2,18,24,0,4,2,2,6,11,7,14,1,3,12,9,17,0,0,14,7,4,11,3,1,2,14,4,2,9,11,13,33,1,5,29,24,12,0,2,13,0,1,0,3,1,14,25,3,7,10,10,1,34,14,16,0,8,4,0,9,19,7,4,3,4,11,11,0,14,8,1,3,0,14,18,0,2,2,21,18,0,6,0,0,0,0,3,1,28,0,7,14,0,6,4,0,0,1,3,4,6,10,5,3,31,15,2,11,2,6,16,8,19,2,2,0,16
3,1,3,0,13,6,4,3,0,0,0,4,0,2,1,0,0,0,1,0,9,0,3,5,0,8,4,0,0,33,0,0,6,0,1,1,0,6,0,0,2,0,0,1,16,0,0,3,6,0,0,0,0,4,0,6,4,2,1,1,0,3,9,6,0,7,3,24,3,11,2,6,3,0,2,2,3,6,3,0,0,0,8,2,0,0,7,3,12,0,1,2,10,0,3,3,0,0,3,10,6,0,1,2,0,3,1,9,3,0,0,4,26,0,14,0,0,1,0,6,11,14,7,1,0,0,0,0,10,10,3,0,4,7,3,6,3,5,0,0,4,0,0,0,28,3,2,3,1,0,21,2,1,3,4,2,9,7,2,13,8,0,2,10
1,8,3,11,11,10,15,5,2,0,11,0,4,0,0,0,3,0,12,0,0,0,3,9,2,3,8,0,0,2,0,0,0,2,2,3,7,5,0,2,12,0,0,8,2,0,0,9,0,3,20,8,7,16,7,1,0,0,0,4,11,2,0,0,8,3,10,1,0,12,3,21,20,3,0,2,0,3,0,7,0,28,0,1,0,9,0,0,21,4,0,3,7,15,0,7,1,1,10,1,7,9,6,4,4,0,5,6,0,3,2,5,1,0,3,0,6,0,11,15,4,2,13,0,7,0,0,1,13,0,7,0,10,0,5,6,3,2,3,0,20,3,0,0,7,0,8,2,5,0,16,0,8,14,11,16,7,4,4,0,0,6,37,0
0,5,1,10,3,0,14,3,0,2,18,12,2,4,1,5,2,0,1,0,0,0,0,14,0,0,26,0,2,8,6,0,0,0,5,4,2,9,9,0,20,0,0,3,0,0,5,0,5,7,4,7,3,6,1,0,8,10,0,4,10,16,3,6,11,11,27,11,4,8,0,2,8,12,0,8,6,1,4,12,17,13,0,6,0,2,9,1,4,0,2,10,1,1,0,3,8,24,9,11,2,8,6,3,17,0,1,1,4,7,0,2,23,2,7,22,9,4,7,5,10,7,0,2,6,14,3,0,2,0,3,0,7,5,2,5,6,9,0,3,14,2,0,0,6,10,3,6,1,2,18,5,1,9,2,6,4,10,6,14,0,0,5,7
5,0,13,0,3,20,4,0,0,8,0,0,0,0,0,0,0,1,9,0,12,8,0,0,0,3,0,0,17,6,0,2,0,0,0,9,0,4,0,1,0,3,0,4,41,0,0,0,0,0,0,0,0,4,0,6,22,0,1,0,0,6,0,8,0,17,0,3,10,0,0,3,0,0,30,0,0,3,1,0,3,2,15,0,0,0,0,13,9,0,14,0,42,0,6,0,7,0,6,0,0,4,0,0,0,7,9,39,1,0,0,18,2,0,4,1,0,0,1,3,0,3,6,0,0,0,0,0,2,9,0,0,8,5,2,0,0,0,0,1,4,0,0,10,7,1,1,0,0,0,0,0,0,0,0,0,0,6,0,12,14,0,0,10
3,25,1,5,12,22,4,1,0,4,7,10,0,13,0,2,0,4,13,9,0,0,5,18,12,1,12,0,0,22,1,2,5,0,0,38,9,5,1,0,4,0,0,2,9,0,12,0,10,18,0,0,0,4,2,12,6,0,0,0,1,19,17,6,18,17,13,18,6,11,8,5,3,10,3,13,4,1,34,20,28,19,0,5,0,1,3,1,2,0,27,7,12,1,4,0,5,1,3,11,1,9,1,29,13,17,3,34,5,1,0,0,8,19,20,7,4,3,11,10,1,9,0,0,1,13,11,0,9,19,0,0,11,2,14,20,2,23,11,5,0,1,0,0,0,3,8,1,0,13,7,7,5,2,2,0,16,17,0,11,0,0,21,1
