Ant4,Ant57,Ant260,Ant52,Ant59,Ant65,Ant244,Ant397,Ant540,Ant2,Ant6,Ant7,Ant9,Ant15,Ant19,Ant26,Ant30,Ant38,Ant60,Ant72,Ant74,Ant76,Ant102,Ant158,Ant161,Ant191,Ant196,Ant209,Ant227,Ant245,Ant252,Ant278,Ant308,Ant311,Ant329,Ant518,Ant534,Ant604,Ant673,Ant740,Ant954,Ant0,Ant1,Ant12,Ant13,Ant17,Ant20,Ant23,Ant27,Ant28,Ant32,Ant35,Ant43,Ant44,Ant48,Ant50,Ant51,Ant53,Ant54,Ant62,Ant66,Ant68,Ant70,Ant71,Ant81,Ant85,Ant96,Ant97,Ant105,Ant109,Ant111,Ant112,Ant115,Ant117,Ant118,Ant124,Ant126,Ant127,Ant131,Ant137,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant173,Ant175,Ant176,Ant178,Ant186,Ant190,Ant194,Ant198,Ant206,Ant207,Ant210,Ant212,Ant215,Ant217,Ant218,Ant219,Ant220,Ant221,Ant229,Ant238,Ant242,Ant243,Ant250,Ant251,Ant255,Ant256,Ant263,Ant264,Ant289,Ant296,Ant298,Ant299,Ant301,Ant313,Ant324,Ant331,Ant334,Ant342,Ant347,Ant356,Ant380,Ant390,Ant391,Ant394,Ant395,Ant398,Ant437,Ant458,Ant462,Ant475,Ant476,Ant482,Ant492,Ant501,Ant509,Ant530,Ant538,Ant556,Ant560,Ant564,Ant576,Ant580,Ant592,Ant599,Ant607,Ant610,Ant614,Ant621,Ant632,Ant638,Ant650,Ant663,Ant665
0,6,2,0,2,16,0,2,1,3,2,1,5,0,6,3,0,0,0,0,1,0,0,0,0,0,9,1,1,0,3,9,2,0,1,9,2,1,1,8,0,1,7,0,2,4,1,3,8,3,4,0,0,0,10,2,1,0,2,0,12,0,28,0,19,6,4,0,3,3,2,6,0,14,11,5,1,0,2,0,7,1,0,0,2,13,1,3,0,0,3,9,1,0,6,1,0,8,13,28,0,0,0,0,5,1,3,0,7,0,1,6,3,1,1,1,2,7,1,1,4,1,1,0,8,0,2,9,0,0,6,1,0,1,4,1,3,3,3,4,1,5,3,8,0,6,0,0,0,7,1,4,0,2,8,2,2,0,2,2
6,0,9,5,0,41,0,4,0,4,0,33,0,0,1,4,0,0,0,0,0,20,3,0,9,0,9,2,2,0,5,0,1,0,0,10,0,0,0,0,0,6,4,9,0,0,0,3,0,1,0,0,0,3,1,0,1,1,3,3,0,0,3,0,7,0,0,0,0,2,0,0,0,3,2,1,1,8,0,0,5,0,3,0,4,0,0,1,1,11,0,4,3,3,7,0,7,4,0,2,0,4,0,0,0,2,4,0,2,1,3,0,0,16,0,0,4,0,23,0,1,4,0,0,10,0,1,1,0,3,0,7,0,3,4,0,2,4,0,0,0,26,16,5,4,1,0,0,0,2,2,0,0,0,1,8,9,0,0,3
2,9,0,7,2,13,1,3,0,1,11,33,0,7,7,6,1,5,7,4,5,25,13,3,15,0,16,1,8,0,14,3,1,0,0,6,1,0,3,7,1,12,8,27,0,1,2,6,0,1,2,1,2,0,6,2,10,0,5,3,0,0,4,3,3,3,2,0,1,8,8,5,1,11,8,4,0,10,1,2,15,7,1,0,5,14,4,5,2,13,5,4,9,3,30,5,30,3,0,20,0,21,2,4,5,8,7,0,0,6,4,1,5,18,0,1,13,0,15,5,1,7,2,0,23,1,10,2,4,11,3,9,0,8,19,2,6,13,1,0,0,34,13,2,3,2,0,1,1,1,0,0,0,0,6,10,5,6,1,0
0,5,7,0,7,8,2,15,2,13,7,0,6,14,1,8,7,0,3,2,0,0,0,7,5,2,4,2,19,3,9,4,13,1,0,1,0,4,7,4,13,3,21,7,3,2,4,13,7,1,8,1,7,2,10,0,1,5,6,9,2,8,9,5,5,4,3,2,13,15,2,5,4,7,4,17,2,0,3,0,8,2,0,0,0,1,18,3,21,1,6,9,10,8,4,0,4,21,27,5,0,5,0,5,0,13,1,4,11,0,3,3,2,5,1,1,3,3,1,14,9,6,15,7,5,4,12,2,6,9,2,9,6,20,2,12,16,0,0,2,7,1,5,3,5,3,0,1,1,1,3,0,0,15,6,2,9,1,10,4
2,0,2,7,0,0,0,7,5,7,2,0,4,2,4,6,10,0,6,2,2,0,0,14,1,4,2,3,18,0,1,2,0,2,4,1,3,1,13,4,14,1,6,3,8,18,2,7,13,1,0,0,3,2,0,0,4,3,6,10,0,3,13,2,8,1,4,3,8,8,4,5,16,2,3,14,8,0,4,2,1,4,0,3,0,3,11,12,3,1,3,4,4,7,2,4,0,13,9,5,3,3,8,3,1,7,0,4,4,10,0,0,14,1,7,4,1,2,0,8,2,0,12,6,4,2,11,0,5,0,5,2,1,9,4,10,3,0,1,1,6,1,0,1,0,4,5,2,0,3,2,3,14,3,6,3,3,2,12,3
16,41,13,8,0,0,0,9,1,1,8,59,3,0,11,14,0,19,0,0,0,32,6,4,17,0,13,4,6,0,8,1,0,0,0,16,5,0,1,17,3,29,17,5,0,0,0,6,2,1,0,0,1,4,14,0,7,0,0,0,0,0,9,1,1,3,0,1,0,9,2,3,1,13,6,6,0,28,0,2,4,12,46,1,8,1,2,1,3,19,0,2,12,5,16,0,22,9,2,23,0,14,0,5,6,1,16,0,7,1,19,0,10,9,0,1,10,7,42,7,6,7,0,0,35,0,3,28,2,15,0,11,0,7,7,0,6,25,11,0,0,18,60,9,2,2,0,0,0,11,0,0,0,2,0,4,20,2,0,7
0,0,1,2,0,0,0,0,6,1,0,0,5,2,0,1,1,0,23,0,9,0,0,2,0,10,1,0,5,0,2,0,15,0,21,0,0,1,1,7,1,0,0,1,1,9,18,1,7,0,1,10,4,0,0,1,3,6,2,6,0,3,2,8,0,0,6,17,22,0,1,1,1,1,1,12,0,0,7,3,0,0,0,4,0,2,4,0,6,0,9,0,0,0,4,14,0,0,4,0,1,0,13,0,1,0,0,16,2,0,0,4,1,0,8,0,0,8,0,5,1,0,5,6,0,9,0,0,9,0,7,0,18,0,0,21,0,0,0,2,1,0,0,0,2,0,1,16,5,1,10,6,3,6,0,0,0,1,14,0
2,4,3,15,7,9,0,0,0,2,13,1,13,1,2,2,0,1,7,3,2,0,0,3,4,3,7,4,38,1,5,1,17,0,1,0,13,6,3,4,8,2,7,10,8,0,7,13,1,1,2,0,3,2,10,3,0,4,1,4,0,11,20,2,4,2,19,1,1,5,1,12,7,8,11,12,0,1,3,1,11,4,0,1,0,0,9,20,4,1,4,6,14,18,20,2,0,4,2,5,2,2,2,3,2,10,1,0,6,7,0,0,8,3,3,1,4,1,2,3,5,8,4,1,10,0,9,8,7,0,2,4,5,1,0,0,0,0,1,1,1,0,0,4,1,3,0,3,2,5,7,0,1,2,13,6,7,11,12,11
1,0,0,2,5,1,6,0,0,2,2,0,1,7,0,1,6,0,19,5,8,0,0,2,0,22,0,1,12,0,0,0,6,0,5,0,0,20,0,1,3,1,1,8,2,21,3,9,1,1,2,15,21,1,2,0,4,30,2,2,0,16,0,4,1,1,13,30,38,2,1,0,4,1,3,1,2,1,15,9,0,0,0,22,0,1,7,3,20,1,7,0,1,2,0,23,0,1,12,4,5,0,8,14,0,1,2,12,0,0,0,0,1,0,14,10,2,0,0,10,9,3,1,8,1,7,5,0,18,0,5,0,6,0,1,2,0,0,0,18,17,0,0,0,20,4,14,13,17,0,17,13,10,14,0,0,2,0,7,1
3,4,1,13,7,1,1,2,2,0,1,0,11,1,2,7,7,1,5,3,3,0,1,34,6,1,4,3,5,2,6,2,11,0,1,0,13,0,7,9,9,0,8,10,6,1,8,5,7,6,2,0,0,4,8,1,9,0,1,2,1,0,12,3,6,6,8,0,1,13,4,2,3,3,8,9,5,0,3,1,11,13,0,2,0,6,6,6,0,4,1,8,14,8,5,0,0,7,5,15,1,7,4,15,15,14,10,0,18,11,2,7,5,0,1,0,0,24,3,10,6,20,3,3,17,0,7,2,2,8,1,6,1,5,4,8,7,0,9,9,5,1,1,24,1,16,0,0,1,5,2,1,0,7,4,0,8,22,4,29
2,0,11,7,2,8,0,13,2,1,0,1,6,1,8,2,0,11,0,0,0,2,0,1,11,0,22,1,19,0,5,1,0,6,0,3,7,0,2,4,17,1,4,4,0,0,0,6,0,0,2,0,2,3,5,0,1,0,4,0,0,0,7,2,1,4,1,0,3,3,1,6,5,15,11,2,0,12,0,0,5,10,0,0,1,2,1,6,10,1,0,6,4,10,3,0,6,7,4,5,1,3,1,1,5,1,3,0,1,8,0,0,1,4,0,0,7,0,8,1,4,4,1,0,15,0,3,13,0,10,0,7,0,18,3,1,5,5,1,0,4,2,0,3,1,11,0,0,0,1,1,0,0,0,8,4,7,6,1,6
