Ant57,Ant260,Ant52,Ant397,Ant929,Ant2,Ant6,Ant7,Ant9,Ant14,Ant19,Ant24,Ant26,Ant30,Ant38,Ant60,Ant64,Ant72,Ant74,Ant102,Ant158,Ant161,Ant196,Ant202,Ant209,Ant227,Ant245,Ant252,Ant268,Ant308,Ant311,Ant534,Ant604,Ant620,Ant646,Ant673,Ant740,Ant838,Ant954,Ant0,Ant1,Ant12,Ant13,Ant20,Ant23,Ant27,Ant29,Ant42,Ant43,Ant48,Ant49,Ant51,Ant54,Ant55,Ant62,Ant63,Ant66,Ant68,Ant70,Ant80,Ant91,Ant96,Ant97,Ant98,Ant109,Ant113,Ant118,Ant120,Ant124,Ant126,Ant127,Ant131,Ant135,Ant137,Ant140,Ant144,Ant147,Ant149,Ant156,Ant159,Ant169,Ant170,Ant172,Ant174,Ant175,Ant176,Ant190,Ant195,Ant206,Ant207,Ant210,Ant212,Ant215,Ant229,Ant232,Ant242,Ant250,Ant257,Ant261,Ant262,Ant263,Ant264,Ant289,Ant296,Ant299,Ant301,Ant313,Ant324,Ant326,Ant331,Ant332,Ant334,Ant353,Ant356,Ant376,Ant380,Ant387,Ant391,Ant395,Ant433,Ant437,Ant458,Ant462,Ant482,Ant492,Ant501,Ant507,Ant509,Ant530,Ant549,Ant560,Ant576,Ant592,Ant593,Ant607,Ant610,Ant614,Ant621,Ant635,Ant638,Ant647,Ant650,Ant665
0,0,19,0,33,3,4,2,15,0,12,1,18,0,0,0,43,6,31,14,11,6,6,0,2,1,11,9,25,0,1,4,13,17,0,26,3,1,3,1,2,9,5,0,0,63,5,0,0,0,1,9,31,0,22,3,0,4,5,32,8,9,8,10,19,0,1,9,0,1,4,16,0,1,10,3,6,5,12,9,0,8,0,39,0,7,1,0,5,3,3,3,28,2,11,23,4,1,3,12,37,10,8,1,6,0,2,0,0,0,1,1,2,13,5,0,10,14,19,3,0,14,2,5,3,0,10,20,13,0,0,9,1,4,1,0,4,1,29,38,0,5,8
0,0,0,18,0,6,18,21,0,3,0,9,0,7,5,29,1,0,0,0,0,0,19,29,1,2,0,0,1,4,2,0,3,0,30,0,3,1,10,0,24,0,1,0,12,0,0,56,27,36,22,0,0,28,0,1,0,0,2,0,0,0,7,3,0,9,10,0,11,0,3,0,15,1,0,0,58,26,2,0,11,2,7,1,10,0,0,3,5,4,0,16,0,1,1,0,0,27,0,0,0,0,3,16,0,13,5,3,13,4,5,12,14,0,7,0,5,0,0,1,22,0,8,1,14,16,0,0,1,10,17,1,0,2,17,21,4,9,1,0,19,5,0
19,0,0,0,3,6,2,0,15,1,6,0,6,0,0,3,5,8,0,2,4,8,2,0,16,2,5,0,8,4,2,7,1,20,0,16,0,0,0,1,0,6,8,4,0,12,0,1,0,1,0,0,4,4,41,3,1,11,1,31,8,10,1,6,0,2,1,3,4,0,0,23,2,4,15,2,3,5,0,2,0,14,0,16,0,5,1,0,8,0,1,1,5,0,16,1,2,0,9,20,3,0,7,5,0,0,0,1,0,0,0,0,2,4,4,0,9,6,1,0,0,0,1,11,0,0,2,58,7,0,0,27,0,1,0,0,6,3,9,7,3,1,12
0,18,0,0,1,12,6,4,1,3,4,3,1,0,6,9,1,2,0,0,0,4,29,11,0,9,0,0,1,8,25,0,0,0,20,0,3,2,26,0,16,3,2,1,16,5,1,21,27,16,33,0,0,28,0,0,6,2,9,1,9,5,4,0,0,14,12,0,18,0,5,4,20,7,0,6,35,13,2,7,6,2,0,10,11,0,2,0,25,23,5,2,1,0,5,1,0,28,0,1,0,5,2,15,0,5,12,19,15,2,4,2,13,1,20,1,4,0,1,10,15,1,23,30,6,3,1,2,0,20,21,2,2,0,1,19,24,29,3,1,23,16,0
33,0,3,1,0,4,0,0,3,1,5,3,13,0,0,0,26,14,13,4,16,11,4,0,5,13,4,17,11,0,3,14,13,13,0,15,2,10,1,0,1,8,3,10,1,11,3,0,0,0,1,2,19,0,3,8,0,2,0,21,12,4,15,20,13,0,2,0,1,0,1,5,3,3,5,0,2,3,25,7,0,14,0,10,4,9,5,0,1,0,1,0,7,0,9,4,1,0,1,3,4,6,2,0,14,3,1,1,0,0,10,1,0,3,1,0,7,1,31,4,0,3,1,7,0,0,10,18,3,0,0,7,1,16,0,0,1,0,21,14,0,3,9
3,6,6,12,4,0,3,1,6,6,3,4,0,0,5,3,5,16,0,0,0,6,12,0,2,14,0,4,10,4,23,0,3,2,2,2,2,2,5,0,8,2,0,5,0,5,13,2,4,4,8,0,24,3,5,1,0,1,11,3,20,3,17,0,4,12,4,0,10,3,8,8,2,1,7,20,19,7,6,14,1,10,0,7,3,0,2,2,24,11,5,9,0,2,16,1,2,7,0,3,1,5,2,14,0,1,16,1,6,2,5,1,4,0,9,0,18,3,1,10,1,0,7,19,12,0,0,10,4,3,0,17,4,8,8,0,5,11,10,5,11,16,1
4,18,2,6,0,3,0,4,0,5,0,4,0,0,6,2,2,0,0,0,4,0,26,7,0,2,1,0,5,16,14,1,0,5,1,0,4,4,14,0,14,0,1,4,5,1,3,8,5,20,16,0,9,3,0,8,9,2,0,1,1,2,3,2,1,9,26,0,3,1,17,1,9,2,1,8,24,18,0,1,2,1,0,0,4,0,4,12,28,5,5,8,0,2,1,1,2,11,0,0,0,2,7,8,0,8,4,1,7,4,23,1,11,1,29,0,4,1,0,6,7,2,21,12,14,0,0,1,5,1,0,2,6,1,13,0,6,8,5,1,13,23,1
2,21,0,4,0,1,4,0,0,4,0,4,1,11,11,31,0,0,0,0,0,0,29,7,0,1,0,0,3,4,0,0,3,0,9,0,0,3,1,0,54,0,0,0,36,0,0,7,13,36,25,0,0,10,0,1,1,0,0,1,1,0,2,0,0,0,19,0,1,0,0,1,11,1,1,1,47,53,2,0,30,0,2,0,14,0,0,20,2,0,0,5,2,1,1,1,0,16,0,0,0,0,2,13,0,11,2,0,16,13,2,2,1,0,6,0,0,1,0,6,16,0,2,1,13,10,0,4,0,7,9,0,4,1,3,12,11,11,2,3,3,2,0
15,0,15,1,3,6,0,0,0,0,23,0,9,0,0,1,33,2,28,27,14,44,0,0,3,0,26,5,0,0,0,23,17,14,0,39,0,2,1,2,0,14,7,0,0,52,16,0,0,0,0,6,24,0,22,5,0,5,1,6,2,2,2,9,4,2,2,7,0,0,16,23,0,11,23,0,3,0,4,0,0,21,2,19,0,9,0,1,1,0,4,0,14,2,11,10,1,0,2,9,31,4,8,2,8,1,1,0,0,0,0,0,3,6,0,0,1,5,19,1,0,9,0,10,0,0,6,39,14,0,0,7,0,5,0,0,5,0,7,18,0,0,11
0,3,1,3,1,6,5,4,0,0,2,3,0,0,5,7,3,0,0,2,0,1,10,4,0,1,1,1,7,3,21,0,0,1,6,3,29,3,20,0,5,0,0,11,2,2,6,4,0,6,6,0,5,6,1,12,12,1,4,2,8,2,16,2,0,12,4,0,3,1,9,5,2,0,1,18,8,5,1,13,1,2,0,1,9,0,14,4,11,15,2,0,6,2,3,0,1,5,1,0,0,4,8,13,0,6,9,1,1,4,4,7,17,0,17,0,15,3,5,20,2,0,11,13,0,0,3,6,3,2,0,0,5,3,3,0,5,2,5,2,3,4,0
