Ant4,Ant57,Ant260,Ant5,Ant52,Ant59,Ant65,Ant244,Ant540,Ant929,Ant2,Ant6,Ant25,Ant26,Ant30,Ant38,Ant74,Ant99,Ant102,Ant148,Ant158,Ant191,Ant196,Ant202,Ant209,Ant245,Ant268,Ant278,Ant308,Ant604,Ant620,Ant646,Ant673,Ant838,Ant12,Ant13,Ant20,Ant27,Ant28,Ant29,Ant32,Ant40,Ant42,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant70,Ant71,Ant80,Ant81,Ant82,Ant91,Ant97,Ant100,Ant105,Ant111,Ant112,Ant113,Ant114,Ant117,Ant126,Ant135,Ant137,Ant139,Ant142,Ant149,Ant156,Ant159,Ant169,Ant170,Ant173,Ant174,Ant195,Ant198,Ant207,Ant212,Ant217,Ant218,Ant219,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant257,Ant261,Ant263,Ant265,Ant294,Ant299,Ant301,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant356,Ant376,Ant387,Ant390,Ant391,Ant394,Ant395,Ant437,Ant475,Ant492,Ant501,Ant527,Ant549,Ant552,Ant556,Ant575,Ant580,Ant592,Ant600,Ant607,Ant610,Ant614,Ant621,Ant632,Ant635,Ant638,Ant650,Ant663,Ant665
0,3,18,2,36,15,0,18,21,3,4,1,3,7,14,1,6,0,0,6,2,10,10,3,0,7,0,2,3,4,0,6,0,0,0,2,2,0,0,0,5,8,2,9,12,1,23,1,10,2,9,4,0,0,6,0,3,5,0,1,29,1,0,2,0,3,0,5,0,0,2,2,8,5,6,8,4,0,18,0,4,0,16,3,11,14,4,7,0,5,14,0,0,8,0,0,10,3,0,3,3,2,1,5,3,1,3,0,13,3,0,1,0,1,0,17,13,0,0,3,0,0,3,1,3,10,3,0,16,12,0,0,9
3,0,1,4,0,1,0,8,0,6,0,10,15,14,4,4,8,13,0,3,7,0,2,72,5,3,4,0,6,40,0,6,0,18,11,0,33,0,11,0,5,3,1,0,11,9,11,0,3,29,1,42,3,4,1,6,3,1,54,51,7,13,9,2,0,101,57,10,13,2,5,0,9,35,2,5,16,4,5,5,2,2,3,3,1,3,0,0,4,13,24,0,2,2,0,17,2,4,10,4,0,18,91,0,7,2,2,34,3,44,13,13,3,2,0,60,6,6,7,1,6,12,38,0,2,55,12,17,0,0,55,0,1
18,1,0,0,5,4,7,9,3,4,1,0,8,2,2,0,3,5,3,3,17,7,3,1,0,24,0,15,3,13,0,15,0,2,0,6,10,0,0,0,19,8,1,11,3,0,0,3,19,2,27,0,2,0,2,0,11,4,9,0,0,0,1,2,3,6,0,6,0,0,0,4,1,0,18,2,0,1,52,0,9,1,0,14,4,1,2,4,0,3,16,0,0,4,0,0,9,0,1,0,0,0,1,3,6,1,4,0,7,0,0,3,0,0,0,27,25,0,0,0,1,1,1,5,10,2,1,8,6,2,2,1,25
2,4,0,0,3,14,16,2,6,0,5,0,2,1,4,0,3,1,0,4,0,13,3,0,18,7,1,14,7,0,0,0,2,0,0,4,1,2,1,10,6,3,0,3,9,0,1,6,5,1,0,0,6,0,36,0,13,9,0,0,0,0,1,1,2,1,0,3,0,0,0,1,1,0,11,6,0,1,1,0,5,0,0,4,2,5,0,10,0,0,3,7,0,6,0,0,0,0,0,0,10,1,0,17,7,7,3,0,5,0,0,0,0,0,0,9,4,0,0,2,10,0,1,4,3,1,0,1,3,8,1,4,27
36,0,5,3,0,3,0,10,4,1,5,1,4,4,14,0,14,0,1,3,3,5,4,7,8,2,0,5,6,0,1,4,6,0,5,4,1,1,0,1,19,19,8,4,3,2,6,0,2,2,3,0,5,0,31,0,1,5,2,0,2,2,5,6,0,4,2,7,2,0,0,10,1,5,1,0,0,1,15,0,6,0,11,4,11,3,1,15,0,0,39,1,0,6,0,2,7,1,0,0,33,8,4,0,4,1,4,0,1,6,0,0,0,3,0,13,1,1,1,0,6,0,2,0,2,1,2,4,5,2,2,2,14
15,1,4,14,3,0,10,1,17,0,11,0,2,9,17,0,0,0,0,0,2,9,0,0,4,2,1,9,9,1,0,3,19,0,0,4,8,10,0,6,7,9,6,10,25,0,10,0,10,0,8,0,1,0,20,0,9,7,1,0,0,4,1,23,0,3,1,1,0,0,3,6,0,0,5,1,0,0,0,0,1,0,8,0,10,5,0,7,0,0,3,6,0,5,0,0,13,0,0,0,19,0,0,4,1,19,6,0,18,0,0,0,0,0,0,4,5,0,0,0,1,0,0,6,12,1,0,5,8,15,0,8,7
0,0,7,16,0,10,0,3,4,3,17,1,0,4,7,1,8,0,0,16,2,5,1,0,4,1,7,23,1,0,0,11,27,0,2,7,10,3,0,18,14,12,3,9,31,0,0,4,44,0,8,0,3,0,18,0,19,10,1,0,1,2,2,3,0,0,0,7,0,0,17,3,9,0,12,4,0,1,5,0,5,0,1,4,21,21,3,41,0,2,1,3,1,6,0,0,32,0,1,6,1,3,2,11,7,26,5,0,6,2,0,0,0,4,0,4,9,0,0,0,12,0,0,9,9,0,0,6,3,12,2,5,9
18,8,9,2,10,1,3,0,7,7,6,5,8,16,14,0,15,2,0,11,9,2,9,12,14,10,0,7,20,8,0,4,6,18,3,2,9,10,4,7,13,15,9,0,31,1,21,0,5,7,1,1,17,1,14,0,2,3,3,2,20,0,6,8,0,16,6,0,0,0,12,3,5,1,1,17,2,6,10,0,5,0,4,3,13,1,2,6,0,0,13,0,1,6,0,4,1,3,0,3,4,20,2,7,2,1,3,4,4,4,0,4,1,4,0,12,6,0,1,6,9,7,1,0,2,18,7,3,8,7,3,0,11
21,0,3,6,4,17,4,7,0,0,7,2,4,1,7,1,12,0,0,1,1,6,2,0,16,6,1,2,2,0,0,4,4,0,1,3,0,2,0,2,6,21,3,6,10,0,5,0,42,0,14,2,2,0,49,0,2,11,4,0,0,1,0,14,1,2,2,1,1,2,0,13,1,1,14,1,1,0,12,0,0,0,16,1,18,7,0,10,0,6,22,9,0,11,0,0,7,0,0,0,12,1,1,16,2,0,6,0,5,2,0,0,0,1,0,22,0,1,0,3,3,0,1,0,5,1,2,5,6,5,3,3,18
3,6,4,0,1,0,3,7,0,0,4,4,5,9,1,9,0,3,21,2,3,1,7,3,1,8,10,7,1,2,3,0,3,2,2,9,10,2,0,6,0,0,3,4,6,0,1,1,5,3,0,0,4,0,0,12,0,2,4,0,0,14,6,10,11,6,2,5,5,0,1,13,4,0,0,7,1,14,1,0,15,0,0,4,4,0,15,0,0,4,2,0,5,8,0,0,1,3,4,8,0,3,0,1,9,3,0,0,2,2,7,5,0,16,0,13,54,0,2,5,4,4,1,1,1,3,12,11,8,2,4,5,2
