Ant57,Ant5,Ant52,Ant59,Ant929,Ant6,Ant25,Ant26,Ant30,Ant74,Ant99,Ant102,Ant148,Ant191,Ant196,Ant209,Ant245,Ant268,Ant308,Ant620,Ant646,Ant673,Ant13,Ant20,Ant27,Ant29,Ant32,Ant40,Ant43,Ant50,Ant55,Ant62,Ant66,Ant68,Ant71,Ant81,Ant91,Ant97,Ant100,Ant105,Ant111,Ant113,Ant114,Ant126,Ant135,Ant139,Ant142,Ant156,Ant159,Ant169,Ant170,Ant174,Ant195,Ant198,Ant207,Ant218,Ant226,Ant229,Ant242,Ant243,Ant250,Ant255,Ant256,Ant261,Ant263,Ant294,Ant305,Ant318,Ant320,Ant332,Ant334,Ant342,Ant347,Ant353,Ant376,Ant387,Ant391,Ant437,Ant492,Ant549,Ant580,Ant592,Ant607,Ant614,Ant632,Ant638,Ant650,Ant663,Ant665
0,5,8,0,17,20,18,28,1,0,16,4,2,8,0,8,0,11,7,0,19,3,3,8,3,2,6,0,4,7,0,3,3,5,1,1,0,1,5,6,68,7,11,2,2,1,2,0,3,2,7,0,5,22,7,12,4,10,10,8,20,2,9,0,4,1,2,19,10,55,1,9,22,0,0,0,10,9,4,2,4,15,5,23,29,0,50,1,1
5,0,3,10,2,0,2,0,2,13,0,0,1,2,1,1,7,1,0,0,2,11,0,0,1,10,3,7,0,6,0,7,3,13,4,6,22,0,2,22,1,0,2,3,0,0,4,0,1,3,4,5,0,0,0,2,0,0,4,1,0,7,0,6,24,7,2,0,0,6,1,1,0,5,1,2,1,1,0,0,5,0,15,5,7,4,1,0,6
8,3,0,8,6,2,9,7,4,2,2,0,1,6,2,2,8,4,0,0,8,2,24,3,6,2,6,1,0,0,1,21,2,0,12,0,3,2,2,17,15,4,1,32,0,3,3,0,1,2,2,12,4,1,0,5,8,3,4,4,3,1,0,12,8,2,7,0,1,12,3,8,1,4,3,1,1,16,4,0,3,5,2,0,0,4,9,9,2
0,10,8,0,2,0,7,0,2,6,6,0,3,24,6,0,7,2,1,0,8,7,7,4,21,9,9,7,1,1,0,8,7,12,18,5,54,3,5,4,0,0,3,8,1,1,14,0,0,12,3,22,0,1,0,6,7,2,10,11,0,13,2,7,6,1,62,1,1,6,8,4,0,5,14,2,24,1,2,0,3,3,2,1,1,2,3,5,22
17,2,6,2,0,6,22,10,4,0,22,3,2,12,4,3,4,16,6,2,9,1,1,9,2,1,1,3,5,14,2,3,1,2,0,16,0,23,17,1,26,3,34,4,12,1,2,2,12,12,4,0,11,12,11,23,8,3,8,5,8,7,14,3,4,3,1,17,22,20,0,19,3,1,4,1,10,3,4,4,3,9,7,26,6,4,20,33,7
20,0,2,0,6,0,11,7,0,1,40,8,0,1,1,4,2,3,1,26,1,0,0,4,2,3,1,3,3,3,27,3,0,0,1,3,0,17,3,2,35,7,4,0,8,20,3,14,3,1,2,1,6,20,7,7,1,3,5,0,11,0,20,0,0,0,0,6,12,8,1,10,21,2,0,0,2,6,2,3,4,25,0,30,19,0,16,3,4
18,2,9,7,22,11,0,9,4,0,30,3,5,1,9,12,30,6,11,0,18,10,0,18,1,8,17,5,11,15,0,2,11,7,2,2,0,9,24,6,13,4,13,0,3,2,4,0,3,11,6,1,3,3,1,3,8,3,13,3,5,5,3,1,9,11,1,8,11,11,4,38,12,11,5,8,10,0,3,2,10,7,11,9,6,0,5,5,6
28,0,7,0,10,7,9,0,0,0,16,10,0,0,1,4,0,10,0,16,5,0,0,18,0,0,0,0,7,0,26,4,0,5,0,0,0,2,14,0,61,10,13,0,29,40,0,5,0,9,2,0,8,21,0,3,0,3,2,6,3,1,25,7,2,0,0,15,11,8,0,0,12,0,1,0,2,9,1,0,3,15,0,1,1,3,11,0,4
1,2,4,2,4,0,4,0,0,1,5,0,10,3,5,1,6,1,0,0,11,9,17,1,4,10,19,0,6,13,0,1,2,0,15,3,89,3,6,11,1,0,0,3,0,0,1,0,0,6,4,4,3,0,3,3,1,3,7,6,0,4,0,9,0,2,7,1,0,5,15,0,0,10,1,16,8,1,1,6,0,0,3,0,1,14,0,3,3
0,13,2,6,0,1,0,0,1,0,1,0,8,11,0,4,5,0,5,0,24,5,6,3,0,10,2,5,0,1,0,11,16,4,14,1,13,0,0,8,0,0,2,23,0,2,4,0,2,0,0,7,1,0,0,2,5,2,10,4,0,22,0,11,5,2,18,0,1,0,0,3,0,1,6,0,0,0,0,0,0,0,9,0,0,26,2,0,13
